date,open,high,low,close,volume,adj_close
2024-05-20,403.83,410.18,402.515,405.11,215100,405.11
2024-05-21,403.8,408.47,397.7,407.63,259900,407.63
2024-05-22,405.0,410.45,399.71,402.23,292700,402.23
2024-05-23,406.41,406.41,398.3,401.52,183700,401.52
2024-05-24,404.75,410.29,402.58,409.58,149400,409.58
2024-05-28,409.97,414.25,402.23,403.04,236600,403.04
2024-05-29,398.79,405.0,396.68,399.4,211000,399.4
2024-05-30,402.5,415.05,397.42,413.31,228400,413.31
2024-05-31,415.81,420.32,409.76,417.95,262300,417.95
2024-06-03,418.0,418.0,405.47,407.63,216500,407.63
2024-06-04,407.0,409.045,397.8,399.4,422900,399.4
2024-06-05,401.38,415.14,400.26,413.7,272100,413.7
2024-06-06,412.4,418.0,408.04,410.19,324400,410.19
2024-06-07,401.23,405.135,396.58,402.09,262300,402.09
2024-06-10,396.71,404.81,396.71,403.04,223900,403.04
2024-06-11,399.75,399.75,393.24,394.38,329700,394.38
2024-06-12,412.8,426.785,411.82,419.61,319900,419.61
2024-06-13,417.51,423.96,412.32,422.71,272600,422.71
2024-06-14,414.52,417.48,407.175,414.39,260600,414.39
2024-06-17,413.35,418.28,409.57,414.18,211100,414.18
2024-06-18,414.01,414.8,407.51,411.29,279500,411.29
2024-06-20,406.35,412.82,388.1,388.18,566100,388.18
2024-06-21,388.29,388.93,381.41,388.38,602800,388.38
2024-06-24,388.79,397.26,386.67,391.49,258800,391.49
2024-06-25,383.66,388.47,373.135,379.45,458600,379.45
2024-06-26,378.55,383.41,377.0,381.37,282000,381.37
2024-06-27,380.46,384.19,378.68,381.45,303500,381.45
2024-06-28,382.45,387.42,381.81,385.27,475800,385.27
2024-07-01,387.13,388.04,374.02,379.86,319700,379.86
2024-07-02,378.29,379.37,372.58,373.82,333600,373.82
2024-07-03,373.38,386.1,372.45,379.19,203900,379.19
2024-07-05,379.19,382.64,373.09,376.86,253000,376.86
2024-07-08,380.86,387.3,380.86,385.53,406900,385.53
2024-07-09,383.18,391.4,379.56,380.3,338200,380.3
2024-07-10,383.68,390.11,380.74,389.32,277700,389.32
2024-07-11,405.32,430.03,403.74,423.4,517300,423.4
2024-07-12,426.81,443.035,426.81,431.91,475900,431.91
2024-07-15,436.38,443.1,434.5,438.0,281800,438.0
2024-07-16,442.66,467.76,442.66,465.48,302000,465.48
2024-07-17,463.85,463.85,442.37,442.87,310400,442.87
2024-07-18,446.57,470.93,444.06,448.83,311200,448.83
2024-07-19,447.0,453.08,442.39,447.75,165800,447.75
2024-07-22,454.57,460.8,441.27,456.46,165700,456.46
2024-07-23,451.88,458.335,447.66,453.87,244600,453.87
2024-07-24,445.66,454.88,435.79,436.81,181700,436.81
2024-07-25,440.92,453.76,436.97,445.1,240800,445.1
2024-07-26,455.45,469.39,448.13,466.52,333900,466.52
2024-07-29,469.76,477.59,465.87,473.78,221200,473.78
2024-07-30,474.97,483.12,468.5,479.09,297400,479.09
2024-07-31,484.36,495.68,471.27,478.54,281300,478.54
2024-08-01,481.38,486.34,445.8,453.22,400100,453.22
2024-08-02,433.19,436.99,423.36,435.8,199900,435.8
2024-08-05,400.21,435.29,394.52,425.27,468300,425.27
2024-08-06,379.31,402.97,374.51,395.01,1070900,395.01
2024-08-07,394.96,402.82,359.47,365.5,755200,365.5
2024-08-08,372.33,376.82,366.9,373.65,406700,373.65
2024-08-09,374.87,379.37,370.379,372.72,238200,372.72
2024-08-12,372.6,379.2,369.14,374.06,294800,374.06
2024-08-13,380.31,382.83,371.4,378.52,431800,378.52
2024-08-14,382.93,383.22,369.15,370.15,320000,370.15
2024-08-15,379.45,382.5,374.37,377.75,323600,377.75
2024-08-16,375.48,380.61,371.17,372.12,262800,372.12
2024-08-19,374.54,383.34,373.2,381.12,247300,381.12
2024-08-20,382.11,383.72,374.04,377.02,219400,377.02
2024-08-21,381.41,391.565,380.106,390.3,240500,390.3
2024-08-22,389.26,392.62,383.39,384.55,165600,384.55
2024-08-23,388.82,412.51,386.41,410.66,285400,410.66
2024-08-26,413.15,414.08,399.95,400.59,242300,400.59
2024-08-27,395.65,395.65,386.74,391.81,199100,391.81
2024-08-28,387.9,396.49,387.9,391.6,266000,391.6
2024-08-29,395.99,400.185,389.62,391.45,259200,391.45
2024-08-30,396.14,398.55,383.64,393.02,195900,393.02
2024-09-03,390.65,393.07,369.505,371.38,305400,371.38
2024-09-04,368.02,372.96,362.76,369.23,367700,369.23
2024-09-05,369.0,369.72,361.3,364.02,275200,364.02
2024-09-06,365.44,372.17,359.195,360.4,363800,360.4
2024-09-09,360.69,366.94,356.66,360.43,269800,360.43
2024-09-10,362.84,363.45,355.46,362.15,184900,362.15
2024-09-11,358.84,366.02,350.86,364.82,213100,364.82
2024-09-12,367.74,373.185,364.54,369.92,174600,369.92
2024-09-13,375.46,387.53,375.01,386.49,257300,386.49
2024-09-16,388.4,393.31,382.12,392.02,327400,392.02
2024-09-17,398.59,404.7,395.195,402.78,316000,402.78
2024-09-18,405.0,410.76,396.043,398.06,568600,398.06
2024-09-19,411.44,419.87,405.19,419.82,421100,419.82
2024-09-20,414.82,416.36,403.74,406.1,847400,406.1
2024-09-23,411.05,416.96,404.635,407.16,246900,407.16
2024-09-24,407.76,409.275,398.45,405.83,272600,405.83
2024-09-25,403.46,406.64,397.41,398.04,268400,398.04
2024-09-26,405.97,406.915,398.775,400.86,178300,400.86
2024-09-27,405.68,414.59,403.0,409.33,180400,409.33
2024-09-30,405.27,409.1,399.34,406.81,157500,406.81
2024-10-01,407.31,408.95,396.54,406.93,160000,406.93
2024-10-02,403.0,406.556,394.37,402.98,185600,402.98
2024-10-03,400.28,401.102,393.935,398.78,163900,398.78
2024-10-04,402.5,402.5,380.18,385.85,289900,385.85
2024-10-07,380.99,386.07,375.25,384.1,289200,384.1
2024-10-08,387.52,391.83,379.78,386.65,173500,386.65
2024-10-09,386.34,393.61,384.41,392.43,220300,392.43
2024-10-10,384.51,388.29,380.28,385.56,184800,385.56
2024-10-11,386.06,390.497,384.33,386.99,190800,386.99
2024-10-14,387.65,402.595,387.65,401.12,169600,401.12
2024-10-15,402.16,408.53,398.82,399.15,172600,399.15
2024-10-16,403.86,409.955,402.451,408.59,162100,408.59
2024-10-17,410.48,410.48,402.62,409.22,180500,409.22
2024-10-18,412.17,417.79,411.0,414.77,228800,414.77
2024-10-21,411.08,415.385,389.1,392.59,279400,392.59
2024-10-22,387.77,387.77,377.0,378.69,215000,378.69
2024-10-23,378.27,380.64,367.37,370.86,202200,370.86
2024-10-24,374.46,377.62,368.47,371.77,188300,371.77
2024-10-25,374.55,377.74,366.44,367.16,326600,367.16
2024-10-28,372.05,380.93,367.56,370.55,363800,370.55
2024-10-29,349.9,356.24,342.21,356.12,580500,356.12
2024-10-30,354.0,366.13,352.65,355.97,269100,355.97
2024-10-31,353.03,357.87,349.705,353.38,190700,353.38
2024-11-01,358.38,362.0,352.65,353.73,207500,353.73
2024-11-04,356.4,366.89,356.4,362.13,362600,362.13
2024-11-05,361.64,387.38,361.48,377.71,756200,377.71
2024-11-06,375.33,380.24,351.71,371.17,603200,371.17
2024-11-07,371.0,379.32,368.46,372.55,281400,372.55
2024-11-08,370.77,373.97,367.1,368.89,191600,368.89
2024-11-11,373.83,376.93,368.57,370.41,248800,370.41
2024-11-12,362.95,369.61,359.31,360.0,221100,360.0
2024-11-13,366.25,368.74,358.28,359.25,275700,359.25
2024-11-14,359.55,370.032,359.55,363.22,234900,363.22
2024-11-15,360.65,362.41,345.45,347.04,405200,347.04
2024-11-18,345.21,354.49,344.77,350.85,260000,350.85
2024-11-19,348.51,351.5,342.75,350.1,223600,350.1
2024-11-20,348.87,353.98,345.78,351.1,341000,351.1
2024-11-21,352.75,367.98,350.04,361.25,239900,361.25
2024-11-22,365.44,373.29,363.27,373.05,368700,373.05
2024-11-25,383.12,409.99,382.33,406.65,593800,406.65
2024-11-26,400.5,400.5,383.48,387.95,377100,387.95
2024-11-27,391.0,395.85,385.985,390.0,191400,390.0
2024-11-29,396.68,398.38,387.95,390.64,129700,390.64
2024-12-02,389.04,394.385,381.82,389.41,277900,389.41
2024-12-03,390.31,394.02,386.06,392.69,180200,392.69
2024-12-04,390.59,393.1,380.29,386.1,311000,386.1
2024-12-05,386.05,387.42,373.25,374.11,290500,374.11
2024-12-06,382.685,383.8,372.01,375.93,234200,375.93
2024-12-09,376.69,380.62,373.25,380.0,294000,380.0
2024-12-10,375.14,379.08,364.405,366.64,258400,366.64
2024-12-11,373.14,373.335,365.48,366.34,223500,366.34
2024-12-12,365.41,366.44,356.07,357.16,227300,357.16
2024-12-13,351.315,351.62,340.13,344.27,267800,344.27
2024-12-16,340.0,345.05,335.28,339.96,391200,339.96
2024-12-17,338.7,339.21,331.22,338.29,374200,338.29
2024-12-18,339.26,339.26,317.74,318.53,640700,318.53
2024-12-19,314.64,319.79,305.79,308.96,506300,308.96
2024-12-20,310.02,316.06,308.09,310.28,919700,310.28
2024-12-23,308.95,313.94,304.2,311.84,323500,311.84
2024-12-24,310.14,313.78,308.07,312.44,153900,312.44
2024-12-26,309.25,314.635,307.51,313.8,200300,313.8
2024-12-27,310.0,313.555,307.15,310.67,219800,310.67
2024-12-30,310.9,313.39,302.7,310.91,289000,310.91
2024-12-31,310.91,315.46,309.8,311.34,186900,311.34
2025-01-02,315.37,317.955,308.27,310.3,224700,310.3
2025-01-03,313.85,316.87,309.33,316.52,169400,316.52
