date,open,high,low,close,volume,adj_close
2024-05-20,167.06,170.24,167.06,169.23,1779100,169.23
2024-05-21,168.17,168.68,165.11,167.94,2394400,167.94
2024-05-22,166.62,168.92,165.63,165.97,2281700,165.97
2024-05-23,167.59,168.84,164.12,166.36,1899600,166.36
2024-05-24,168.15,171.17,167.64,171.1,1452800,171.1
2024-05-28,171.69,172.39,161.57,162.69,2094800,162.69
2024-05-29,159.73,160.5,155.8,155.97,2333100,155.97
2024-05-30,157.6,160.71,157.04,160.16,1575300,160.16
2024-05-31,160.23,161.46,157.01,160.79,3121200,160.79
2024-06-03,161.5,161.8,151.56,152.12,2498600,152.12
2024-06-04,150.54,151.27,145.12,146.52,2846600,146.52
2024-06-05,147.55,151.34,146.61,149.97,1776300,149.97
2024-06-06,146.73,148.5,145.13,145.64,2156500,145.64
2024-06-07,143.91,146.44,142.65,146.28,1702000,146.28
2024-06-10,144.6,147.51,144.03,146.95,1282000,146.95
2024-06-11,146.0,146.0,142.54,143.48,1371300,143.48
2024-06-12,150.54,157.43,149.92,151.15,2501300,151.15
2024-06-13,151.0,152.07,149.04,151.15,1396300,151.15
2024-06-14,148.84,150.05,145.8,149.55,1330300,149.55
2024-06-17,149.41,150.83,146.25,149.93,1568300,149.93
2024-06-18,149.52,150.9,148.12,149.44,911400,149.44
2024-06-20,148.5,148.57,142.8,144.74,2435000,144.74
2024-06-21,144.48,145.0,140.71,143.19,4520900,143.19
2024-06-24,143.48,145.31,141.18,142.22,1338200,142.22
2024-06-25,141.31,141.5,133.58,136.51,3661600,136.51
2024-06-26,136.81,137.38,134.83,136.74,1792900,136.74
2024-06-27,136.93,137.9,135.5,137.86,1911100,137.86
2024-06-28,138.0,139.75,136.71,138.41,3207600,138.41
2024-07-01,139.55,139.94,133.15,133.99,1911300,133.99
2024-07-02,133.48,135.94,132.81,134.74,1401800,134.74
2024-07-03,135.12,136.81,133.84,134.38,679200,134.38
2024-07-05,133.12,133.82,130.75,132.6,1561000,132.6
2024-07-08,134.01,134.57,131.99,134.49,1475100,134.49
2024-07-09,133.25,135.52,133.0,134.3,1188300,134.3
2024-07-10,135.6,137.13,133.72,136.72,1660700,136.72
2024-07-11,142.5,147.75,142.01,146.89,3170900,146.89
2024-07-12,150.0,155.48,148.7,152.73,2897300,152.73
2024-07-15,153.79,158.61,152.72,153.17,1939600,153.17
2024-07-16,155.67,165.76,155.17,165.44,2726000,165.44
2024-07-17,161.72,162.59,158.74,158.88,2471700,158.88
2024-07-18,161.31,167.23,158.39,158.94,2608200,158.94
2024-07-19,159.38,160.95,156.82,158.0,1135900,158.0
2024-07-22,160.0,161.49,156.13,160.86,1071000,160.86
2024-07-23,158.94,164.84,158.36,163.88,1590800,163.88
2024-07-24,162.03,165.15,153.75,154.12,1722000,154.12
2024-07-25,155.87,163.48,153.29,158.73,1837400,158.73
2024-07-26,164.52,169.95,163.09,167.49,1748600,167.49
2024-07-29,167.92,169.75,166.15,168.09,1173300,168.09
2024-07-30,170.0,171.34,164.72,167.63,1343700,167.63
2024-07-31,169.65,174.89,167.04,167.37,1835500,167.37
2024-08-01,166.64,170.88,157.54,159.5,1805300,159.5
2024-08-02,149.34,152.59,147.88,152.15,2592100,152.15
2024-08-05,140.32,153.35,139.33,149.65,3031000,149.65
2024-08-06,138.93,161.36,137.22,155.73,3885900,155.73
2024-08-07,159.37,164.77,151.46,152.86,2815500,152.86
2024-08-08,155.66,156.08,151.75,153.15,1871700,153.15
2024-08-09,153.16,156.58,151.3,155.51,1031700,155.51
2024-08-12,155.28,158.1,152.81,153.3,1333200,153.3
2024-08-13,155.24,161.51,155.24,160.9,1578400,160.9
2024-08-14,162.73,164.4,158.84,160.6,1748500,160.6
2024-08-15,164.21,167.12,162.68,164.65,1213800,164.65
2024-08-16,163.9,165.57,160.84,161.13,1276200,161.13
2024-08-19,162.55,164.75,162.01,163.31,1016400,163.31
2024-08-20,163.74,165.63,162.36,164.15,1254000,164.15
2024-08-21,165.7,168.33,164.95,168.25,1181600,168.25
2024-08-22,167.85,169.67,166.35,167.55,1102000,167.55
2024-08-23,169.13,183.02,168.35,182.21,2660500,182.21
2024-08-26,183.36,185.2,175.39,176.41,1575500,176.41
2024-08-27,174.26,175.12,171.67,174.62,1077900,174.62
2024-08-28,172.93,174.01,171.34,172.9,843800,172.9
2024-08-29,174.36,175.27,171.45,172.16,792300,172.16
2024-08-30,174.09,175.14,170.5,174.0,1260200,174.0
2024-09-03,174.56,175.9,167.88,168.65,1901200,168.65
2024-09-04,167.84,170.04,165.72,168.88,1688100,168.88
2024-09-05,168.8,170.74,165.98,167.55,1526700,167.55
2024-09-06,168.57,174.35,167.18,168.51,1856600,168.51
2024-09-09,169.6,170.72,166.08,166.16,1044900,166.16
