date,open,high,low,close,volume,adj_close
2024-05-20,7.07,7.36,7.055,7.1,312100,7.1
2024-05-21,7.0,7.025,6.61,6.61,481200,6.61
2024-05-22,6.58,6.89,6.532,6.7,380300,6.7
2024-05-23,6.73,6.91,6.46,6.78,633900,6.78
2024-05-24,6.68,6.91,6.6,6.67,414700,6.67
2024-05-28,6.67,6.93,6.621,6.76,300600,6.76
2024-05-29,6.64,6.88,6.624,6.78,196200,6.78
2024-05-30,6.75,6.75,6.41,6.48,335900,6.48
2024-05-31,6.47,6.55,6.07,6.11,444200,6.11
2024-06-03,6.16,6.47,6.03,6.17,430500,6.17
2024-06-04,6.14,6.175,5.92,6.05,348300,6.05
2024-06-05,6.11,6.19,5.93,5.99,218000,5.99
2024-06-06,6.02,6.11,5.945,6.07,275200,6.07
2024-06-07,6.02,6.05,5.89,6.02,194000,6.02
2024-06-10,5.98,6.18,5.957,6.06,254000,6.06
2024-06-11,6.07,6.16,6.0,6.15,165700,6.15
2024-06-12,6.23,6.33,6.165,6.26,186800,6.26
2024-06-13,6.26,6.305,6.06,6.1,206000,6.1
2024-06-14,6.1,6.1,5.95,6.02,340400,6.02
2024-06-17,6.03,6.05,5.89,5.9,171200,5.9
2024-06-18,5.88,6.0,5.83,5.83,224900,5.83
2024-06-20,5.82,5.83,5.65,5.72,205500,5.72
2024-06-21,5.72,5.72,5.61,5.67,351900,5.67
2024-06-24,5.68,5.7,5.42,5.5,465000,5.5
2024-06-25,5.54,5.63,5.44,5.44,336300,5.44
2024-06-26,5.4,5.79,5.37,5.78,320000,5.78
2024-06-27,5.8,6.15,5.8,6.05,418600,6.05
2024-06-28,6.12,6.31,6.01,6.16,5719800,6.16
2024-07-01,6.13,6.23,6.08,6.22,481500,6.22
2024-07-02,6.22,6.27,5.97,6.02,319900,6.02
2024-07-03,6.03,6.1,5.98,6.03,149600,6.03
2024-07-05,6.02,6.5,5.9,6.32,533800,6.32
2024-07-08,6.3,6.36,6.09,6.23,386500,6.23
2024-07-09,6.26,6.34,6.11,6.34,310900,6.34
2024-07-10,6.37,6.37,6.09,6.27,232700,6.27
2024-07-11,6.36,6.49,6.29,6.47,220000,6.47
2024-07-12,6.5,6.56,6.36,6.45,240300,6.45
2024-07-15,6.5,6.77,6.44,6.74,217400,6.74
2024-07-16,6.79,6.81,6.67,6.73,196800,6.73
2024-07-17,6.77,6.77,6.3,6.49,324400,6.49
2024-07-18,6.47,6.49,6.18,6.2,163000,6.2
2024-07-19,6.23,6.3,6.17,6.19,184000,6.19
2024-07-22,6.24,6.67,6.2,6.49,305300,6.49
2024-07-23,6.56,6.99,6.56,6.96,286900,6.96
2024-07-24,6.89,6.95,6.485,6.52,211300,6.52
2024-07-25,6.58,6.85,6.41,6.72,230800,6.72
2024-07-26,6.83,6.83,6.61,6.74,156800,6.74
2024-07-29,6.73,6.75,6.3,6.34,293500,6.34
2024-07-30,6.32,6.405,6.22,6.38,243300,6.38
2024-07-31,6.43,6.72,6.37,6.62,220600,6.62
2024-08-01,6.6,6.635,6.1,6.2,234600,6.2
2024-08-02,6.05,6.12,5.93,6.02,257300,6.02
2024-08-05,5.56,5.72,5.03,5.19,663500,5.19
2024-08-06,5.26,5.26,4.91,5.06,434500,5.06
2024-08-07,5.25,5.38,5.1,5.11,326600,5.11
2024-08-08,5.2,5.36,4.915,5.19,508300,5.19
2024-08-09,6.0,6.9,6.0,6.46,736100,6.46
2024-08-12,6.42,6.55,5.91,6.15,521300,6.15
2024-08-13,6.1,6.37,6.04,6.34,274500,6.34
2024-08-14,6.33,6.42,6.24,6.31,202300,6.31
2024-08-15,6.39,6.59,6.34,6.54,318300,6.54
2024-08-16,6.51,6.87,6.41,6.75,355000,6.75
2024-08-19,6.7,6.77,6.56,6.71,174900,6.71
2024-08-20,6.55,6.74,6.46,6.66,286100,6.66
2024-08-21,6.57,6.6,6.23,6.42,358500,6.42
2024-08-22,6.35,6.48,6.145,6.175,329600,6.175
2024-08-23,6.2,6.64,6.179,6.59,835500,6.59
2024-08-26,6.35,6.58,6.35,6.51,374500,6.51
2024-08-27,6.35,6.62,6.35,6.35,248700,6.35
2024-08-28,6.28,6.335,6.02,6.07,216400,6.07
2024-08-29,6.04,6.27,6.03,6.09,307200,6.09
2024-08-30,6.14,6.15,5.95,6.11,312700,6.11
2024-09-03,6.05,6.28,5.715,5.81,240800,5.81
2024-09-04,5.76,6.0,5.66,5.9,226000,5.9
2024-09-05,5.87,5.93,5.78,5.86,210400,5.86
2024-09-06,5.88,5.91,5.54,5.75,262500,5.75
2024-09-09,5.74,5.86,5.73,5.81,145700,5.81
2024-09-10,5.79,5.865,5.65,5.83,144700,5.83
2024-09-11,5.86,5.9,5.73,5.9,128700,5.9
2024-09-12,5.92,5.98,5.875,5.92,132500,5.92
2024-09-13,5.99,6.21,5.92,6.18,152600,6.18
2024-09-16,6.19,6.33,6.12,6.18,145500,6.18
2024-09-17,6.27,6.355,6.2,6.23,213500,6.23
2024-09-18,6.23,6.3,6.03,6.04,175700,6.04
2024-09-19,6.23,6.29,6.18,6.22,140500,6.22
2024-09-20,6.18,6.3,6.149,6.27,367500,6.27
2024-09-23,6.335,6.34,6.04,6.04,182100,6.04
2024-09-24,6.07,6.16,5.93,6.1,419500,6.1
2024-09-25,6.05,6.29,6.045,6.12,244700,6.12
2024-09-26,6.22,6.31,6.11,6.25,164200,6.25
