date,open,high,low,close,volume,adj_close
2024-05-20,113.47,115.49,112.77,114.99,640900,114.99
2024-05-21,114.89,115.255,113.11,113.55,521900,113.55
2024-05-22,113.83,113.83,109.16,110.28,520900,110.28
2024-05-23,110.21,112.69,109.39,111.23,801800,111.23
2024-05-24,112.52,113.98,111.0,113.25,502500,113.25
2024-05-28,113.5,113.638,111.04,112.18,655100,112.18
2024-05-29,111.95,114.38,110.27,114.0,440100,114.0
2024-05-30,113.81,114.64,112.75,114.12,621700,114.12
2024-05-31,113.82,119.56,113.57,118.93,815100,118.93
2024-06-03,120.84,125.37,120.84,123.15,1454900,123.15
2024-06-04,128.93,129.95,125.26,128.67,1541300,128.67
2024-06-05,129.6,131.85,127.8,128.8,1025100,128.8
2024-06-06,128.22,129.09,126.79,128.7,603000,128.7
2024-06-07,128.84,128.84,125.55,128.01,600600,128.01
2024-06-10,127.02,130.34,126.37,129.82,702300,129.82
2024-06-11,129.54,129.54,126.31,126.93,555200,126.93
2024-06-12,130.24,132.03,129.06,130.67,605300,130.67
2024-06-13,130.29,131.155,127.84,130.22,674200,130.22
2024-06-14,128.88,129.79,126.13,126.44,624100,126.44
2024-06-17,127.1,130.85,126.51,130.38,733700,130.38
2024-06-18,130.37,134.0,129.78,133.81,734800,133.81
2024-06-20,133.63,134.61,128.13,128.68,1061400,128.68
2024-06-21,128.19,129.41,126.81,129.08,797200,129.08
2024-06-24,129.1,132.33,128.84,129.43,634700,129.43
2024-06-25,129.08,130.05,127.09,127.84,759300,127.84
2024-06-26,127.71,127.94,125.57,127.62,604000,127.62
2024-06-27,126.24,128.57,124.665,128.37,794000,128.37
2024-06-28,126.52,131.135,124.13,128.93,924000,128.93
2024-07-01,130.17,130.67,126.957,130.13,1013100,130.13
2024-07-02,129.95,131.4,127.63,131.4,469800,131.4
2024-07-03,131.4,131.5,127.31,127.47,335200,127.47
2024-07-05,127.46,128.39,126.47,128.21,474300,128.21
2024-07-08,129.76,129.77,127.9,129.43,490300,129.43
2024-07-09,128.95,129.42,122.919,124.74,632300,124.74
2024-07-10,125.06,126.06,123.92,125.17,729100,125.17
2024-07-11,126.78,128.13,124.59,127.23,884100,127.23
2024-07-12,127.85,128.94,125.27,125.31,678800,125.31
2024-07-15,124.44,130.26,123.0,128.73,1201100,128.73
2024-07-16,130.25,133.67,129.988,130.98,853400,130.98
2024-07-17,127.53,129.29,122.01,122.42,1077200,122.42
2024-07-18,122.75,123.29,117.17,119.66,1168000,119.66
2024-07-19,121.15,122.39,118.64,119.63,713100,119.63
2024-07-22,122.58,125.61,120.4,123.83,906100,123.83
2024-07-23,123.71,125.12,122.13,122.54,401500,122.54
2024-07-24,118.25,121.04,115.38,118.26,774000,118.26
2024-07-25,120.64,123.82,118.29,122.19,547200,122.19
2024-07-26,124.71,130.587,123.835,129.83,669800,129.83
2024-07-29,130.13,131.49,128.645,130.29,597000,130.29
2024-07-30,131.0,131.99,128.78,130.01,410400,130.01
2024-07-31,131.56,137.48,128.88,133.48,619800,133.48
2024-08-01,133.76,133.76,125.33,127.53,602300,127.53
2024-08-02,122.0,122.12,112.64,118.14,1242300,118.14
2024-08-05,110.93,119.34,110.65,119.07,926400,119.07
2024-08-06,119.14,120.4,116.18,117.56,727800,117.56
2024-08-07,119.62,121.295,115.01,115.7,972900,115.7
2024-08-08,126.875,133.48,119.8,131.71,1625400,131.71
2024-08-09,130.74,133.96,129.66,133.88,919600,133.88
2024-08-12,133.93,137.2,132.75,136.97,651900,136.97
2024-08-13,137.99,138.78,134.07,135.09,731600,135.09
2024-08-14,135.28,135.495,132.15,132.83,336800,132.83
2024-08-15,138.47,141.87,137.12,140.02,656600,140.02
2024-08-16,139.01,141.42,137.27,137.48,471300,137.48
2024-08-19,137.45,139.25,135.92,136.28,361500,136.28
2024-08-20,136.04,137.38,134.76,136.67,388500,136.67
2024-08-21,140.84,141.51,137.77,139.64,570000,139.64
2024-08-22,138.77,139.52,137.21,138.8,284900,138.8
2024-08-23,140.52,143.02,138.92,142.39,568100,142.39
2024-08-26,143.37,143.57,141.18,141.88,438400,141.88
2024-08-27,140.0,141.7,138.5,141.01,447500,141.01
2024-08-28,139.55,139.55,136.13,136.31,476800,136.31
2024-08-29,137.57,140.18,136.1,137.6,406200,137.6
2024-08-30,138.39,138.39,132.83,134.17,502300,134.17
2024-09-03,131.98,135.94,131.98,135.47,413400,135.47
2024-09-04,134.26,135.62,132.59,135.29,287700,135.29
2024-09-05,135.92,137.56,133.71,134.9,301200,134.9
2024-09-06,134.56,136.74,133.59,135.51,388900,135.51
2024-09-09,135.03,140.47,133.78,139.55,827000,139.55
2024-09-10,153.5,162.16,148.32,153.42,1995600,153.42
2024-09-11,153.45,153.89,146.1,148.23,697900,148.23
2024-09-12,147.87,152.33,147.39,150.45,447900,150.45
2024-09-13,152.37,156.27,152.11,154.55,451300,154.55
2024-09-16,154.46,157.77,153.77,154.97,422800,154.97
2024-09-17,156.37,160.2,155.489,156.94,428600,156.94
2024-09-18,157.09,164.43,155.72,160.33,502800,160.33
2024-09-19,163.0,166.27,161.73,166.21,481900,166.21
2024-09-20,165.77,168.7,164.83,167.81,962000,167.81
2024-09-23,165.71,166.6,160.61,164.35,582600,164.35
2024-09-24,165.23,167.14,163.47,166.46,274500,166.46
2024-09-25,166.57,166.57,163.74,165.08,543800,165.08
2024-09-26,167.0,168.16,163.36,167.64,389600,167.64
2024-09-27,168.69,169.05,164.285,165.12,446200,165.12
2024-09-30,164.57,168.21,164.57,167.28,543700,167.28
2024-10-01,166.23,169.065,165.06,166.52,626500,166.52
2024-10-02,165.0,168.8,164.4,166.64,468300,166.64
2024-10-03,165.97,165.97,161.2,163.71,627000,163.71
2024-10-04,166.59,168.625,165.22,165.8,572800,165.8
2024-10-07,164.16,164.24,159.93,161.61,462700,161.61
2024-10-08,161.87,164.54,160.82,161.6,401900,161.6
2024-10-09,164.37,164.795,161.46,161.51,349800,161.51
2024-10-10,160.28,161.38,158.58,159.91,551800,159.91
2024-10-11,160.0,161.64,159.17,159.36,373800,159.36
2024-10-14,160.04,162.4,159.07,161.65,527900,161.65
