date,open,high,low,close,volume,adj_close
2026-06-11,9.9,9.95,9.9,9.92,250200,9.92
2026-06-12,9.92,9.92,9.91,9.92,1284800,9.92
2026-06-15,9.92,9.92,9.9,9.91,246700,9.91
2026-06-16,9.92,9.92,9.91,9.92,111300,9.92
2026-06-17,9.9,9.91,9.9,9.91,323000,9.91
2026-06-18,9.92,9.92,9.92,9.92,40100,9.92
2026-06-22,9.92,9.93,9.92,9.92,51200,9.92
2026-06-23,9.92,9.93,9.92,9.93,51300,9.93
2026-06-24,9.93,9.93,9.92,9.93,30900,9.93
2026-06-25,9.93,9.94,9.93,9.94,32700,9.94
2026-06-26,9.93,9.94,9.92,9.92,466300,9.92
2026-06-29,9.92,9.92,9.92,9.92,0,9.92
2026-06-30,9.93,9.93,9.91,9.91,16600,9.91
2026-07-01,9.94,9.94,9.94,9.94,600,9.94
2026-07-02,9.94,9.94,9.93,9.94,103536,9.94
2026-07-06,9.95,9.95,9.95,9.95,35317,9.95
