date,open,high,low,close,volume,adj_close
2026-08-06,30.2,31.56,29.42,29.8,3292200,29.8
2026-08-07,29.7,32.0,28.47,30.0,566600,30.0
2026-08-10,30.78,31.995,27.45,27.53,414768,27.53
2026-08-11,27.53,27.88,24.61,25.01,724610,25.01
2026-08-12,24.9,26.67,24.9,26.15,633278,26.15
2026-08-13,26.1,26.635,24.88,25.97,704993,25.97
2026-08-14,25.92,27.15,25.24,27.03,329774,27.03
2026-08-17,26.97,28.29,26.71,27.66,309696,27.66
2026-08-18,27.64,28.5,25.76,26.75,214644,26.75
2026-08-19,26.99,30.115,26.86,28.97,391309,28.97
2026-08-20,28.43,28.89,26.535,27.42,175553,27.42
2026-08-21,27.49,28.095,27.16,27.58,130088,27.58
2026-08-24,27.64,27.995,26.1737,27.5,101992,27.5
2026-08-25,28.29,29.25,27.065,27.64,155334,27.64
2026-08-26,27.8,28.65,27.01,27.76,215203,27.76
2026-08-27,27.5,29.0,27.5,27.86,127800,27.86
2026-08-28,27.98,29.24,27.38,27.44,162456,27.44
2026-08-31,27.95,27.95,24.305,25.5,806203,25.5
