date,open,high,low,close,volume,adj_close
2026-05-11,9.85,10.0,9.85,9.96,10600,9.96
2026-05-12,9.93,9.94,9.93,9.93,9700,9.93
2026-05-13,9.93,9.93,9.93,9.93,1300,9.93
2026-05-14,9.93,9.93,9.93,9.93,0,9.93
2026-05-15,9.93,9.93,9.93,9.93,200,9.93
2026-05-18,9.95,9.95,9.92,9.92,3000,9.92
2026-05-19,9.93,9.93,9.92,9.92,10900,9.92
2026-05-20,9.92,9.92,9.92,9.92,2000,9.92
2026-05-21,9.92,9.92,9.92,9.92,0,9.92
2026-05-22,9.92,9.92,9.92,9.92,0,9.92
2026-05-26,9.92,9.92,9.92,9.92,0,9.92
2026-05-27,9.92,9.92,9.92,9.92,0,9.92
2026-05-28,9.93,9.93,9.92,9.92,13600,9.92
2026-05-29,9.92,9.92,9.92,9.92,600,9.92
2026-06-01,9.92,9.92,9.91,9.91,4200,9.91
2026-06-02,9.9,9.9,9.9,9.9,200,9.9
2026-06-03,9.91,9.91,9.91,9.91,500,9.91
2026-06-04,9.91,9.91,9.89,9.89,38200,9.89
2026-06-05,9.9,9.9,9.89,9.89,112500,9.89
2026-06-08,9.89,9.89,9.89,9.89,130800,9.89
2026-06-09,9.89,9.89,9.88,9.88,25000,9.88
2026-06-10,9.88,9.88,9.88,9.88,45900,9.88
2026-06-11,9.88,9.89,9.88,9.88,5400,9.88
2026-06-12,9.89,9.89,9.88,9.88,19600,9.88
2026-06-15,9.89,9.89,9.88,9.88,142100,9.88
2026-06-16,9.89,9.9,9.89,9.89,60400,9.89
2026-06-17,9.91,9.91,9.89,9.89,1800,9.89
2026-06-18,9.89,9.89,9.89,9.89,0,9.89
2026-06-22,9.89,9.89,9.89,9.89,0,9.89
2026-06-23,9.91,9.91,9.89,9.89,2500,9.89
2026-06-24,9.89,9.89,9.89,9.89,200,9.89
2026-06-25,9.89,9.89,9.89,9.89,0,9.89
2026-06-26,9.89,9.89,9.89,9.89,100,9.89
2026-06-29,9.89,9.89,9.89,9.89,100,9.89
2026-06-30,9.9,9.9,9.9,9.9,20600,9.9
2026-07-01,9.9,9.9,9.9,9.9,100,9.9
2026-07-02,9.9,9.9,9.9,9.9,100,9.9
2026-07-06,9.9,9.9,9.9,9.9,100,9.9
2026-07-07,9.9,9.92,9.9,9.92,10600,9.92
2026-07-08,9.92,9.92,9.92,9.92,0,9.92
2026-07-09,9.92,9.92,9.92,9.92,0,9.92
2026-07-10,9.92,9.92,9.92,9.92,0,9.92
2026-07-13,9.92,9.92,9.91,9.91,2600,9.91
2026-07-14,9.91,9.91,9.9,9.9,3700,9.9
2026-07-15,9.9,9.9,9.9,9.9,0,9.9
2026-07-16,9.9,9.9,9.9,9.9,0,9.9
2026-07-17,9.9,9.9,9.9,9.9,1700,9.9
2026-07-20,9.9,9.9,9.9,9.9,0,9.9
2026-07-21,9.9,9.9,9.9,9.9,7000,9.9
2026-07-22,9.9,9.9,9.9,9.9,0,9.9
2026-07-23,9.9,9.9,9.9,9.9,0,9.9
2026-07-24,9.9,9.9,9.9,9.9,0,9.9
2026-07-27,9.91,9.91,9.91,9.91,112500,9.91
2026-07-28,9.91,9.91,9.91,9.91,0,9.91
2026-07-29,9.91,9.91,9.91,9.91,0,9.91
2026-07-30,9.91,9.91,9.91,9.91,0,9.91
2026-07-31,9.91,9.91,9.91,9.91,100,9.91
2026-08-03,9.91,9.91,9.91,9.91,0,9.91
2026-08-04,9.91,9.91,9.91,9.91,0,9.91
2026-08-05,9.91,9.91,9.91,9.91,0,9.91
2026-08-06,9.92,9.92,9.92,9.92,29200,9.92
2026-08-07,9.92,9.92,9.92,9.92,0,9.92
2026-08-10,9.92,9.92,9.92,9.92,0,9.92
2026-08-11,9.92,9.92,9.92,9.92,0,9.92
2026-08-12,9.92,9.92,9.92,9.92,0,9.92
2026-08-13,9.92,9.92,9.92,9.92,0,9.92
2026-08-14,9.92,9.92,9.92,9.92,0,9.92
2026-08-17,9.94,9.94,9.94,9.94,400,9.94
2026-08-18,9.93,9.93,9.91,9.91,10200,9.91
2026-08-19,9.95,9.95,9.95,9.95,500,9.95
2026-08-20,9.95,9.95,9.95,9.95,5100,9.95
2026-08-21,9.9,9.96,9.91,9.91,145954,9.91
2026-08-24,9.92,9.945,9.93,9.94,26492,9.94
