date,open,high,low,close,volume,adj_close
2024-12-27,205.0,223.0,185.0,203.5,35241,203.5
2024-12-30,210.0,260.0,196.0,242.5,8351,242.5
2024-12-31,245.5,345.0,242.41,314.5,8472,314.5
2025-01-02,294.0,301.0,215.0,230.0,4249,230.0
2025-01-03,232.0,232.0,210.0,220.0,3412,220.0
2025-01-06,221.0,267.0,221.0,235.5,1486,235.5
2025-01-07,248.5,260.0,234.5,249.5,522,249.5
2025-01-08,249.5,259.845,230.0,231.5,772,231.5
2025-01-10,227.0,259.75,227.0,241.5,1711,241.5
2025-01-13,246.5,287.5,237.0,287.5,4139,287.5
2025-01-14,287.5,300.5,275.0,289.0,1678,289.0
2025-01-15,286.0,292.0,268.0,290.0,3080,290.0
2025-01-16,298.0,303.56,280.5,292.5,2174,292.5
2025-01-17,297.5,302.5,282.5,285.5,763,285.5
2025-01-21,290.0,300.0,287.5,294.5,342,294.5
2025-01-22,287.0,296.5,250.5,262.5,1225,262.5
2025-01-23,274.5,288.5,269.0,285.0,293,285.0
2025-01-24,299.0,299.0,261.5,274.5,4488,274.5
2025-01-27,275.5,287.0,255.0,267.5,2290,267.5
2025-01-28,265.0,280.0,265.0,267.0,958,267.0
2025-01-29,272.725,284.995,262.5,284.5,423,284.5
2025-01-30,287.5,332.5,287.5,305.5,2421,305.5
2025-01-31,282.5,315.66,270.5,300.0,2299,300.0
2025-02-03,291.0,316.0,289.75,309.5,324,309.5
2025-02-04,309.5,316.5,292.5,309.0,379,309.0
2025-02-05,297.5,307.5,251.505,264.0,1033,264.0
2025-02-06,271.215,287.0,270.0,274.0,203,274.0
2025-02-07,266.0,287.5,266.0,280.0,149,280.0
2025-02-10,280.0,280.0,260.5,264.0,288,264.0
2025-02-11,260.0,268.0,227.5,263.0,433,263.0
2025-02-12,263.5,263.5,250.5,256.0,131,256.0
2025-02-13,257.5,277.915,256.6,277.5,169,277.5
2025-02-14,262.5,278.09,258.5,263.0,171,263.0
2025-02-18,262.5,280.0,247.0,280.0,232,280.0
2025-02-19,265.5,278.0,260.0,278.0,159,278.0
2025-02-20,260.5,273.02,260.0,272.5,32,272.5
2025-02-21,260.75,272.5,260.75,272.0,115,272.0
2025-02-24,250.0,269.0,250.0,269.0,37,269.0
2025-02-25,250.0,268.04,250.0,262.0,61,262.0
2025-02-26,250.0,272.5,250.0,272.5,62,272.5
2025-02-27,297.0,297.0,259.5,259.5,58,259.5
2025-02-28,274.0,274.0,261.0,262.0,53,262.0
2025-03-03,259.5,291.0,257.555,291.0,5291,291.0
2025-03-04,290.0,370.5,287.1,359.48,6315,359.48
2025-03-05,370.5,390.5,307.5,332.5,9497,332.5
2025-03-06,337.5,350.0,305.0,345.0,8333,345.0
2025-03-07,339.5,399.0,321.75,384.5,8050,384.5
2025-03-10,395.0,458.5,385.455,401.635,8145,401.635
2025-03-11,406.0,447.5,384.0,415.0,8118,415.0
2025-03-12,411.5,450.0,392.935,437.5,10800,437.5
2025-03-13,435.5,450.0,407.5,412.0,9180,412.0
2025-03-14,414.5,432.5,375.5,385.0,8413,385.0
2025-03-17,419.17,419.17,345.0,394.5,10352,394.5
2025-03-18,390.0,549.0,365.0,530.0,11205,530.0
2025-03-19,530.0,550.0,476.0,486.0,10619,486.0
2025-03-20,480.0,595.5,463.0,551.5,10228,551.5
2025-03-21,550.0,698.995,550.0,674.0,10834,674.0
2025-03-24,665.5,666.0,506.5,541.0,10687,541.0
2025-03-25,561.5,594.0,472.5,477.0,12756,477.0
2025-03-26,478.5,565.37,465.0,530.0,9627,530.0
2025-03-27,514.0,620.5,502.5,591.5,9093,591.5
2025-03-28,587.0,689.255,566.0,639.5,8693,639.5
2025-03-31,624.5,737.5,582.5,661.0,12725,661.0
2025-04-01,649.0,717.0,575.0,589.5,11004,589.5
2025-04-02,591.5,700.0,591.5,662.5,11347,662.5
2025-04-03,647.0,692.5,610.0,639.0,8869,639.0
2025-04-04,644.0,694.775,609.915,679.5,8942,679.5
2025-04-07,669.5,739.665,636.5,656.0,8630,656.0
2025-04-08,655.5,699.75,622.0,637.0,8174,637.0
2025-04-09,637.5,704.5,613.5,679.5,8869,679.5
2025-04-10,670.0,725.0,647.25,651.0,8287,651.0
2025-04-11,651.5,682.25,600.0,649.0,9715,649.0
2025-04-14,616.0,694.0,616.0,651.0,7099,651.0
2025-04-15,655.0,687.5,631.5,659.5,8386,659.5
2025-04-16,649.75,750.0,638.0,650.5,9314,650.5
2025-04-17,685.0,696.5,647.98,676.5,8365,676.5
2025-04-21,663.0,685.0,650.0,675.0,8017,675.0
2025-04-22,685.0,828.0,657.0,685.5,10001,685.5
2025-04-23,685.5,770.0,685.5,742.0,7358,742.0
2025-04-24,732.5,766.915,713.0,713.0,6599,713.0
2025-04-25,727.0,745.0,705.0,713.5,6113,713.5
2025-04-28,726.5,740.0,686.0,689.0,6135,689.0
2025-04-29,668.0,781.25,668.0,702.5,6309,702.5
2025-04-30,724.5,731.0,690.5,716.0,7418,716.0
2025-05-01,715.0,780.0,700.0,714.5,6923,714.5
2025-05-02,705.0,742.0,640.0,652.5,6795,652.5
2025-05-05,623.5,671.25,601.33,645.5,4386,645.5
2025-05-06,659.5,700.0,648.0,681.0,6847,681.0
2025-05-07,685.0,750.0,675.0,730.0,6231,730.0
2025-05-08,747.5,756.25,709.25,726.25,6536,726.25
2025-05-09,735.0,782.0,710.0,745.75,6523,745.75
2025-05-12,746.0,777.0,628.455,669.0,6678,669.0
2025-05-13,650.5,748.0,650.5,686.5,7070,686.5
2025-05-14,671.0,718.71,671.0,695.0,6925,695.0
2025-05-15,709.5,711.39,646.0,663.5,6815,663.5
2025-05-16,660.5,750.0,651.5,740.25,6473,740.25
2025-05-19,747.5,750.875,701.0,709.0,7565,709.0
2025-05-20,706.0,735.0,699.5,711.0,6358,711.0
