date,open,high,low,close,volume,adj_close
2026-03-10 00:00:00,33.0,33.0,7.3,9.13,540000,9.13
2026-03-11 00:00:00,9.14,9.31,7.44,8.0,186900,8.0
2026-03-12 00:00:00,7.35,9.36,7.01,7.71,376100,7.71
2026-03-13 00:00:00,7.65,8.0,4.46,4.77,288400,4.77
2026-03-16 00:00:00,4.32,4.46,2.75,3.03,516100,3.03
2026-03-17 00:00:00,2.95,2.95,2.08,2.4,427700,2.4
2026-03-18 00:00:00,2.22,2.39,1.88,2.29,542800,2.29
2026-03-19 00:00:00,2.15,2.58,1.95,2.54,216300,2.54
2026-03-20 00:00:00,2.62,2.85,2.2,2.71,210800,2.71
2026-03-23 00:00:00,2.75,3.2,2.5,3.13,122400,3.13
2026-03-24 00:00:00,3.14,3.44,2.81,3.35,139100,3.35
2026-03-25 00:00:00,3.22,4.74,3.1,4.49,282000,4.49
2026-03-26 00:00:00,4.5,4.9,4.23,4.48,147900,4.48
2026-03-27 00:00:00,4.47,4.7,3.65,3.98,73100,3.98
2026-03-30 00:00:00,4.02,4.38,3.79,3.9,65700,3.9
2026-03-31 00:00:00,3.76,4.57,3.75,4.46,86100,4.46
2026-04-01 00:00:00,4.4,4.48,3.87,4.25,80600,4.25
2026-04-02 00:00:00,4.0,4.76,4.0,4.5,110300,4.5
2026-04-06 00:00:00,4.38,4.5,4.12,4.39,83800,4.39
2026-04-07 00:00:00,4.4,4.45,4.1,4.22,109600,4.22
2026-04-08 00:00:00,4.15,4.16,3.84,4.08,51500,4.08
2026-04-09 00:00:00,3.85,4.1,3.74,3.92,73900,3.92
2026-04-10 00:00:00,4.01,4.1,3.93,3.96,76000,3.96
2026-04-13 00:00:00,3.8,4.09,3.75,4.0,20000,4.0
2026-04-14 00:00:00,3.87,4.0,3.8,3.97,55300,3.97
2026-04-15 00:00:00,3.9,4.0,3.8,3.96,40800,3.96
2026-04-16 00:00:00,3.83,3.97,3.78,3.84,30100,3.84
2026-04-17 00:00:00,3.8,3.83,3.51,3.51,35900,3.51
2026-04-20 00:00:00,3.46,3.48,3.09,3.1,44200,3.1
2026-04-21 00:00:00,3.12,3.39,2.63,2.74,47400,2.74
2026-04-22 00:00:00,2.79,3.1,2.25,2.35,75200,2.35
2026-04-23 00:00:00,2.36,2.63,1.63,1.68,1805300,1.68
2026-04-24 00:00:00,2.29,2.57,2.0,2.13,16662200,2.13
2026-04-27 00:00:00,2.15,3.1,2.0,2.89,5170900,2.89
2026-04-28 00:00:00,2.72,3.04,2.4,2.4,494400,2.4
2026-04-29 00:00:00,2.77,2.81,2.15,2.2,304200,2.2
2026-04-30 00:00:00,2.21,2.4,2.0,2.09,165500,2.09
2026-05-01 00:00:00,2.09,2.22,2.06,2.12,78100,2.12
2026-05-04 00:00:00,2.08,2.11,1.87,1.93,136800,1.93
2026-05-05 00:00:00,1.88,2.09,1.7,2.0,344900,2.0
2026-05-06 00:00:00,1.97,2.04,1.8,1.85,88500,1.85
2026-05-07 00:00:00,1.83,1.89,1.69,1.77,126700,1.77
2026-05-08 00:00:00,1.83,1.83,1.5,1.5,270800,1.5
2026-05-11 00:00:00,1.53,1.59,1.46,1.5,117700,1.5
2026-05-12 00:00:00,1.49,1.53,1.43,1.47,178200,1.47
2026-05-13 00:00:00,1.47,1.49,1.36,1.42,138800,1.42
2026-05-14 00:00:00,1.44,1.99,1.39,1.86,532900,1.86
2026-05-15 00:00:00,1.7,1.8,1.43,1.44,166900,1.44
2026-05-18 00:00:00,1.43,1.55,1.2,1.41,301100,1.41
2026-05-19 00:00:00,1.34,1.45,1.34,1.39,139300,1.39
2026-05-20 00:00:00,1.36,1.43,1.33,1.39,85300,1.39
2026-05-21 00:00:00,1.43,1.43,1.26,1.26,112200,1.26
2026-05-22 00:00:00,1.29,1.3,0.98,1.01,418800,1.01
2026-05-26 00:00:00,0.99,1.0,0.81,0.86,810400,0.86
2026-05-27 00:00:00,0.87,0.87,0.68,0.75,396000,0.75
2026-05-28 00:00:00,0.74,0.85,0.73,0.82,294800,0.82
2026-05-29 00:00:00,0.84,0.9,0.75,0.83,411800,0.83
2026-06-01 00:00:00,0.83,0.83,0.73,0.77,165000,0.77
2026-06-02 00:00:00,0.8,0.84,0.72,0.84,248400,0.84
2026-06-03 00:00:00,0.84,0.84,0.71,0.74,164900,0.74
2026-06-04 00:00:00,0.73,0.75,0.68,0.73,163000,0.73
2026-06-05 00:00:00,0.73,0.73,0.65,0.68,154500,0.68
2026-06-08 00:00:00,0.67,0.73,0.6,0.69,286200,0.69
2026-06-09 00:00:00,0.68,0.69,0.63,0.65,234700,0.65
2026-06-10 00:00:00,0.65,0.65,0.58,0.59,227400,0.59
2026-06-11 00:00:00,0.64,0.95,0.5,0.64,12210300,0.64
2026-06-12 00:00:00,0.6,2.0,0.58,1.55,208124900,1.55
2026-06-15 00:00:00,4.84,4.95,3.26,3.75,158152600,3.75
2026-06-16 00:00:00,3.4,4.23,3.06,3.75,13158800,3.75
