date,open,high,low,close,volume,adj_close
2025-10-02,25.1486,25.1486,23.2662,23.9037,722800,23.9037
2025-10-03,23.7045,24.4016,23.7045,24.1925,46100,24.1925
2025-10-06,24.2722,24.6506,24.1029,24.6506,113100,24.6506
2025-10-07,24.7004,24.7004,24.3618,24.6008,78900,24.6008
2025-10-08,24.6506,24.8,24.551,24.551,73200,24.551
2025-10-09,24.0531,25.7861,24.0531,24.4514,50000,24.4514
2025-10-10,24.6407,24.6855,23.9037,24.2522,164200,24.2522
2025-10-13,24.551,24.7004,24.1128,24.6506,48000,24.6506
2025-10-14,24.5012,24.6407,24.4415,24.5809,9300,24.5809
2025-10-15,24.6506,24.6506,24.1925,24.3419,12300,24.3419
2025-10-16,24.6008,24.6706,23.7045,24.1726,80100,24.1726
2025-10-17,23.7144,24.312,23.6049,24.0929,28900,24.0929
2025-10-20,24.302,24.4415,23.7642,24.4415,24900,24.4415
2025-10-21,24.1676,25.1486,24.1676,25.059,38300,25.059
2025-10-22,25.1486,25.1486,24.4813,24.7602,103700,24.7602
2025-10-23,24.9196,25.0988,24.5809,24.8897,38200,24.8897
2025-10-24,24.8797,25.3578,24.6257,25.2433,220700,25.2433
2025-10-27,24.8299,25.4474,24.8299,25.0988,30600,25.0988
2025-10-28,24.9992,25.2184,24.6307,24.6905,66700,24.6905
2025-10-29,24.8299,24.8498,24.2323,24.5311,27800,24.5311
2025-10-30,24.1775,24.4016,24.0082,24.073,26700,24.073
2025-10-31,24.0431,24.4016,24.0132,24.3518,15200,24.3518
2025-11-03,24.308,24.4016,24.2074,24.4016,20600,24.4016
2025-11-04,24.3917,24.4116,24.3419,24.4016,27400,24.4016
2025-11-05,24.3419,24.5311,23.9535,24.2821,36700,24.2821
2025-11-06,24.063,24.2821,23.7343,23.9136,21400,23.9136
2025-11-07,23.7144,24.1029,23.7144,24.1029,24000,24.1029
2025-11-10,24.0431,24.2622,23.8738,24.1228,14300,24.1228
2025-11-11,24.2722,24.3419,24.1875,24.3319,14700,24.3319
2025-11-12,24.0531,24.3409,24.0531,24.302,19300,24.302
2025-11-13,24.1327,24.302,23.8041,24.2224,28800,24.2224
2025-11-14,24.1029,24.1626,23.9136,24.063,16200,24.063
