date,open,high,low,close,volume,adj_close
2024-06-04,19.6652,19.7817,19.4614,19.5002,18300,19.5002
2024-06-05,19.4711,19.607,19.4322,19.5973,18400,19.5973
2024-06-06,19.539,19.5584,19.374,19.5584,8500,19.5584
2024-06-07,19.4614,19.5973,19.3837,19.4225,14200,19.4225
2024-06-10,19.5293,19.5293,19.1799,19.2672,19400,19.2672
2024-06-11,19.141,19.2381,19.0828,19.1993,12800,19.1993
2024-06-12,19.5875,19.5875,19.2381,19.2478,14000,19.2478
2024-06-13,19.1993,19.3061,18.9566,19.1508,14400,19.1508
2024-06-14,19.1313,19.1896,18.8887,19.0537,18500,19.0537
2024-06-17,19.1119,19.1702,18.9469,19.0828,16200,19.0828
2024-06-18,19.141,19.374,18.976,18.9857,18900,18.9857
2024-06-20,18.879,19.1605,18.879,19.0634,11100,19.0634
2024-06-21,19.044,19.374,19.044,19.2672,40700,19.2672
2024-06-24,19.374,19.6846,19.3449,19.4419,19000,19.4419
2024-06-25,19.4225,19.5487,19.4128,19.4128,9700,19.4128
2024-06-26,19.2575,19.5196,19.2575,19.4322,13900,19.4322
2024-06-27,19.5875,19.5973,19.4128,19.5487,11500,19.5487
2024-06-28,19.6555,20.1408,19.5875,19.8981,107500,19.8981
2024-07-01,20.0535,20.0535,19.8593,19.8593,42800,19.8593
2024-07-02,19.9661,19.9661,19.7526,19.772,11700,19.772
2024-07-03,19.8982,19.8982,19.5875,19.5875,13500,19.5875
2024-07-05,19.4517,19.5875,19.1216,19.1896,43400,19.1896
2024-07-08,19.4031,19.5099,19.2575,19.4322,31800,19.4322
2024-07-09,19.6943,19.6943,19.3061,19.5681,28700,19.5681
2024-07-10,19.6361,19.9661,19.5973,19.9467,28300,19.9467
2024-07-11,20.1893,20.9173,20.0437,20.8785,48600,20.8785
2024-07-12,20.8785,21.2376,20.7911,20.9367,26900,20.9367
2024-07-15,21.1309,21.9268,21.1309,21.8297,30700,21.8297
2024-07-16,22.0821,23.0333,22.0821,22.8877,49900,22.8877
2024-07-17,22.7615,23.2954,22.7615,23.1789,39400,23.1789
2024-07-18,23.0333,23.2663,22.5868,22.6257,28900,22.6257
2024-07-19,22.6451,23.1498,22.6451,22.7615,20800,22.7615
2024-07-22,22.8198,23.2954,22.6645,23.1886,24100,23.1886
2024-07-23,23.1886,24.0816,23.1886,23.5283,41900,23.5283
2024-07-24,23.6934,24.9649,23.6836,24.6834,58100,24.6834
2024-07-25,24.6543,25.4308,24.3922,25.1687,53000,25.1687
2024-07-26,25.2173,25.2367,24.0913,25.1202,22900,25.1202
2024-07-29,25.2173,25.2173,23.9943,24.2175,33400,24.2175
2024-07-30,24.0719,24.7028,24.0719,24.5281,22500,24.5281
2024-07-31,24.3437,24.8193,24.2952,24.7417,32300,24.7417
2024-08-01,23.1789,24.994,23.1789,24.266,46700,24.266
2024-08-02,23.5769,24.1787,23.4992,23.606,21300,23.606
2024-08-05,23.0017,23.5865,22.1148,23.1479,45000,23.1479
2024-08-06,23.1479,23.684,22.5241,23.031,20800,23.031
2024-08-07,23.0504,23.0504,22.6606,22.8165,13300,22.8165
2024-08-08,22.8945,23.2161,22.7288,23.1869,9700,23.1869
2024-08-09,22.4364,23.3818,22.4364,22.7483,12200,22.7483
2024-08-12,22.992,23.2356,22.7873,23.0602,22800,23.0602
2024-08-13,23.606,23.606,22.8848,23.1772,17000,23.1772
2024-08-14,23.1089,23.4501,22.7288,22.7678,7300,22.7678
2024-08-15,22.9725,23.528,22.1928,23.4013,16200,23.4013
2024-08-16,23.4208,23.7327,23.4208,23.528,11600,23.528
2024-08-19,23.6352,24.0641,23.5865,23.8789,20800,23.8789
2024-08-20,23.8886,23.9959,23.4988,23.6645,19700,23.6645
2024-08-21,23.8789,24.2005,23.6255,23.7425,10700,23.7425
2024-08-22,23.7327,24.0738,23.7327,23.9081,8900,23.9081
2024-08-23,24.2688,24.9997,24.22,24.4637,58400,24.4637
2024-08-26,24.7756,24.7756,24.3467,24.6684,38200,24.6684
2024-08-27,24.6294,24.6976,24.0446,24.6001,17700,24.6001
2024-08-28,24.6001,24.7658,24.5319,24.6294,16600,24.6294
2024-08-29,24.9997,24.9997,24.6976,24.8146,14700,24.8146
2024-08-30,24.8341,24.9315,24.7463,24.9315,6700,24.9315
2024-09-03,24.8341,24.951,24.6976,24.8341,16600,24.8341
2024-09-04,24.7853,24.9608,24.4539,24.4539,7400,24.4539
2024-09-05,24.4539,24.5904,24.1518,24.259,10900,24.259
2024-09-06,24.2103,24.6001,23.9374,23.9374,15900,23.9374
2024-09-09,24.0543,24.3272,23.8789,23.9471,16200,23.9471
2024-09-10,23.9374,24.2493,23.8886,24.2395,14500,24.2395
2024-09-11,23.8789,24.0251,23.7814,23.8886,22400,23.8886
2024-09-12,23.8399,24.1518,23.8204,24.0641,16300,24.0641
2024-09-13,24.3272,24.5612,24.3077,24.4734,16200,24.4734
2024-09-16,24.4442,24.6781,24.4442,24.6294,12300,24.6294
2024-09-17,24.912,25.1947,24.7074,24.7951,21200,24.7951
2024-09-18,24.8048,25.0192,24.415,24.7074,33000,24.7074
2024-09-19,25.068,25.2629,24.6099,25.2239,36200,25.2239
2024-09-20,24.9997,25.2824,24.5124,25.2824,72800,25.2824
2024-09-23,25.3409,25.3409,24.7463,24.8925,22600,24.8925
2024-09-24,24.9315,24.9315,24.6586,24.6781,12600,24.6781
2024-09-25,24.6489,24.8438,24.3662,24.4052,19700,24.4052
2024-09-26,24.6489,24.7658,24.415,24.4442,18600,24.4442
2024-09-27,24.4734,24.7853,24.4247,24.5904,11900,24.5904
2024-09-30,24.6586,25.0582,24.6586,25.0582,16700,25.0582
2024-10-01,25.0875,25.0875,24.4345,24.4832,22200,24.4832
2024-10-02,24.6586,24.6879,23.9764,23.9959,24600,23.9959
2024-10-03,23.9959,24.2688,23.7814,23.9081,16700,23.9081
2024-10-04,24.0641,24.8146,23.9569,24.22,25300,24.22
2024-10-07,24.3175,24.3175,23.7814,24.1518,16600,24.1518
2024-10-08,24.0543,24.1908,23.7814,23.9471,17200,23.9471
2024-10-09,23.9471,24.1226,23.8204,23.8789,13900,23.8789
2024-10-10,23.8302,23.8497,23.489,23.7912,15900,23.7912
2024-10-11,23.9764,24.4247,23.5768,24.2493,115400,24.2493
2024-10-14,24.4539,25.0972,24.259,24.7463,92200,24.7463
