date,open,high,low,close,volume,adj_close
2024-05-20,53.3461,54.0821,52.9601,53.3551,405900,53.3551
2024-05-21,53.391,53.8398,52.628,53.6872,399600,53.6872
2024-05-22,53.3815,54.2666,53.2537,53.7009,316300,53.7009
2024-05-23,53.5366,53.6096,52.5967,53.3724,409300,53.3724
2024-05-24,53.4728,54.0933,53.3176,53.9655,284600,53.9655
2024-05-28,53.9655,54.4218,53.3998,54.1663,345300,54.1663
2024-05-29,53.8104,54.1571,53.3815,54.0933,361300,54.0933
2024-05-30,54.294,55.4985,54.2666,54.5404,397100,54.5404
2024-05-31,54.7959,54.8141,53.7465,54.0385,396900,54.0385
2024-06-03,54.5039,54.5039,52.0857,52.1679,602500,52.1679
2024-06-04,52.0127,52.6697,49.5855,51.8211,570800,51.8211
2024-06-05,51.7664,52.0219,50.9177,51.082,688900,51.082
2024-06-06,51.1002,52.2317,50.4432,51.7481,588100,51.7481
2024-06-07,51.1915,51.3101,50.1604,50.2881,510000,50.2881
2024-06-10,49.9596,50.0144,47.1673,47.2586,795000,47.2586
2024-06-11,46.994,48.6091,46.3552,47.5871,811100,47.5871
2024-06-12,48.6182,50.6531,48.6182,49.6767,740300,49.6767
2024-06-13,49.476,49.476,47.2038,47.2495,509400,47.2495
2024-06-14,46.9483,47.8244,46.7476,47.6145,558400,47.6145
2024-06-17,47.6145,48.0707,47.1035,47.87,723200,47.87
2024-06-18,47.7057,49.0562,47.7057,48.7734,562500,48.7734
2024-06-20,48.6456,49.4851,47.0852,47.7787,509700,47.7787
2024-06-21,47.6145,47.7879,46.9392,47.1856,1138900,47.1856
2024-06-24,47.3864,47.9065,47.0943,47.8244,335100,47.8244
2024-06-25,47.8609,47.8609,46.848,47.724,483200,47.724
2024-06-26,47.651,48.2532,47.4411,47.8882,550400,47.8882
2024-06-27,48.016,49.4304,47.7331,49.3847,463100,49.3847
2024-06-28,49.7315,51.958,49.5034,51.5017,1768600,51.5017
2024-07-01,50.8265,52.2591,50.1421,50.4067,581100,50.4067
2024-07-02,50.3702,50.4341,49.3482,49.987,420300,49.987
2024-07-03,50.3794,50.8356,49.7315,50.5436,325600,50.5436
2024-07-05,50.5436,51.4744,50.0691,51.1641,385400,51.1641
2024-07-08,51.3557,52.2682,51.3557,52.1405,453900,52.1405
2024-07-09,52.25,53.3268,51.9671,53.2903,447500,53.2903
2024-07-10,53.4454,54.1845,52.6971,53.6826,575900,53.6826
2024-07-11,54.5951,58.5919,54.4674,58.5645,1050200,58.5645
2024-07-12,59.0938,60.9918,58.893,59.2945,856600,59.2945
2024-07-15,59.5956,60.7728,59.3128,60.0428,469300,60.0428
2024-07-16,60.8184,63.638,60.8002,63.2183,654500,63.2183
2024-07-17,62.9902,64.5597,60.0154,60.3257,722800,60.3257
2024-07-18,60.0063,61.229,59.0116,59.5318,452600,59.5318
2024-07-19,59.6504,60.6085,58.7835,60.5082,394400,60.5082
2024-07-22,60.3257,60.3257,58.7927,60.0063,264000,60.0063
2024-07-23,59.696,60.6085,59.5592,59.8603,294400,59.8603
2024-07-24,60.0154,60.864,58.8383,59.0208,522200,59.0208
2024-07-25,59.4953,61.521,59.4953,60.7363,452600,60.7363
2024-07-26,61.1743,62.8989,61.083,62.5613,341800,62.5613
2024-07-29,62.7255,62.835,60.6542,61.1378,279600,61.1378
2024-07-30,61.2747,63.0632,60.7545,62.9993,344200,62.9993
2024-07-31,63.3917,65.1893,62.6708,64.4137,473900,64.4137
2024-08-01,63.9757,64.3316,62.4974,63.1727,332200,63.1727
2024-08-02,61.1378,62.6434,60.9644,61.0009,397000,61.0009
2024-08-05,58.4277,58.9752,56.0369,58.6558,553400,58.6558
2024-08-06,59.0847,61.959,58.3912,61.4572,367700,61.4572
2024-08-07,62.0047,63.6381,61.4207,61.5758,746800,61.5758
2024-08-08,62.9628,63.4556,58.5463,62.7712,687200,62.7712
2024-08-09,62.8442,65.4083,60.9097,65.2349,528300,65.2349
2024-08-12,65.2897,65.8646,63.7476,65.5269,599000,65.5269
2024-08-13,65.7368,65.9376,63.9392,65.6821,481500,65.6821
2024-08-14,65.7003,65.9832,64.9703,65.9467,349000,65.9467
2024-08-15,66.914,67.8995,66.3756,67.0691,368600,67.0691
2024-08-16,66.6402,67.7261,66.1931,67.0326,312900,67.0326
2024-08-19,67.5253,69.3321,67.0691,69.1404,370100,69.1404
2024-08-20,68.5929,69.7336,67.8995,68.1915,278800,68.1915
2024-08-21,65.4266,67.5162,63.9483,67.2881,571700,67.2881
2024-08-22,67.8569,67.8569,66.4511,66.932,226400,66.932
2024-08-23,67.4777,68.5783,67.0892,67.4499,357500,67.4499
2024-08-26,67.8476,68.1158,67.043,67.3389,253000,67.3389
2024-08-27,67.4684,68.5505,67.0522,67.4037,462400,67.4037
2024-08-28,67.08,67.6349,65.5909,65.9239,327700,65.9239
2024-08-29,65.9239,65.9979,64.8418,64.8973,306700,64.8973
2024-08-30,64.999,65.48,63.6025,64.7216,464500,64.7216
2024-09-03,64.3794,65.1193,63.584,63.88,427300,63.88
2024-09-04,63.8245,65.3505,63.7227,64.4904,285100,64.4904
2024-09-05,64.7401,66.9042,64.2869,66.8488,317300,66.8488
2024-09-06,66.7008,68.0603,65.9609,67.6811,423300,67.6811
2024-09-09,67.0522,67.0522,65.3875,65.9332,350100,65.9332
2024-09-10,65.9701,66.5621,65.147,66.4418,396400,66.4418
2024-09-11,66.0164,66.0164,64.4164,64.8233,249400,64.8233
2024-09-12,64.7031,67.043,64.5551,66.5528,338400,66.5528
2024-09-13,67.2834,67.7921,66.636,67.4222,241800,67.4222
2024-09-16,66.5713,67.2095,64.3147,65.4152,512800,65.4152
2024-09-17,65.4152,65.9886,64.8696,65.036,300200,65.036
2024-09-18,65.3875,66.3863,64.7401,65.3505,402100,65.3505
2024-09-19,66.2569,67.2465,65.7852,66.969,320600,66.969
2024-09-20,65.3505,67.5609,65.3412,66.858,1276000,66.858
2024-09-23,67.3852,67.9863,65.8592,67.4222,379200,67.4222
2024-09-24,67.5054,69.5586,67.3482,68.8372,435500,68.8372
2024-09-25,68.9759,69.1424,66.9967,67.5054,517000,67.5054
