date,open,high,low,close,volume,adj_close
2025-11-04 00:00:00,10.28,10.33,10.28,10.3,9455700,10.3
2025-11-05 00:00:00,10.31,10.36,10.31,10.34,1095300,10.34
2025-11-06 00:00:00,10.35,10.35,10.325,10.34,345900,10.34
2025-11-07 00:00:00,10.3,10.32,10.25,10.27,1163200,10.27
2025-11-10 00:00:00,10.29,10.29,10.265,10.27,60000,10.27
2025-11-11 00:00:00,10.27,10.29,10.27,10.27,287300,10.27
2025-11-12 00:00:00,10.27,10.295,10.25,10.28,45700,10.28
2025-11-13 00:00:00,10.256,10.29,10.256,10.28,97500,10.28
2025-11-14 00:00:00,10.349,10.35,10.26,10.29,12400,10.29
2025-11-17 00:00:00,10.325,10.333,10.24,10.24,308000,10.24
2025-11-18 00:00:00,10.22,10.25,10.207,10.22,103200,10.22
2025-11-19 00:00:00,10.262,10.275,10.23,10.23,89900,10.23
2025-11-20 00:00:00,10.269,10.29,10.23,10.23,24600,10.23
2025-11-21 00:00:00,10.289,10.29,10.24,10.24,6200,10.24
2025-11-24 00:00:00,10.23,10.26,10.23,10.24,6100,10.24
2025-11-25 00:00:00,10.2,10.26,10.2,10.22,15700,10.22
2025-11-26 00:00:00,10.25,10.265,10.21,10.25,45500,10.25
2025-11-28 00:00:00,10.25,10.28,10.22,10.245,3500,10.245
2025-12-01 00:00:00,10.26,10.26,10.22,10.22,25700,10.22
2025-12-02 00:00:00,10.24,10.27,10.21,10.25,33300,10.25
2025-12-03 00:00:00,10.25,10.28,10.21,10.21,37700,10.21
2025-12-04 00:00:00,10.22,10.26,10.22,10.25,98800,10.25
2025-12-05 00:00:00,10.26,10.26,10.23,10.25,90900,10.25
2025-12-08 00:00:00,10.25,10.27,10.22,10.25,7800,10.25
2025-12-09 00:00:00,10.23,10.26,10.22,10.25,187600,10.25
2025-12-10 00:00:00,10.25,10.26,10.23,10.24,12800,10.24
2025-12-11 00:00:00,10.25,10.25,10.23,10.23,1300,10.23
2025-12-12 00:00:00,10.25,10.26,10.241,10.26,600,10.26
2025-12-15 00:00:00,10.26,10.26,10.22,10.25,27400,10.25
2025-12-16 00:00:00,10.233,10.26,10.23,10.23,1700,10.23
2025-12-17 00:00:00,10.25,10.25,10.24,10.25,1100,10.25
2025-12-18 00:00:00,10.24,10.25,10.23,10.24,6600,10.24
2025-12-19 00:00:00,10.25,10.25,10.22,10.24,99000,10.24
2025-12-22 00:00:00,10.25,10.25,10.24,10.24,800,10.24
2025-12-23 00:00:00,10.23,10.25,10.22,10.23,43000,10.23
2025-12-24 00:00:00,10.25,10.25,10.23,10.23,25500,10.23
2025-12-26 00:00:00,10.23,10.23,10.23,10.23,0,10.23
2025-12-29 00:00:00,10.25,10.25,10.25,10.25,1700,10.25
2025-12-30 00:00:00,10.26,10.275,10.26,10.27,1500,10.27
2025-12-31 00:00:00,10.25,10.261,10.25,10.25,3400,10.25
2026-01-02 00:00:00,10.28,10.35,10.261,10.28,93700,10.28
2026-01-05 00:00:00,10.275,10.275,10.25,10.25,2600,10.25
2026-01-06 00:00:00,10.233,10.25,10.23,10.247,30000,10.247
2026-01-07 00:00:00,10.25,10.29,10.25,10.26,10500,10.26
2026-01-08 00:00:00,10.258,10.258,10.21,10.21,137800,10.21
2026-01-09 00:00:00,10.24,10.24,10.18,10.19,95700,10.19
2026-01-12 00:00:00,10.19,10.25,10.19,10.21,11400,10.21
2026-01-13 00:00:00,10.2,10.22,10.19,10.21,9500,10.21
2026-01-14 00:00:00,10.25,10.27,10.21,10.25,92100,10.25
2026-01-15 00:00:00,10.27,10.35,10.24,10.35,88000,10.35
2026-01-16 00:00:00,10.25,10.275,10.25,10.26,55300,10.26
2026-01-20 00:00:00,10.29,10.29,10.25,10.26,3700,10.26
2026-01-21 00:00:00,10.26,10.35,10.26,10.3,79300,10.3
2026-01-22 00:00:00,10.28,10.28,10.18,10.21,246600,10.21
2026-01-23 00:00:00,10.235,10.25,10.235,10.25,16400,10.25
2026-01-26 00:00:00,10.25,10.251,10.225,10.23,32800,10.23
2026-01-27 00:00:00,10.24,10.26,10.24,10.26,69200,10.26
2026-01-28 00:00:00,10.25,10.255,10.25,10.25,32800,10.25
2026-01-29 00:00:00,10.25,10.25,10.24,10.25,52700,10.25
2026-01-30 00:00:00,10.25,10.305,10.25,10.25,179600,10.25
2026-02-02 00:00:00,10.25,10.29,10.24,10.25,173800,10.25
2026-02-03 00:00:00,10.25,10.257,10.22,10.24,121400,10.24
2026-02-04 00:00:00,10.22,10.25,10.13,10.15,526100,10.15
2026-02-05 00:00:00,10.16,10.206,10.15,10.2,193400,10.2
2026-02-06 00:00:00,10.2,10.2,10.18,10.18,79300,10.18
2026-02-09 00:00:00,10.18,10.18,10.15,10.16,308900,10.16
2026-02-10 00:00:00,10.17,10.195,10.17,10.19,10900,10.19
2026-02-11 00:00:00,10.17,10.175,10.15,10.15,199700,10.15
2026-02-12 00:00:00,10.15,10.165,10.15,10.16,18200,10.16
2026-02-13 00:00:00,10.15,10.155,10.14,10.15,19100,10.15
2026-02-17 00:00:00,10.14,10.15,10.14,10.15,2100,10.15
2026-02-18 00:00:00,10.14,10.165,10.14,10.15,43800,10.15
2026-02-19 00:00:00,10.16,10.16,10.11,10.13,136600,10.13
