date,open,high,low,close,volume,adj_close
2024-05-20,26.253,26.968,26.253,26.9463,340800,26.9463
2024-05-21,26.903,27.3363,26.8669,26.9175,208200,26.9175
2024-05-22,26.838,26.8741,25.9136,25.9569,247000,25.9569
2024-05-23,25.9786,26.2386,25.733,25.9208,171900,25.9208
2024-05-24,26.0941,26.0941,25.4008,25.4947,176500,25.4947
2024-05-28,25.7402,26.1519,25.7041,25.8991,186900,25.8991
2024-05-29,25.6463,25.6463,25.0541,25.2997,346000,25.2997
2024-05-30,25.4008,25.8558,25.1769,25.6897,189500,25.6897
2024-05-31,25.6608,25.7113,25.3574,25.6102,283000,25.6102
2024-06-03,26.1663,26.4408,25.863,25.8774,262900,25.8774
2024-06-04,25.5669,25.6536,24.9458,25.1841,243800,25.1841
2024-06-05,25.2852,25.5019,25.0469,25.473,258900,25.473
2024-06-06,25.3574,25.6463,25.3213,25.5091,284500,25.5091
2024-06-07,25.5019,26.0508,25.3935,25.8919,482600,25.8919
2024-06-10,25.7908,26.0941,25.0613,25.1191,198900,25.1191
2024-06-11,25.1191,25.3719,24.498,24.5485,369300,24.5485
2024-06-12,24.9819,24.9819,24.0719,24.0935,404000,24.0935
2024-06-13,24.1152,24.2235,23.6385,23.6891,388300,23.6891
2024-06-14,23.6024,23.7252,23.4219,23.4435,135400,23.4435
2024-06-17,23.328,23.7613,23.328,23.6602,210600,23.6602
2024-06-18,23.7396,24.3247,23.7324,23.9274,231400,23.9274
2024-06-20,23.9274,24.0574,23.5735,23.6746,182600,23.6746
2024-06-21,23.6241,23.8191,23.4435,23.5374,295400,23.5374
2024-06-24,23.7758,24.1296,23.7758,23.9419,554800,23.9419
2024-06-25,24.0502,24.3102,23.6169,23.653,610900,23.653
2024-06-26,23.718,23.8624,23.5158,23.7396,328800,23.7396
2024-06-27,24.4514,24.7108,24.1997,24.5506,293700,24.5506
2024-06-28,24.6803,24.9397,24.5354,24.9092,348900,24.9092
2024-07-01,25.0618,25.1762,24.5811,24.7566,288300,24.7566
2024-07-02,24.8863,25.4585,24.8405,25.4585,274000,25.4585
2024-07-03,25.5195,25.6035,25.1838,25.2067,91800,25.2067
2024-07-05,25.2373,25.4585,25.1076,25.2449,306500,25.2449
2024-07-08,25.3364,25.695,25.1762,25.489,205400,25.489
2024-07-09,25.4356,25.7255,25.4356,25.6263,233600,25.6263
2024-07-10,25.7713,26.4121,25.6263,26.1146,366300,26.1146
2024-07-11,26.2061,26.2519,25.9239,26.0688,159200,26.0688
2024-07-12,26.0536,26.4198,25.9162,26.3282,144700,26.3282
2024-07-15,26.3053,26.3359,25.901,25.9086,190000,25.9086
2024-07-16,26.0688,26.2443,26.0154,26.1909,191400,26.1909
2024-07-17,26.1909,26.1909,25.6492,25.8094,148300,25.8094
2024-07-18,25.7179,25.7637,25.3135,25.3364,119800,25.3364
2024-07-19,25.2601,25.8781,25.2601,25.6645,142800,25.6645
2024-07-22,25.7637,26.0231,25.6492,25.901,133100,25.901
2024-07-23,25.8934,25.9391,25.5043,25.5195,84800,25.5195
2024-07-24,25.4661,25.4966,25.0236,25.0465,140900,25.0465
2024-07-25,25.0999,25.283,24.9473,25.016,141300,25.016
2024-07-26,25.1533,25.1838,25.016,25.1304,122500,25.1304
2024-07-29,25.222,25.55,24.6117,24.7566,231700,24.7566
2024-07-30,24.9245,24.9779,24.6803,24.8634,114100,24.8634
2024-07-31,25.1076,25.6187,24.9473,25.4203,178100,25.4203
2024-08-01,25.2678,25.4966,24.9245,25.0389,183600,25.0389
2024-08-02,24.6269,24.8253,24.1692,24.2531,221300,24.2531
2024-08-05,23.1316,23.8335,23.0782,23.7038,213100,23.7038
2024-08-06,23.658,24.0318,23.5359,23.8106,226600,23.8106
2024-08-07,24.2683,24.2683,23.3223,23.4444,182900,23.4444
2024-08-08,23.658,24.1844,23.658,24.0852,473200,24.0852
2024-08-09,23.9632,24.4514,23.9632,24.0852,379900,24.0852
2024-08-12,24.2836,25.2449,24.2836,25.161,278600,25.161
2024-08-13,25.1686,25.7484,25.1686,25.5729,155500,25.5729
