date,open,high,low,close,volume,adj_close
2024-08-05,17.4,18.12,17.04,18.12,9425,18.12
2024-08-06,18.48,21.36,18.0,20.76,24675,20.76
2024-08-07,20.76,21.48,18.96,19.44,14158,19.44
2024-08-08,20.4,20.88,19.428,20.16,11208,20.16
2024-08-09,20.52,21.42,19.68,20.88,6775,20.88
2024-08-12,21.12,21.48,20.64,21.0,7400,21.0
2024-08-13,21.0,21.48,19.56,19.8,9408,19.8
2024-08-14,19.8,19.8,18.72,19.2,5708,19.2
2024-08-15,19.44,19.8,18.72,18.84,7617,18.84
2024-08-16,18.72,19.8,18.72,18.72,7458,18.72
2024-08-19,18.6,18.66,18.0,18.48,9142,18.48
2024-08-20,18.12,18.42,18.0,18.42,3792,18.42
2024-08-21,18.228,18.6,17.76,18.18,5092,18.18
2024-08-22,18.0,18.204,17.16,17.28,9675,17.28
2024-08-23,17.4,17.88,12.12,13.5,43833,13.5
2024-08-26,13.44,14.64,13.2,13.2,18417,13.2
2024-08-27,14.64,14.64,13.44,13.56,8975,13.56
2024-08-28,13.8,13.92,13.56,13.8,7750,13.8
2024-08-29,13.68,13.68,13.2,13.2,4883,13.2
2024-08-30,13.08,13.8,13.08,13.68,6567,13.68
2024-09-03,13.92,14.04,13.2,13.44,4350,13.44
2024-09-04,13.44,13.8,13.2,13.8,3567,13.8
2024-09-05,13.44,13.92,13.44,13.68,9058,13.68
2024-09-06,13.68,14.04,13.464,13.86,6367,13.86
2024-09-09,13.44,14.04,13.32,13.8,4500,13.8
2024-09-10,14.04,14.22,13.8,13.92,2017,13.92
2024-09-11,14.04,14.4,13.8,14.4,3567,14.4
2024-09-12,14.88,14.88,13.8,13.92,3975,13.92
2024-09-13,14.52,14.52,13.92,13.92,4342,13.92
2024-09-16,14.28,14.4,13.8,14.16,2367,14.16
2024-09-17,14.16,14.16,13.56,14.016,4608,14.016
2024-09-18,13.68,14.16,13.32,13.32,3450,13.32
2024-09-19,13.8,13.92,12.6,13.26,7558,13.26
2024-09-20,13.32,13.68,12.96,13.08,5650,13.08
2024-09-23,13.2,13.92,13.08,13.32,2233,13.32
2024-09-24,13.68,14.16,13.32,14.16,4392,14.16
2024-09-25,14.04,14.16,13.2,13.8,5667,13.8
2024-09-26,13.8,14.52,13.44,14.52,4683,14.52
2024-09-27,13.92,14.52,13.476,14.52,7817,14.52
2024-09-30,14.64,14.76,13.2,13.68,17533,13.68
2024-10-01,13.44,13.68,12.84,13.08,2533,13.08
2024-10-02,13.08,13.8,12.84,13.2,3558,13.2
2024-10-03,13.2,13.44,12.36,12.96,6483,12.96
