date,open,high,low,close,volume,adj_close
2024-06-10 00:00:00,7.6,7.8,7.2,7.4,9520,7.4
2024-06-11 00:00:00,7.3,7.9,7.0,7.7,3190,7.7
2024-06-12 00:00:00,7.6,7.8,7.6,7.7,2870,7.7
2024-06-13 00:00:00,7.5,7.8,7.0,7.2,13820,7.2
2024-06-14 00:00:00,7.2,7.4,7.0,7.2,7680,7.2
2024-06-17 00:00:00,7.2,7.3,6.8,7.1,4560,7.1
2024-06-18 00:00:00,7.1,7.6,7.0,7.1,10330,7.1
2024-06-20 00:00:00,7.2,7.5,7.2,7.2,4500,7.2
2024-06-21 00:00:00,7.4,7.4,6.5,6.6,24090,6.6
2024-06-24 00:00:00,6.7,7.0,6.5,6.5,12920,6.5
2024-06-25 00:00:00,6.5,6.7,6.2,6.5,4560,6.5
2024-06-26 00:00:00,6.7,8.1,6.4,7.9,78470,7.9
2024-06-27 00:00:00,8.5,9.3,8.3,9.2,42020,9.2
2024-06-28 00:00:00,9.1,9.5,8.3,8.3,28780,8.3
2024-07-01 00:00:00,8.0,9.3,8.0,8.8,10580,8.8
2024-07-02 00:00:00,8.9,9.3,8.5,8.6,4280,8.6
2024-07-03 00:00:00,9.0,9.3,8.4,8.7,4740,8.7
2024-07-05 00:00:00,8.7,8.8,8.4,8.8,3150,8.8
2024-07-08 00:00:00,8.8,9.3,8.8,9.0,4380,9.0
2024-07-09 00:00:00,9.3,9.3,8.6,9.2,6860,9.2
2024-07-10 00:00:00,8.9,9.2,8.5,8.7,7600,8.7
2024-07-11 00:00:00,8.4,8.7,7.9,8.2,7220,8.2
2024-07-12 00:00:00,8.6,8.6,8.0,8.3,6110,8.3
2024-07-15 00:00:00,8.4,8.5,8.2,8.5,2600,8.5
2024-07-16 00:00:00,8.7,9.0,8.2,8.2,2610,8.2
2024-07-17 00:00:00,8.4,9.8,8.4,9.3,33830,9.3
2024-07-18 00:00:00,9.1,9.5,8.0,8.5,17460,8.5
2024-07-19 00:00:00,8.5,9.3,8.5,8.8,2460,8.8
2024-07-22 00:00:00,9.0,9.2,8.8,9.0,3080,9.0
2024-07-23 00:00:00,8.9,9.2,8.6,9.0,2530,9.0
2024-07-24 00:00:00,8.7,9.1,8.7,9.0,1100,9.0
2024-07-25 00:00:00,9.0,9.0,8.3,8.5,3130,8.5
2024-07-26 00:00:00,8.6,9.0,8.5,8.9,1990,8.9
2024-07-29 00:00:00,9.0,9.4,8.5,8.7,2870,8.7
2024-07-30 00:00:00,8.8,9.0,8.5,8.6,4510,8.6
2024-07-31 00:00:00,8.7,8.9,8.3,8.6,2050,8.6
2024-08-01 00:00:00,8.4,8.8,7.9,8.0,7550,8.0
2024-08-02 00:00:00,8.3,8.3,7.5,7.6,3060,7.6
2024-08-05 00:00:00,7.5,7.7,6.9,7.6,2090,7.6
2024-08-06 00:00:00,7.7,7.7,6.7,7.4,7670,7.4
2024-08-07 00:00:00,7.5,7.5,7.0,7.3,2150,7.3
2024-08-08 00:00:00,7.3,7.3,6.5,6.7,3320,6.7
2024-08-09 00:00:00,6.8,7.2,6.6,7.1,6830,7.1
2024-08-12 00:00:00,6.5,7.5,6.5,7.2,7150,7.2
2024-08-13 00:00:00,7.0,7.5,7.0,7.2,2880,7.2
2024-08-14 00:00:00,7.4,7.5,7.0,7.4,1100,7.4
2024-08-15 00:00:00,7.4,7.5,7.2,7.3,780,7.3
2024-08-16 00:00:00,7.3,7.5,7.1,7.5,600,7.5
2024-08-19 00:00:00,7.5,7.5,7.1,7.3,1890,7.3
2024-08-20 00:00:00,7.3,7.4,6.8,7.2,2220,7.2
2024-08-21 00:00:00,6.9,7.5,6.9,7.4,2740,7.4
2024-08-22 00:00:00,7.0,7.5,7.0,7.1,2550,7.1
2024-08-23 00:00:00,6.9,8.5,6.9,8.1,8490,8.1
2024-08-26 00:00:00,8.2,8.3,7.6,7.7,6270,7.7
2024-08-27 00:00:00,7.5,8.0,7.2,7.4,9300,7.4
2024-08-28 00:00:00,7.5,7.9,7.0,7.1,3640,7.1
2024-08-29 00:00:00,7.6,7.7,7.0,7.3,1580,7.3
2024-08-30 00:00:00,7.6,7.6,6.5,7.5,2780,7.5
2024-09-03 00:00:00,7.5,7.5,7.1,7.1,1340,7.1
2024-09-04 00:00:00,7.4,7.4,7.1,7.1,1250,7.1
2024-09-05 00:00:00,6.9,7.3,6.9,6.9,840,6.9
2024-09-06 00:00:00,6.9,7.4,6.8,7.4,3640,7.4
2024-09-09 00:00:00,7.1,8.0,7.1,7.6,4070,7.6
2024-09-10 00:00:00,7.8,7.8,7.5,7.5,4380,7.5
2024-09-11 00:00:00,7.6,8.2,7.1,8.1,2470,8.1
2024-09-12 00:00:00,7.9,8.5,7.3,7.8,6820,7.8
2024-09-13 00:00:00,7.7,8.4,7.1,7.5,6140,7.5
2024-09-16 00:00:00,7.3,7.3,7.1,7.1,6990,7.1
2024-09-17 00:00:00,7.4,7.7,7.1,7.1,1490,7.1
2024-09-18 00:00:00,7.5,7.6,7.2,7.5,5910,7.5
2024-09-19 00:00:00,7.8,7.8,7.3,7.3,2910,7.3
2024-09-20 00:00:00,7.6,9.0,7.2,8.8,31950,8.8
