date,open,high,low,close,volume,adj_close
2026-02-27,9.84,9.84,9.81,9.81,5300,9.81
2026-03-02,9.84,9.85,9.83,9.83,8200,9.83
2026-03-03,9.85,9.86,9.84,9.85,1151400,9.85
2026-03-04,9.85,9.85,9.82,9.82,11000,9.82
2026-03-05,9.85,9.85,9.81,9.81,39100,9.81
2026-03-06,9.8,9.84,9.76,9.84,31000,9.84
2026-03-09,9.85,9.85,9.83,9.83,6100,9.83
2026-03-10,9.85,9.85,9.85,9.85,400,9.85
2026-03-11,9.86,9.86,9.85,9.85,300,9.85
2026-03-12,9.85,9.85,9.85,9.85,100,9.85
2026-03-13,9.95,9.95,9.95,9.95,100,9.95
2026-03-16,9.9,9.9,9.9,9.9,200,9.9
2026-03-17,9.85,9.85,9.85,9.85,174800,9.85
2026-03-18,9.85,9.85,9.85,9.85,100,9.85
2026-03-19,9.85,9.85,9.85,9.85,100,9.85
2026-03-20,9.84,9.85,9.84,9.84,5400,9.84
2026-03-23,9.85,9.85,9.83,9.83,100200,9.83
2026-03-24,9.85,9.85,9.83,9.83,41600,9.83
2026-03-25,9.83,9.95,9.83,9.83,10000,9.83
2026-03-26,9.83,9.83,9.82,9.83,51700,9.83
2026-03-27,9.83,9.83,9.82,9.82,1100,9.82
2026-03-30,9.83,9.83,9.82,9.82,7800,9.82
2026-03-31,9.83,9.83,9.83,9.83,1000,9.83
2026-04-01,9.83,9.83,9.83,9.83,2200,9.83
2026-04-02,9.83,9.83,9.83,9.83,2300,9.83
2026-04-06,9.83,9.83,9.83,9.83,0,9.83
2026-04-07,9.83,9.83,9.83,9.83,20700,9.83
2026-04-08,9.83,9.83,9.83,9.83,67800,9.83
2026-04-09,9.83,9.83,9.83,9.83,0,9.83
2026-04-10,9.83,9.84,9.83,9.84,4900,9.84
2026-04-13,9.84,9.84,9.84,9.84,0,9.84
2026-04-14,9.86,9.86,9.86,9.86,100,9.86
2026-04-15,9.86,9.86,9.86,9.86,400,9.86
2026-04-16,9.86,9.86,9.86,9.86,4300,9.86
2026-04-17,9.87,9.88,9.86,9.88,64200,9.88
2026-04-20,9.89,9.89,9.88,9.88,3000,9.88
2026-04-21,9.88,9.88,9.88,9.88,167200,9.88
2026-04-22,9.88,9.88,9.88,9.88,64700,9.88
2026-04-23,9.89,9.89,9.89,9.89,20000,9.89
2026-04-24,9.89,9.89,9.89,9.89,323200,9.89
2026-04-27,9.9,9.9,9.9,9.9,1000,9.9
2026-04-28,9.9,9.9,9.9,9.9,0,9.9
2026-04-29,9.9,9.9,9.9,9.9,0,9.9
2026-04-30,9.9,9.9,9.9,9.9,0,9.9
2026-05-01,9.89,9.89,9.89,9.89,13700,9.89
2026-05-04,9.89,9.89,9.89,9.89,0,9.89
2026-05-05,9.89,9.89,9.89,9.89,0,9.89
2026-05-06,9.89,9.89,9.89,9.89,0,9.89
2026-05-07,9.89,9.89,9.89,9.89,0,9.89
2026-05-08,9.89,9.89,9.89,9.89,0,9.89
2026-05-11,9.9,9.9,9.9,9.9,300,9.9
2026-05-12,9.9,9.9,9.9,9.9,0,9.9
2026-05-13,9.9,9.9,9.9,9.9,0,9.9
2026-05-14,9.89,9.89,9.89,9.89,90000,9.89
2026-05-15,9.89,9.89,9.89,9.89,0,9.89
2026-05-18,9.9,9.9,9.9,9.9,62100,9.9
2026-05-19,9.9,9.9,9.9,9.9,22000,9.9
2026-05-20,9.9,9.9,9.9,9.9,2700,9.9
2026-05-21,9.9,9.91,9.9,9.91,42700,9.91
2026-05-22,9.9,9.9,9.9,9.9,200,9.9
2026-05-26,9.91,9.91,9.91,9.91,8200,9.91
2026-05-27,9.91,9.91,9.91,9.91,1200,9.91
2026-05-28,9.91,9.91,9.91,9.91,100,9.91
2026-05-29,9.91,9.92,9.91,9.92,35600,9.92
2026-06-01,9.94,9.95,9.93,9.93,2300,9.93
2026-06-02,9.92,9.95,9.92,9.95,31400,9.95
2026-06-03,9.94,9.95,9.94,9.95,5500,9.95
2026-06-04,9.95,9.95,9.95,9.95,100,9.95
2026-06-05,9.95,9.95,9.95,9.95,4600,9.95
2026-06-08,9.95,9.97,9.95,9.97,37000,9.97
2026-06-09,9.97,9.97,9.97,9.97,100,9.97
2026-06-10,9.98,9.99,9.98,9.99,100100,9.99
2026-06-11,9.98,10.01,9.98,10.01,37800,10.01
2026-06-12,10.01,10.01,9.98,9.98,900,9.98
2026-06-15,9.98,9.98,9.98,9.98,100,9.98
2026-06-16,9.98,9.98,9.98,9.98,100,9.98
2026-06-17,9.98,9.98,9.98,9.98,1200,9.98
2026-06-18,9.98,9.98,9.98,9.98,0,9.98
2026-06-22,9.98,9.98,9.98,9.98,10500,9.98
2026-06-23,9.99,9.99,9.98,9.98,500,9.98
2026-06-24,9.98,9.99,9.98,9.99,154209,9.99
2026-06-25,9.99,9.99,9.99,9.99,100109,9.99
