date,open,high,low,close,volume,adj_close
2024-06-04,4.96,5.24,4.84,4.96,24275,4.96
2024-06-05,5.0,5.5,4.976,5.16,22350,5.16
2024-06-06,5.08,5.08,4.36,4.56,36050,4.56
2024-06-07,4.28,4.4,3.8,4.08,33150,4.08
2024-06-10,4.2,4.2,3.808,4.0,10350,4.0
2024-06-11,3.92,4.36,3.92,4.0,2300,4.0
2024-06-12,4.0,4.38,4.0,4.38,18800,4.38
2024-06-13,4.56,4.76,4.32,4.6,11000,4.6
2024-06-14,4.64,4.8,4.36,4.52,17050,4.52
2024-06-17,4.52,4.52,3.12,3.4,80475,3.4
2024-06-18,3.776,4.14,3.6,3.792,42250,3.792
2024-06-20,3.8,3.992,3.6,3.72,18575,3.72
2024-06-21,3.6,3.824,3.56,3.72,5650,3.72
2024-06-24,3.84,4.06,3.664,3.996,15850,3.996
2024-06-25,3.96,4.272,3.8,4.1,22950,4.1
2024-06-26,4.08,4.12,3.92,4.0,12550,4.0
2024-06-27,3.9,4.08,3.8,3.884,8150,3.884
2024-06-28,3.88,4.04,3.6,3.648,17400,3.648
2024-07-01,3.652,3.92,3.652,3.864,9575,3.864
2024-07-02,3.96,3.96,3.676,3.876,1425,3.876
2024-07-03,3.768,3.88,3.64,3.872,3875,3.872
2024-07-05,3.72,3.94,3.72,3.94,6125,3.94
2024-07-08,4.0,4.0,3.8,3.84,2725,3.84
2024-07-09,3.8,4.24,3.8,4.08,17600,4.08
2024-07-10,4.2,4.72,4.04,4.52,17025,4.52
2024-07-11,4.8,5.0,4.52,4.56,11000,4.56
2024-07-12,4.68,4.68,4.28,4.436,5800,4.436
2024-07-15,4.44,4.8,4.32,4.32,11400,4.32
2024-07-16,4.32,4.6,4.2,4.48,14875,4.48
2024-07-17,4.56,4.72,4.56,4.68,4825,4.68
2024-07-18,4.696,4.696,4.52,4.52,1325,4.52
2024-07-19,4.68,4.72,4.44,4.48,9800,4.48
2024-07-22,4.6,4.72,4.44,4.64,9225,4.64
2024-07-23,4.66,5.04,4.6,4.94,15675,4.94
2024-07-24,4.88,6.32,4.88,5.68,102350,5.68
2024-07-25,4.32,5.6,3.72,4.76,787225,4.76
2024-07-26,5.36,5.36,4.888,5.08,49300,5.08
2024-07-29,5.16,5.16,4.52,4.72,48850,4.72
2024-07-30,4.84,5.16,4.64,4.84,30600,4.84
2024-07-31,4.76,5.0,4.54,4.68,20675,4.68
2024-08-01,4.68,4.72,4.6,4.66,12300,4.66
2024-08-02,4.72,4.72,3.96,4.16,29575,4.16
2024-08-05,3.888,4.2,3.72,4.12,17225,4.12
2024-08-06,4.44,4.44,4.04,4.16,16675,4.16
2024-08-07,4.24,4.388,3.96,4.0,13150,4.0
2024-08-08,4.08,4.16,3.948,4.04,11275,4.04
2024-08-09,4.088,4.088,3.48,3.732,33900,3.732
2024-08-12,3.84,4.0,3.64,3.784,8625,3.784
2024-08-13,3.92,4.24,3.648,4.2,32000,4.2
2024-08-14,4.104,4.32,4.08,4.16,4650,4.16
2024-08-15,4.32,4.6,4.08,4.32,14425,4.32
2024-08-16,4.28,4.44,4.24,4.44,2650,4.44
2024-08-19,4.36,5.2,4.24,4.88,65275,4.88
2024-08-20,4.96,5.2,4.64,4.96,23975,4.96
2024-08-21,4.84,4.96,4.8,4.88,17700,4.88
2024-08-22,4.76,4.88,4.76,4.88,16075,4.88
2024-08-23,4.72,5.68,4.72,5.6,468525,5.6
2024-08-26,5.76,7.04,5.68,6.32,213700,6.32
2024-08-27,6.28,6.816,6.04,6.6,81600,6.6
2024-08-28,6.68,7.44,6.596,7.44,82475,7.44
2024-08-29,7.6,7.92,7.24,7.84,118400,7.84
2024-08-30,7.68,8.28,7.48,8.08,94925,8.08
2024-09-03,8.08,10.2,8.08,9.84,255600,9.84
2024-09-04,9.92,9.96,9.16,9.68,69375,9.68
2024-09-05,9.68,9.72,8.74,9.16,80575,9.16
2024-09-06,9.04,9.08,7.28,7.58,140100,7.58
2024-09-09,8.0,8.72,7.84,8.52,27250,8.52
2024-09-10,8.64,8.72,8.32,8.52,16675,8.52
2024-09-11,8.56,8.92,7.96,8.12,52950,8.12
2024-09-12,8.6,8.928,7.88,8.0,220025,8.0
2024-09-13,8.0,8.0,6.84,7.14,166750,7.14
2024-09-16,7.16,7.556,6.88,6.94,45975,6.94
2024-09-17,7.2,7.28,7.004,7.16,22600,7.16
2024-09-18,7.12,7.4,6.88,7.04,20025,7.04
2024-09-19,7.12,7.168,6.44,6.72,46075,6.72
2024-09-20,6.68,7.04,6.64,6.84,43450,6.84
2024-09-23,6.84,6.972,6.08,6.34,66250,6.34
2024-09-24,6.36,6.96,6.08,6.28,33750,6.28
2024-09-25,6.28,6.496,6.08,6.08,31375,6.08
2024-09-26,6.16,6.584,6.16,6.28,22075,6.28
2024-09-27,6.4,6.48,6.12,6.16,16200,6.16
