date,open,high,low,close,volume,adj_close
2024-05-20,138.4205,138.6352,136.7514,137.2589,1340700,137.2589
2024-05-21,136.9173,137.6494,136.605,137.0637,1948200,137.0637
2024-05-22,136.6245,138.2058,135.9022,136.0974,1715500,136.0974
2024-05-23,136.3024,136.3024,132.9544,134.2038,2788700,134.2038
2024-05-24,134.7504,135.9119,134.155,134.3307,1571500,134.3307
2024-05-28,134.4478,134.809,132.9739,133.3546,1659900,133.3546
2024-05-29,131.5976,132.9348,130.5043,132.4077,1615900,132.4077
2024-05-30,132.9837,133.5986,131.8904,132.9251,1707000,132.9251
2024-05-31,133.2472,134.4673,132.9641,134.3404,4432500,134.3404
2024-06-03,134.1452,134.7016,131.6659,133.8426,2002600,133.8426
2024-06-04,132.232,133.2862,130.5141,131.2657,1942700,131.2657
2024-06-05,131.5976,132.437,130.3482,132.2418,2226500,132.2418
2024-06-06,133.3058,135.3068,132.6225,133.1105,2383900,133.1105
2024-06-07,132.4468,137.6299,132.0564,136.4586,2835900,136.4586
2024-06-10,135.4922,137.8055,135.0139,137.5322,2544200,137.5322
2024-06-11,136.8099,137.0442,131.334,131.9099,2436100,131.9099
2024-06-12,133.9988,135.6679,132.9153,133.8231,2240500,133.8231
2024-06-13,133.052,133.4131,131.0803,131.8611,1895900,131.8611
2024-06-14,130.8265,132.0173,130.1139,130.5043,2613000,130.5043
2024-06-17,130.5922,134.0671,130.3091,133.8231,2054500,133.8231
2024-06-18,133.7352,134.9066,133.501,134.0573,1399600,134.0573
2024-06-20,134.5259,134.848,132.5932,134.8285,1811800,134.8285
2024-06-21,133.7255,134.4771,131.9783,133.501,3152700,133.501
2024-06-24,133.7645,135.785,132.3882,134.3892,1749000,134.3892
2024-06-25,133.8719,134.36,131.539,131.6366,1743000,131.6366
2024-06-26,130.5141,133.6669,129.8992,133.501,2834100,133.501
2024-06-27,132.7787,132.9837,129.743,130.8265,3535000,130.8265
2024-06-28,132.154,135.4727,131.4414,135.1408,4959900,135.1408
2024-07-01,135.4825,138.4108,135.1408,136.3609,3081200,136.3609
2024-07-02,136.3024,137.1613,135.4141,137.1223,2020000,137.1223
2024-07-03,136.9173,137.3077,134.7016,135.1115,1805400,135.1115
2024-07-05,135.0725,135.4239,132.6323,132.7494,2622600,132.7494
2024-07-08,133.9402,134.7602,132.2613,132.5639,2298600,132.5639
2024-07-09,132.5639,135.6093,132.1247,133.7157,2575900,133.7157
2024-07-10,132.9348,133.7255,132.1735,133.3448,1665900,133.3448
2024-07-11,133.7743,135.746,133.296,135.6679,1803800,135.6679
2024-07-12,135.7948,136.1365,134.2135,135.1018,1680200,135.1018
2024-07-15,137.4542,141.1829,136.8588,141.1536,3018200,141.1536
2024-07-16,141.1829,146.0146,140.7436,145.9853,3796900,145.9853
2024-07-17,145.3118,147.7227,143.916,145.8974,2931500,145.8974
2024-07-18,148.1425,149.6847,144.16,145.1654,3936900,145.1654
2024-07-19,145.3606,145.5558,142.8032,143.75,2564700,143.75
2024-07-22,142.7153,143.7988,141.0462,141.6416,3257100,141.6416
2024-07-23,141.788,143.9355,141.3781,142.0223,3686300,142.0223
2024-07-24,140.236,145.3703,137.1418,142.9106,4567800,142.9106
2024-07-25,142.6763,146.4635,142.0125,144.5504,2666000,144.5504
2024-07-26,145.712,146.5124,144.8628,145.7901,1795100,145.7901
2024-07-29,145.9462,146.2781,143.8574,145.4972,1779200,145.4972
2024-07-30,147.1371,149.0014,145.751,148.611,2387400,148.611
2024-07-31,148.3279,149.2162,147.3616,147.7813,2026800,147.7813
2024-08-01,148.1034,148.9917,138.9379,140.4508,3246000,140.4508
2024-08-02,138.1082,138.1082,132.5542,132.8665,3542400,132.8665
2024-08-05,128.7864,130.1237,125.1651,128.2789,3561100,128.2789
2024-08-06,128.2301,131.5976,127.6542,130.4946,3070100,130.4946
2024-08-07,132.4565,133.95,128.9426,129.128,2101000,129.128
2024-08-08,130.397,131.9587,130.0261,131.1583,1742400,131.1583
2024-08-09,131.3828,131.8318,130.0944,131.5878,1326000,131.5878
2024-08-12,131.6368,132.5291,129.3033,129.5387,1797100,129.5387
2024-08-13,130.4015,131.6467,129.2053,131.3819,1673900,131.3819
2024-08-14,132.0682,133.735,131.4211,133.2938,1699400,133.2938
2024-08-15,135.6371,138.4118,133.4115,134.4312,2374400,134.4312
2024-08-16,134.3821,137.0784,133.9115,136.8333,1883600,136.8333
