date,open,high,low,close,volume,adj_close
2024-07-08,6.56,6.78,6.56,6.665,35923,6.665
2024-07-09,6.74,6.91,6.55,6.85,23563,6.85
2024-07-10,6.79,6.95,6.6885,6.87,22742,6.87
2024-07-11,7.06,7.247,6.6361,6.92,31844,6.92
2024-07-12,6.97,7.11,6.82,6.94,49061,6.94
2024-07-15,6.91,7.0912,6.9,6.98,34404,6.98
2024-07-16,7.01,7.15,6.85,6.87,29853,6.87
2024-07-17,6.85,7.1203,6.63,6.63,26299,6.63
2024-07-18,6.61,7.101,6.61,6.67,25369,6.67
2024-07-19,6.67,6.71,6.33,6.49,15149,6.49
2024-07-22,6.49,6.64,6.0801,6.17,33970,6.17
2024-07-23,6.15,6.46,6.07,6.32,17347,6.32
2024-07-24,6.32,6.4,6.16,6.27,15821,6.27
2024-07-25,6.26,6.26,5.91,6.02,38023,6.02
2024-07-26,6.11,6.28,6.0,6.12,11499,6.12
2024-07-29,6.0,6.3399,6.0,6.05,19773,6.05
2024-07-30,6.18,6.19,5.6,5.81,42545,5.81
2024-07-31,5.77,5.77,5.38,5.48,37571,5.48
2024-08-01,5.48,5.681,4.61,4.94,32452,4.94
2024-08-02,5.0,5.3501,4.85,5.0,24493,5.0
2024-08-05,4.86,5.18,4.703,4.81,50926,4.81
2024-08-06,4.7,5.07,4.7,4.8,36186,4.8
2024-08-07,4.8,5.0499,4.32,4.41,33362,4.41
2024-08-08,4.43,4.54,4.42,4.495,18711,4.495
2024-08-09,4.5,4.6385,4.36,4.49,22283,4.49
2024-08-12,4.55,4.55,4.37,4.49,21681,4.49
2024-08-13,4.57,4.63,4.41,4.43,59354,4.43
2024-08-14,4.41,4.5785,4.12,4.21,22023,4.21
2024-08-15,4.29,4.3699,4.0516,4.24,34355,4.24
2024-08-16,4.21,4.32,4.0801,4.18,31095,4.18
2024-08-19,4.21,4.38,4.12,4.34,24262,4.34
2024-08-20,4.3,4.47,4.3,4.4,13325,4.4
2024-08-21,4.5,6.5,4.5,6.0,227955,6.0
2024-08-22,6.5,8.29,5.88,5.92,483508,5.92
2024-08-23,6.12,6.73,5.87,6.25,202682,6.25
2024-08-26,6.31,6.58,5.8818,6.43,103019,6.43
2024-08-27,6.31,6.46,6.01,6.02,61297,6.02
2024-08-28,6.05,6.1499,5.55,5.73,41116,5.73
2024-08-29,5.73,5.9589,5.4,5.51,41487,5.51
2024-08-30,5.51,5.74,5.2061,5.525,42891,5.525
2024-09-03,5.5,5.66,5.25,5.26,33351,5.26
2024-09-04,5.18,5.37,4.76,5.2,50415,5.2
2024-09-05,5.24,5.29,5.0008,5.18,21350,5.18
2024-09-06,5.12,5.23,4.9,4.98,31478,4.98
2024-09-09,4.96,5.005,4.765,4.94,26401,4.94
2024-09-10,4.91,5.2,4.8973,4.93,37320,4.93
2024-09-11,4.92,5.1,4.92,5.1,19930,5.1
2024-09-12,5.06,5.1,4.96,4.99,14844,4.99
2024-09-13,5.06,5.46,5.0,5.46,28297,5.46
2024-09-16,5.45,5.94,5.3421,5.87,51350,5.87
2024-09-17,5.96,6.44,5.825,6.17,112709,6.17
