date,open,high,low,close,volume,adj_close
2024-05-20,51.41,51.6,50.41,50.62,714000,50.62
2024-05-21,50.57,50.81,49.47,49.5,1095200,49.5
2024-05-22,52.5,53.7,49.35,50.54,2913300,50.54
2024-05-23,51.52,51.52,47.85,48.63,1073600,48.63
2024-05-24,48.94,49.455,47.42,47.47,550400,47.47
2024-05-28,48.01,48.42,46.46,46.86,738500,46.86
2024-05-29,46.03,46.5,45.185,45.81,520100,45.81
2024-05-30,46.13,46.57,45.07,45.37,573100,45.37
2024-05-31,45.69,46.86,44.08,44.41,1038400,44.41
2024-06-03,44.87,47.215,44.43,46.28,1546800,46.28
2024-06-04,46.67,48.71,46.205,47.33,1550700,47.33
2024-06-05,47.45,48.1,46.79,47.23,650000,47.23
2024-06-06,47.13,47.39,45.77,45.84,665500,45.84
2024-06-07,45.33,46.59,44.66,44.71,486700,44.71
2024-06-10,44.05,45.09,43.65,45.01,635100,45.01
2024-06-11,44.9,45.385,44.385,44.82,369200,44.82
2024-06-12,46.33,48.05,45.3,47.78,1278000,47.78
2024-06-13,47.69,48.26,46.72,46.89,765400,46.89
2024-06-14,46.18,46.73,45.05,45.33,576200,45.33
2024-06-17,45.12,45.755,44.38,44.71,628600,44.71
2024-06-18,44.65,44.94,43.855,44.29,651700,44.29
2024-06-20,44.01,44.78,43.63,44.21,478100,44.21
2024-06-21,44.25,46.16,43.76,45.58,2236400,45.58
2024-06-24,45.0,46.02,44.71,45.66,816500,45.66
2024-06-25,45.18,46.47,44.72,44.87,629400,44.87
2024-06-26,44.38,44.38,41.01,42.19,1496800,42.19
2024-06-27,42.27,43.7,41.62,43.47,753800,43.47
2024-06-28,43.67,44.98,43.11,44.79,4781100,44.79
2024-07-01,44.9,47.255,44.57,46.07,1333700,46.07
2024-07-02,46.09,47.145,45.19,45.54,1253900,45.54
2024-07-03,45.47,45.8,44.13,44.2,334600,44.2
2024-07-05,44.02,44.46,43.71,43.83,572300,43.83
2024-07-08,44.29,45.75,43.74,45.37,480800,45.37
2024-07-09,45.79,48.28,45.34,48.23,723900,48.23
2024-07-10,48.46,51.7,48.46,50.8,1127500,50.8
2024-07-11,51.89,53.19,51.23,52.81,938800,52.81
2024-07-12,53.44,54.57,52.59,53.67,947400,53.67
2024-07-15,53.39,55.36,53.13,54.14,905100,54.14
2024-07-16,54.69,55.77,54.49,54.98,1389000,54.98
2024-07-17,54.3,55.21,52.87,53.85,1105400,53.85
2024-07-18,53.53,54.8,52.06,52.41,752500,52.41
2024-07-19,52.94,53.16,52.09,52.66,475700,52.66
2024-07-22,52.96,53.985,52.35,53.58,780900,53.58
2024-07-23,53.7,55.78,53.31,54.83,1037600,54.83
2024-07-24,54.08,55.01,52.6,53.41,461600,53.41
2024-07-25,53.41,54.405,52.837,53.34,471600,53.34
2024-07-26,54.24,55.06,53.2,54.36,541300,54.36
2024-07-29,54.44,54.83,52.98,54.26,545500,54.26
2024-07-30,54.61,55.04,51.53,52.64,471900,52.64
2024-07-31,53.32,54.27,52.5,53.12,559600,53.12
2024-08-01,53.26,55.63,51.71,52.07,648100,52.07
2024-08-02,50.33,50.79,49.17,49.79,667700,49.79
2024-08-05,46.08,49.345,45.451,49.14,829900,49.14
2024-08-06,49.82,50.88,48.63,50.2,614900,50.2
2024-08-07,51.0,51.0,48.14,48.3,452600,48.3
2024-08-08,49.15,50.845,48.1,50.74,483000,50.74
2024-08-09,48.36,50.47,47.16,47.64,965900,47.64
2024-08-12,47.61,49.675,47.07,49.57,594100,49.57
2024-08-13,50.21,51.375,49.76,50.33,395800,50.33
2024-08-14,50.44,52.0,49.93,51.43,443200,51.43
2024-08-15,52.42,52.941,51.17,52.53,570800,52.53
2024-08-16,52.57,52.71,51.62,51.62,403900,51.62
2024-08-19,51.58,53.59,51.58,52.92,577500,52.92
2024-08-20,52.8,53.92,52.305,53.83,362300,53.83
2024-08-21,54.02,54.755,53.26,53.96,293300,53.96
2024-08-22,54.2,54.2,52.82,53.24,308300,53.24
2024-08-23,53.94,54.06,52.83,53.15,573900,53.15
2024-08-26,53.19,54.03,53.06,53.12,470000,53.12
2024-08-27,52.75,54.56,52.7,54.47,476200,54.47
2024-08-28,54.49,55.7,54.02,54.4,441200,54.4
2024-08-29,54.57,54.78,52.53,52.7,538500,52.7
2024-08-30,53.0,53.475,52.04,53.06,706600,53.06
2024-09-03,53.24,54.12,51.32,52.02,424000,52.02
2024-09-04,51.86,53.29,51.21,52.8,281800,52.8
2024-09-05,53.07,53.42,50.7,50.98,483900,50.98
2024-09-06,51.26,51.655,49.67,50.39,597300,50.39
2024-09-09,51.06,53.12,50.664,52.24,614200,52.24
2024-09-10,52.0,52.265,49.93,50.4,643100,50.4
2024-09-11,50.6,51.38,50.05,50.74,468800,50.74
2024-09-12,50.5,51.59,49.96,51.23,435200,51.23
2024-09-13,52.01,53.85,51.59,53.8,515200,53.8
2024-09-16,53.9,54.51,53.32,53.94,528400,53.94
2024-09-17,54.11,54.31,52.3,52.99,537300,52.99
2024-09-18,53.24,53.9,52.065,52.77,781800,52.77
2024-09-19,54.02,55.16,53.29,53.88,933900,53.88
2024-09-20,54.13,54.71,53.11,53.15,1918400,53.15
2024-09-23,53.25,53.59,50.34,50.42,766800,50.42
2024-09-24,50.42,50.92,49.125,49.82,704100,49.82
2024-09-25,49.67,52.025,49.53,50.45,484100,50.45
2024-09-26,50.97,51.81,50.28,50.58,676300,50.58
2024-09-27,51.23,51.37,50.36,50.75,370600,50.75
2024-09-30,50.53,51.9,50.196,51.1,490900,51.1
2024-10-01,50.7,52.09,49.705,51.92,690300,51.92
2024-10-02,51.44,54.123,50.94,54.02,625400,54.02
2024-10-03,53.75,55.3,52.23,52.77,719100,52.77
2024-10-04,53.42,53.59,52.73,53.14,395000,53.14
2024-10-07,53.23,53.56,51.68,51.76,364100,51.76
2024-10-08,52.0,52.9,51.66,51.7,292400,51.7
2024-10-09,52.51,52.675,49.5,50.7,2530400,50.7
2024-10-10,49.48,52.215,49.48,51.78,1810900,51.78
2024-10-11,51.87,53.62,51.533,53.14,2401600,53.14
2024-10-14,53.0,53.5,52.38,53.1,434300,53.1
2024-10-15,53.61,57.93,53.39,57.6,1161000,57.6
2024-10-16,58.28,59.39,57.1,58.86,1157500,58.86
2024-10-17,58.81,59.68,57.99,58.92,850200,58.92
2024-10-18,58.91,59.8,58.4,59.09,510500,59.09
2024-10-21,58.61,58.88,57.47,58.7,837200,58.7
2024-10-22,58.49,60.04,58.26,59.61,1101300,59.61
2024-10-23,59.53,60.0,57.535,58.4,570100,58.4
2024-10-24,58.5,59.39,58.295,58.74,398300,58.74
2024-10-25,59.22,59.32,57.86,57.96,401300,57.96
2024-10-28,58.64,59.67,56.815,57.15,545000,57.15
2024-10-29,56.84,57.24,56.12,56.26,462500,56.26
2024-10-30,55.91,56.96,55.43,55.76,389200,55.76
2024-10-31,55.36,56.54,54.32,55.96,545500,55.96
2024-11-01,56.5,57.81,56.19,56.69,357000,56.69
2024-11-04,56.17,58.0,55.21,56.82,437900,56.82
2024-11-05,56.49,57.88,55.28,57.81,327000,57.81
2024-11-06,60.025,60.905,58.58,59.16,1042400,59.16
2024-11-07,59.11,60.17,58.66,59.81,679000,59.81
2024-11-08,59.6,60.93,58.98,60.69,573300,60.69
2024-11-11,61.88,62.0,59.95,60.01,597000,60.01
2024-11-12,59.99,60.48,58.205,58.78,935100,58.78
2024-11-13,60.0,61.16,58.5,58.92,1141000,58.92
2024-11-14,58.28,62.53,58.165,59.66,856500,59.66
2024-11-15,60.13,60.15,54.42,54.72,908900,54.72
2024-11-18,54.35,55.05,52.845,53.7,770000,53.7
2024-11-19,53.15,55.21,53.15,55.17,604300,55.17
