date,open,high,low,close,volume,adj_close
2025-01-30 00:00:00,1500.0,1500.0,1012.5,1012.5,637,1012.5
2025-01-31 00:00:00,1080.0,1080.0,660.0,762.3,570,762.3
2025-02-03 00:00:00,750.0,864.6,498.9,570.0,720,570.0
2025-02-04 00:00:00,519.96,564.87,366.9,389.4,1900,389.4
2025-02-05 00:00:00,417.3,417.3,227.4,248.7,8280,248.7
2025-02-06 00:00:00,234.0,243.75,207.0,209.1,4227,209.1
2025-02-07 00:00:00,198.0,198.0,153.0,161.7,8620,161.7
2025-02-10 00:00:00,173.4,447.0,159.0,370.2,341550,370.2
2025-02-11 00:00:00,302.7,486.9,270.6,387.0,81030,387.0
2025-02-12 00:00:00,363.9,592.83,363.9,528.9,61870,528.9
2025-02-13 00:00:00,544.2,1572.9,531.0,1130.4,114053,1130.4
2025-02-14 00:00:00,993.33,1005.9,551.22,571.5,34460,571.5
2025-02-18 00:00:00,654.0,771.9,300.9,315.0,69630,315.0
2025-02-19 00:00:00,323.7,387.9,305.82,348.6,57753,348.6
2025-02-20 00:00:00,342.0,402.6,315.0,355.5,31020,355.5
2025-02-21 00:00:00,363.6,386.7,307.5,319.8,17563,319.8
2025-02-24 00:00:00,311.4,331.5,238.5,256.2,18103,256.2
2025-02-25 00:00:00,233.4,281.7,225.9,247.2,21020,247.2
2025-02-26 00:00:00,270.0,281.4,229.8,253.2,25650,253.2
2025-02-27 00:00:00,248.7,261.0,217.5,228.9,11700,228.9
2025-02-28 00:00:00,225.9,228.6,201.3,221.1,12033,221.1
2025-03-03 00:00:00,219.0,228.0,192.0,201.3,11557,201.3
2025-03-04 00:00:00,195.0,243.87,180.9,241.8,15173,241.8
2025-03-05 00:00:00,239.1,250.23,210.96,217.8,11010,217.8
2025-03-06 00:00:00,210.3,220.5,184.5,187.2,8437,187.2
2025-03-07 00:00:00,183.9,212.1,180.0,200.4,15327,200.4
2025-03-10 00:00:00,189.0,193.5,154.5,157.5,13357,157.5
2025-03-11 00:00:00,153.6,169.8,142.8,151.5,10457,151.5
2025-03-12 00:00:00,153.9,167.34,135.9,147.0,12343,147.0
2025-03-13 00:00:00,147.9,157.47,133.5,133.8,7697,133.8
2025-03-14 00:00:00,135.3,157.2,126.69,153.0,13737,153.0
2025-03-17 00:00:00,151.2,191.4,150.6,182.7,15763,182.7
2025-03-18 00:00:00,180.0,181.5,165.03,167.1,4817,167.1
2025-03-19 00:00:00,165.3,258.0,162.6,237.0,145053,237.0
2025-03-20 00:00:00,224.4,230.07,190.59,199.2,23830,199.2
2025-03-21 00:00:00,191.7,207.24,172.2,189.3,12220,189.3
2025-03-24 00:00:00,197.4,204.0,172.2,174.3,8447,174.3
2025-03-25 00:00:00,172.8,178.8,165.24,170.4,6783,170.4
2025-03-26 00:00:00,177.0,177.0,156.3,159.6,8133,159.6
2025-03-27 00:00:00,165.0,165.0,144.3,155.7,7257,155.7
2025-03-28 00:00:00,150.9,155.1,144.6,147.6,6807,147.6
2025-03-31 00:00:00,144.0,144.03,129.6,133.2,85300,133.2
2025-04-01 00:00:00,180.0,343.8,165.0,171.0,1585367,171.0
2025-04-02 00:00:00,165.0,191.4,150.6,151.8,120043,151.8
2025-04-03 00:00:00,144.0,149.7,132.0,133.5,32597,133.5
2025-04-04 00:00:00,132.0,155.49,120.0,147.9,41313,147.9
2025-04-07 00:00:00,135.0,158.4,130.5,147.3,22097,147.3
2025-04-08 00:00:00,153.24,155.58,129.63,134.4,15497,134.4
2025-04-09 00:00:00,132.3,154.44,125.1,149.1,16720,149.1
2025-04-10 00:00:00,146.7,152.7,138.0,141.0,9653,141.0
2025-04-11 00:00:00,138.9,149.55,137.94,148.8,5827,148.8
2025-04-14 00:00:00,153.0,153.0,133.5,141.6,14620,141.6
2025-04-15 00:00:00,142.8,142.8,135.0,139.8,5083,139.8
2025-04-16 00:00:00,139.8,139.8,130.2,132.3,7860,132.3
2025-04-17 00:00:00,133.5,141.87,131.1,137.4,5263,137.4
2025-04-21 00:00:00,135.0,137.34,127.05,129.6,7537,129.6
2025-04-22 00:00:00,129.6,134.7,128.4,133.2,5507,133.2
2025-04-23 00:00:00,135.0,154.5,134.4,138.3,13930,138.3
2025-04-24 00:00:00,141.3,147.0,137.7,142.2,6937,142.2
2025-04-25 00:00:00,141.0,147.6,140.7,144.3,5183,144.3
2025-04-28 00:00:00,143.1,145.8,137.7,144.3,6913,144.3
2025-04-29 00:00:00,144.3,149.1,142.5,144.3,5157,144.3
2025-04-30 00:00:00,141.0,142.8,129.3,133.2,7240,133.2
2025-05-01 00:00:00,133.8,138.45,131.55,135.3,4843,135.3
2025-05-02 00:00:00,137.7,141.0,132.03,138.0,5657,138.0
2025-05-05 00:00:00,138.0,138.0,128.1,131.7,6597,131.7
2025-05-06 00:00:00,128.1,130.74,120.3,128.1,6740,128.1
2025-05-07 00:00:00,136.5,136.5,121.8,126.0,13700,126.0
2025-05-08 00:00:00,127.8,127.8,117.0,124.2,9473,124.2
2025-05-09 00:00:00,122.1,125.7,118.5,119.85,6270,119.85
2025-05-12 00:00:00,121.5,122.7,111.0,112.2,12610,112.2
2025-05-13 00:00:00,111.9,113.7,99.3,100.2,15647,100.2
2025-05-14 00:00:00,99.3,110.55,91.8,96.3,11210,96.3
2025-05-15 00:00:00,96.0,102.0,91.2,100.5,11870,100.5
2025-05-16 00:00:00,100.5,104.64,97.5,99.9,4693,99.9
2025-05-19 00:00:00,96.9,105.6,96.0,98.4,7803,98.4
2025-05-20 00:00:00,96.9,99.0,94.2,95.7,4910,95.7
2025-05-21 00:00:00,95.4,99.45,91.5,93.9,6413,93.9
