date,open,high,low,close,volume,adj_close
2026-07-16,20.9,0.0,0.0,20.67,11304032,20.67
2026-07-17,20.35,20.66,19.75,20.4,2543265,20.4
2026-07-20,20.38,20.6,19.8,20.0,1378334,20.0
2026-07-21,20.0,21.05,19.93,20.89,1623782,20.89
2026-07-22,20.99,22.125,20.7995,21.57,2532675,21.57
2026-07-23,21.55,21.98,21.4342,21.51,1794440,21.51
2026-07-24,21.5,23.44,21.575,22.77,2754591,22.77
2026-07-27,22.77,23.5,21.74,21.95,1413612,21.95
2026-07-28,21.73,21.99,21.11,21.69,1449901,21.69
2026-07-29,21.47,21.827,20.53,20.68,2853068,20.68
2026-07-30,20.71,21.735,20.33,20.97,1747372,20.97
2026-07-31,20.82,21.015,19.91,19.96,1035416,19.96
2026-08-03,19.9,20.42,19.495,20.26,644775,20.26
2026-08-04,20.12,21.04,19.57,20.77,644163,20.77
2026-08-05,20.77,20.85,20.0365,20.29,345224,20.29
2026-08-06,20.0,20.79,19.59,20.07,557209,20.07
2026-08-07,19.78,21.57,19.62,21.52,882686,21.52
