date,open,high,low,close,volume,adj_close
2024-05-20,20.726,20.8595,20.6238,20.8202,436900,20.8202
2024-05-21,20.8674,20.9381,20.7102,20.7574,323500,20.7574
2024-05-22,20.6552,20.726,20.1681,20.2388,1112900,20.2388
2024-05-23,20.3017,20.3253,19.8774,19.9167,306800,19.9167
2024-05-24,20.0346,20.3881,19.9403,20.2781,227200,20.2781
2024-05-28,20.3095,20.3724,19.7674,19.846,719600,19.846
2024-05-29,19.6967,19.9717,19.6889,19.8696,266600,19.8696
2024-05-30,19.9324,20.0267,19.8381,19.9089,331200,19.9089
2024-05-31,20.0346,20.1603,19.9324,20.0974,427500,20.0974
2024-06-03,20.0974,20.4038,19.956,20.1838,896200,20.1838
2024-06-04,20.1917,20.341,20.1524,20.3253,341900,20.3253
2024-06-05,20.4274,20.4667,20.0346,20.4431,403700,20.4431
2024-06-06,20.4588,20.616,20.3331,20.3645,434500,20.3645
2024-06-07,20.3253,20.5845,20.3253,20.5295,303600,20.5295
2024-06-10,20.6474,20.6945,20.4903,20.5845,263100,20.5845
2024-06-11,20.5845,20.616,20.3645,20.561,216400,20.561
2024-06-12,20.6317,20.7181,20.4824,20.506,266300,20.506
2024-06-13,20.506,20.6081,20.3488,20.5217,305800,20.5217
2024-06-14,20.4251,20.57,20.0869,20.3929,307100,20.3929
2024-06-17,20.3446,20.578,20.2399,20.4412,269900,20.4412
2024-06-18,20.4412,20.57,20.3526,20.5297,150100,20.5297
2024-06-20,20.4653,20.6505,20.3285,20.3526,263700,20.3526
2024-06-21,20.3124,20.3124,19.9179,20.103,835900,20.103
2024-06-24,20.0547,20.6666,20.0467,20.6344,280700,20.6344
2024-06-25,20.6907,20.7793,20.6424,20.6585,195100,20.6585
2024-06-26,20.5539,20.723,20.5539,20.6746,146800,20.6746
2024-06-27,20.57,20.9806,20.5619,20.8598,272800,20.8598
2024-06-28,20.9886,21.1657,20.8598,21.0047,285000,21.0047
2024-07-01,21.1013,21.2141,20.9081,21.0691,226900,21.0691
2024-07-02,21.0208,21.3992,20.9725,21.3992,193400,21.3992
2024-07-03,21.3348,21.6085,21.3348,21.4717,120900,21.4717
2024-07-05,21.3992,21.6408,21.3831,21.6166,168600,21.6166
2024-07-08,21.6569,21.8018,21.5924,21.6971,175400,21.6971
2024-07-09,21.7132,21.7293,21.3831,21.4234,178100,21.4234
2024-07-10,21.4234,21.6488,21.4234,21.6408,153400,21.6408
2024-07-11,21.7293,21.8098,21.5925,21.7937,204300,21.7937
2024-07-12,21.8179,21.9225,21.7213,21.7213,161400,21.7213
2024-07-15,21.8179,21.9064,21.6649,21.6891,210500,21.6891
2024-07-16,21.7374,21.8179,21.6086,21.6488,152800,21.6488
2024-07-17,21.6488,21.7132,21.3831,21.6005,183100,21.6005
2024-07-18,21.5522,21.6005,20.9725,21.0128,274200,21.0128
2024-07-19,21.0369,21.1496,20.892,20.9403,120900,20.9403
2024-07-22,20.9403,21.1013,20.7391,20.8357,332900,20.8357
2024-07-23,20.8518,20.9323,20.7713,20.8437,155700,20.8437
2024-07-24,20.8759,20.884,20.5458,20.57,135800,20.57
2024-07-25,20.6022,20.8196,20.6022,20.6585,184200,20.6585
2024-07-26,20.6505,20.9725,20.6183,20.9323,204600,20.9323
