date,open,high,low,close,volume,adj_close
2024-05-20,67.0386,67.6992,66.786,67.5923,2584500,67.5923
2024-05-21,67.3397,67.3494,66.5626,66.8249,2704300,66.8249
2024-05-22,66.9512,67.33,66.8054,67.0775,2961000,67.0775
2024-05-23,67.398,67.67,66.31,66.514,2149900,66.514
2024-05-24,66.514,66.9415,66.3003,66.3683,1860100,66.3683
2024-05-28,66.0963,66.2809,64.6392,64.95,2785400,64.95
2024-05-29,64.5032,64.61,64.1729,64.2312,2365900,64.2312
2024-05-30,64.066,64.1243,62.5214,62.9294,5734700,62.9294
2024-05-31,62.9294,64.3283,62.5214,64.2603,4523000,64.2603
2024-06-03,64.2603,64.3963,63.2403,63.9009,4379100,63.9009
2024-06-04,63.5511,64.1049,63.2111,63.4831,2464700,63.4831
2024-06-05,63.6677,63.9397,63.2014,63.6483,1655200,63.6483
2024-06-06,63.6094,64.6197,63.4734,64.4157,5498400,64.4157
2024-06-07,64.2992,64.8432,63.9397,64.0563,1460400,64.0563
2024-06-10,63.998,65.4454,63.8037,65.3289,4143700,65.3289
2024-06-11,65.154,65.29,64.2117,65.0569,2070200,65.0569
2024-06-12,65.2123,65.2609,63.9786,64.406,5382800,64.406
2024-06-13,64.1632,64.1632,62.706,62.7643,2728800,62.7643
2024-06-14,62.706,62.9683,62.094,62.4243,2579600,62.4243
2024-06-17,62.1814,63.8232,61.9677,63.6483,2956700,63.6483
2024-06-18,63.7066,64.27,63.5997,63.93,3406600,63.93
2024-06-20,65.63,66.6209,64.7849,66.1935,4226100,66.1935
2024-06-21,66.4946,66.8443,65.7077,66.3877,6412600,66.3877
2024-06-24,66.2906,67.2232,66.0672,66.718,2461600,66.718
2024-06-25,66.9123,67.6992,66.3489,66.9317,2770600,66.9317
2024-06-26,66.378,66.7277,65.9506,66.3489,4218400,66.3489
2024-06-27,66.174,66.5626,65.6203,65.7952,8942700,65.7952
2024-06-28,65.9894,66.3974,65.7077,66.0574,5939400,66.0574
2024-07-01,65.9117,66.242,65.3192,65.8049,2127100,65.8049
2024-07-02,65.834,66.7277,65.766,66.65,5075300,66.65
2024-07-03,66.6792,66.7569,66.242,66.3489,1230300,66.3489
2024-07-05,66.1254,66.242,65.7174,66.0574,1501200,66.0574
2024-07-08,65.8826,66.2226,65.2997,65.6203,2264300,65.6203
2024-07-09,65.4649,65.7563,64.95,64.9792,2109500,64.9792
2024-07-10,65.018,65.9409,64.6489,65.8923,3483300,65.8923
2024-07-11,65.9409,68.3889,65.9409,68.1363,6550600,68.1363
2024-07-12,68.3695,70.2443,68.35,69.4866,6434900,69.4866
2024-07-15,69.1272,71.0215,69.0398,70.3609,2999200,70.3609
2024-07-16,70.8369,71.7889,70.6523,71.682,2635100,71.682
2024-07-17,71.6626,72.974,71.5655,72.566,3016400,72.566
2024-07-18,72.566,75.1306,72.4495,73.7998,5156700,73.7998
2024-07-19,73.2558,73.6832,71.9638,72.2066,5069000,72.2066
2024-07-22,72.5175,73.0421,71.9735,73.0129,4135200,73.0129
2024-07-23,72.7701,72.7701,71.4975,71.7792,5753100,71.7792
2024-07-24,71.6723,71.8083,70.322,70.6135,4094700,70.6135
2024-07-25,70.7203,72.2649,70.526,71.1186,4982300,71.1186
2024-07-26,71.0409,72.8283,70.7495,72.4398,5126900,72.4398
2024-07-29,72.702,72.702,71.9152,72.4106,4825400,72.4106
2024-07-30,72.6826,74.1106,72.3815,73.6541,7283700,73.6541
2024-07-31,74.1301,74.1301,72.9741,73.5181,3860400,73.5181
2024-08-01,75.7718,77.9769,73.2461,74.1301,6668000,74.1301
2024-08-02,73.9358,73.9358,71.5266,71.886,4043700,71.886
2024-08-05,71.0992,71.5849,69.506,69.6809,5956500,69.6809
2024-08-06,69.9043,71.8083,69.7392,70.5746,2664600,70.5746
2024-08-07,71.5752,72.2649,71.0118,71.0798,3887800,71.0798
2024-08-08,70.9826,72.1289,70.9826,71.6238,3796600,71.6238
2024-08-09,71.6238,72.4495,71.1186,72.294,7783400,72.294
