date,open,high,low,close,volume,adj_close
2024-05-20,7.95,7.98,7.88,7.88,1133300,7.88
2024-05-21,7.86,7.86,7.59,7.64,954500,7.64
2024-05-22,7.57,7.58,7.35,7.41,1105500,7.41
2024-05-23,7.43,7.46,7.21,7.32,1133500,7.32
2024-05-24,7.39,7.41,7.28,7.41,864700,7.41
2024-05-28,7.48,7.55,7.35,7.45,973900,7.45
2024-05-29,7.28,7.37,7.24,7.27,880400,7.27
2024-05-30,7.35,7.52,7.34,7.52,927000,7.52
2024-05-31,7.54,7.69,7.53,7.64,1398300,7.64
2024-06-03,7.74,7.76,7.5,7.74,1282300,7.74
2024-06-04,7.61,7.7,7.59,7.6,1112500,7.6
2024-06-05,7.7,7.76,7.57,7.76,1090800,7.76
2024-06-06,7.7,7.74,7.62,7.65,1131800,7.65
2024-06-07,7.57,7.59,7.41,7.53,1164000,7.53
2024-06-10,7.4,7.54,7.37,7.5,1067700,7.5
2024-06-11,7.45,7.45,7.28,7.3,1770000,7.3
2024-06-12,7.52,7.71,7.41,7.48,1022700,7.48
2024-06-13,7.44,7.47,7.17,7.18,1303700,7.18
2024-06-14,7.05,7.05,6.86,6.91,1462200,6.91
2024-06-17,6.85,7.07,6.84,7.06,1222500,7.06
2024-06-18,7.07,7.13,6.89,6.89,1012300,6.89
2024-06-20,6.85,6.9,6.75,6.8,1260500,6.8
2024-06-21,6.8,7.01,6.78,6.92,4440300,6.92
2024-06-24,6.94,7.22,6.94,7.12,1366900,7.12
2024-06-25,7.1,7.13,6.98,7.11,774100,7.11
2024-06-26,7.02,7.19,6.97,7.03,1285900,7.03
2024-06-27,7.04,7.05,6.87,6.9,1038800,6.9
2024-06-28,7.0,7.03,6.86,6.99,1754500,6.99
2024-07-01,7.04,7.09,6.84,6.91,988000,6.91
2024-07-02,6.93,7.04,6.88,6.95,1201500,6.95
2024-07-03,6.96,7.02,6.92,6.99,420500,6.99
2024-07-05,6.9,6.95,6.66,6.67,1510000,6.67
2024-07-08,6.77,6.85,6.7,6.71,993300,6.71
2024-07-09,6.67,6.83,6.62,6.77,1475100,6.77
2024-07-10,6.79,6.83,6.72,6.81,1180500,6.81
2024-07-11,6.99,7.12,6.93,7.03,1473700,7.03
2024-07-12,7.14,7.2,7.05,7.17,967100,7.17
2024-07-15,7.16,7.27,7.1,7.15,916900,7.15
2024-07-16,7.25,7.35,7.23,7.35,1701500,7.35
2024-07-17,7.25,7.45,7.25,7.43,1433400,7.43
2024-07-18,7.37,7.58,7.28,7.35,1001900,7.35
2024-07-19,7.26,7.28,6.95,6.99,1393100,6.99
2024-07-22,7.07,7.24,6.95,7.23,1289700,7.23
