date,open,high,low,close,volume,adj_close
2025-11-06 00:00:00,0.36,2.0,0.35,1.817,90800,1.817
2025-11-07 00:00:00,2.3,2.72,1.85,2.45,297900,2.45
2025-11-10 00:00:00,3.4,3.647,2.75,3.63,101300,3.63
2025-11-11 00:00:00,3.6,5.0,3.1,4.5,113800,4.5
2025-11-12 00:00:00,4.55,4.57,3.02,3.26,103600,3.26
2025-11-13 00:00:00,3.01,4.5,3.01,4.47,145300,4.47
2025-11-14 00:00:00,3.5,4.46,3.5,4.05,109500,4.05
2025-11-17 00:00:00,3.91,4.99,3.83,4.91,111300,4.91
2025-11-18 00:00:00,4.35,4.79,4.35,4.585,46100,4.585
2025-11-19 00:00:00,4.02,4.72,4.02,4.71,18300,4.71
2025-11-20 00:00:00,4.8,4.8,4.08,4.39,45900,4.39
2025-11-21 00:00:00,4.71,4.93,3.53,4.69,102000,4.69
2025-11-24 00:00:00,4.5,4.8,3.79,4.8,68900,4.8
2025-11-25 00:00:00,4.23,4.61,3.76,4.0,46000,4.0
2025-11-26 00:00:00,3.96,4.3,3.81,4.1,34200,4.1
2025-11-28 00:00:00,3.83,4.21,3.75,4.11,16400,4.11
2025-12-01 00:00:00,3.15,4.18,3.05,4.0,24100,4.0
2025-12-02 00:00:00,3.54,4.0,3.54,3.62,26700,3.62
2025-12-03 00:00:00,3.23,4.15,3.23,4.15,40000,4.15
2025-12-04 00:00:00,4.19,4.22,3.85,4.15,53600,4.15
2025-12-05 00:00:00,4.15,4.18,3.84,3.96,21200,3.96
2025-12-08 00:00:00,3.84,3.84,3.3,3.61,18000,3.61
2025-12-09 00:00:00,3.8,3.87,3.59,3.74,11500,3.74
2025-12-10 00:00:00,3.95,3.99,3.5,3.53,14200,3.53
2025-12-11 00:00:00,3.5,3.7,3.26,3.38,7100,3.38
2025-12-12 00:00:00,3.31,3.34,3.26,3.26,5700,3.26
2025-12-15 00:00:00,3.347,3.347,3.0,3.0,11300,3.0
2025-12-16 00:00:00,2.88,3.1,2.66,2.9,18200,2.9
2025-12-17 00:00:00,2.832,3.34,2.02,2.15,34200,2.15
2025-12-18 00:00:00,2.381,2.44,2.05,2.07,6400,2.07
2025-12-19 00:00:00,1.95,2.26,1.9,1.9,13600,1.9
2025-12-22 00:00:00,1.95,2.32,1.85,2.0,7200,2.0
2025-12-23 00:00:00,2.03,2.33,1.85,2.0,12400,2.0
2025-12-24 00:00:00,1.73,2.0,1.72,2.0,2000,2.0
2025-12-26 00:00:00,2.2,2.2,1.78,1.94,5600,1.94
2025-12-29 00:00:00,1.94,1.94,1.71,1.85,19200,1.85
2025-12-30 00:00:00,1.81,1.84,1.72,1.78,7500,1.78
