date,open,high,low,close,volume,adj_close
2024-05-20,138.7937,140.1994,138.5434,138.8033,1078800,138.8033
2024-05-21,138.9189,139.121,137.4073,138.0042,561800,138.0042
2024-05-22,136.8682,138.1005,136.2424,136.5793,805700,136.5793
2024-05-23,135.9535,137.5998,134.7693,134.827,1147100,134.827
2024-05-24,135.3662,136.3194,134.5671,136.0209,647500,136.0209
2024-05-28,135.5588,136.3097,133.5081,133.7391,886300,133.7391
2024-05-29,132.9882,133.8932,132.2276,133.0459,986800,133.0459
2024-05-30,132.8341,134.4804,132.2468,134.1435,838600,134.1435
2024-05-31,134.3842,136.7719,134.2013,136.6852,2238000,136.6852
2024-06-03,135.6743,136.9548,134.6249,135.8572,634300,135.8572
2024-06-04,135.7225,136.7237,134.5094,136.3001,818800,136.3001
2024-06-05,136.0113,137.6769,135.5588,137.3784,837500,137.3784
2024-06-06,137.0703,138.4856,136.9837,137.3303,618400,137.3303
2024-06-07,137.0029,137.8598,136.9452,137.0414,366200,137.0414
2024-06-10,136.6852,136.9067,135.2025,136.2038,589500,136.2038
2024-06-11,135.7128,136.1653,135.1159,135.5203,544000,135.5203
2024-06-12,136.3001,136.4542,133.0171,133.6621,831200,133.6621
2024-06-13,133.7103,133.951,132.3624,133.3733,668000,133.3733
2024-06-14,132.863,133.9991,131.9099,132.7186,718600,132.7186
2024-06-17,131.6788,132.6223,131.5151,131.9195,815800,131.9195
2024-06-18,131.2552,132.6223,131.2552,132.1891,759700,132.1891
2024-06-20,131.2937,133.1422,130.7641,133.0555,758500,133.0555
2024-06-21,133.4792,134.4901,132.7667,133.7873,898000,133.7873
2024-06-24,134.1724,135.347,133.0748,135.01,599400,135.01
2024-06-25,134.5768,134.9522,132.526,133.1519,609100,133.1519
2024-06-26,132.6705,133.5466,131.8617,133.4407,710900,133.4407
2024-06-27,133.4214,134.182,131.9195,132.2276,936200,132.2276
2024-06-28,132.8052,133.4599,130.4272,131.7847,1284700,131.7847
2024-07-01,132.4009,134.0953,131.2263,131.9869,788700,131.9869
2024-07-02,131.958,132.9112,131.2744,131.5536,1048500,131.5536
2024-07-03,134.7693,135.6936,132.1024,135.655,808400,135.655
2024-07-05,135.9535,136.7141,133.6043,135.2218,1017600,135.2218
2024-07-08,135.8897,136.4221,134.3894,134.4668,642500,134.4668
2024-07-09,134.1764,134.7475,132.5987,133.9248,932200,133.9248
2024-07-10,136.2188,136.4317,134.4765,135.9478,723000,135.9478
2024-07-11,137.3029,139.142,137.0028,138.9,951600,138.9
2024-07-12,139.5485,140.5649,138.8903,139.4904,581900,139.4904
2024-07-15,139.4711,141.8135,139.1323,139.955,1277100,139.955
2024-07-16,140.681,143.9623,139.6647,143.8365,1008600,143.8365
2024-07-17,144.1559,145.7627,143.3525,143.7204,769800,143.7204
2024-07-18,142.8589,145.0465,141.5522,142.1329,765700,142.1329
2024-07-19,143.3622,143.3622,141.2618,141.3295,907000,141.3295
2024-07-22,141.8425,143.5074,141.0488,142.6266,1334400,142.6266
2024-07-23,139.3453,141.7167,133.2956,136.4414,1893400,136.4414
2024-07-24,137.4384,139.7518,135.5703,139.2969,1060800,139.2969
2024-07-25,140.0131,142.3943,139.171,139.626,1127700,139.626
2024-07-26,140.2745,142.0264,139.9357,140.923,1282600,140.923
2024-07-29,140.3519,140.4584,137.2738,137.5836,1532200,137.5836
2024-07-30,137.2642,140.1003,137.2642,138.3096,937200,138.3096
2024-07-31,137.9611,138.9097,136.1994,137.7385,1276200,137.7385
2024-08-01,138.2805,143.1493,138.2805,142.9363,1120800,142.9363
2024-08-02,143.2557,146.9146,142.4911,145.2691,1024000,145.2691
2024-08-05,145.0852,145.724,140.2261,141.1166,1261900,141.1166
2024-08-06,141.2521,143.5558,140.8262,142.1813,822600,142.1813
2024-08-07,142.191,143.9527,141.165,141.4457,1090300,141.4457
2024-08-08,141.1553,145.4336,140.7681,145.2497,800000,145.2497
2024-08-09,145.1916,145.6853,143.6623,144.5238,675600,144.5238
2024-08-12,144.2237,145.7337,143.972,145.5982,693000,145.5982
2024-08-13,146.1596,147.1275,144.0592,145.937,728400,145.937
2024-08-14,145.6466,145.9079,144.6496,145.0465,510400,145.0465
2024-08-15,145.3659,146.0241,143.8172,144.8916,685200,144.8916
2024-08-16,145.1723,146.9727,143.8946,146.5274,717100,146.5274
2024-08-19,146.5855,147.9793,145.695,146.2757,688300,146.2757
2024-08-20,146.508,146.508,145.2013,146.0725,432200,146.0725
2024-08-21,146.5177,148.1633,146.0628,148.0665,625000,148.0665
2024-08-22,148.3955,148.3955,147.2824,147.9406,477600,147.9406
2024-08-23,148.8214,148.8795,147.1469,148.6375,472300,148.6375
2024-08-26,149.015,149.7506,148.5794,148.9666,425400,148.9666
2024-08-27,149.3344,149.6926,148.0471,148.6762,494500,148.6762
2024-08-28,148.6085,150.3121,148.4633,149.9152,570000,149.9152
2024-08-29,150.0507,151.6962,149.4699,151.2219,698700,151.2219
2024-08-30,150.9218,152.2963,150.5056,151.9382,883700,151.9382
2024-09-03,151.9672,153.1481,151.0186,151.9382,745900,151.9382
2024-09-04,152.1705,154.2516,149.9249,150.4089,606100,150.4089
2024-09-05,150.283,150.525,147.3985,149.286,756100,149.286
2024-09-06,149.2957,150.0604,147.1469,148.0277,827500,148.0277
2024-09-09,148.0568,150.6508,147.6696,149.3441,912100,149.3441
2024-09-10,149.6345,150.4282,146.3919,147.96,656100,147.96
2024-09-11,147.2533,149.0344,144.727,148.6375,958100,148.6375
2024-09-12,148.5891,150.0023,147.0114,149.7991,762500,149.7991
