date,open,high,low,close,volume,adj_close
2024-05-20,180.1799,182.0198,180.1799,181.1292,738700,181.1292
2024-05-21,180.4245,182.2057,180.082,182.0883,505200,182.0883
2024-05-22,182.4014,183.7911,182.2155,183.5464,937200,183.5464
2024-05-23,183.6345,183.7324,180.1016,180.3463,1287200,180.3463
2024-05-24,181.0704,181.4717,179.1033,180.2484,761500,180.2484
2024-05-28,183.2235,184.6131,178.477,179.5633,1345900,179.5633
2024-05-29,178.1149,179.0936,177.5669,177.6647,969300,177.6647
2024-05-30,178.0562,178.477,177.1852,177.7528,850600,177.7528
2024-05-31,178.116,180.648,176.477,180.4026,1718900,180.4026
2024-06-03,180.5989,180.962,176.0059,177.9197,1250000,177.9197
2024-06-04,177.3406,178.0472,174.9656,176.104,1242800,176.104
2024-06-05,176.4574,178.2141,174.7693,177.5958,1246400,177.5958
2024-06-06,177.4093,178.2043,174.1903,174.7203,1092400,174.7203
2024-06-07,174.2099,175.1717,173.4052,173.9253,1050500,173.9253
2024-06-10,173.3266,175.5054,173.3266,174.6417,963800,174.6417
2024-06-11,173.9548,174.4847,172.8065,173.9744,869600,173.9744
2024-06-12,175.6428,178.744,175.2699,178.3711,1649300,178.3711
2024-06-13,177.7822,178.2239,175.3091,178.0178,908600,178.0178
2024-06-14,176.6732,177.2621,171.6288,173.9547,1049300,173.9547
2024-06-17,173.5131,176.8401,173.2874,175.8979,933900,175.8979
2024-06-18,177.0462,179.4408,176.0255,179.3918,1332300,179.3918
2024-06-20,179.0679,180.5106,178.7539,179.8923,1095000,179.8923
2024-06-21,179.2249,179.5979,176.8794,179.1072,1432600,179.1072
2024-06-24,179.804,182.5421,179.1268,180.9718,1041100,180.9718
2024-06-25,180.6676,180.6676,176.6635,176.7125,994200,176.7125
2024-06-26,176.1139,176.5457,174.1216,175.3974,877100,175.3974
2024-06-27,175.4171,176.3396,174.1412,175.1325,712000,175.1325
2024-06-28,175.7115,178.1061,175.26,177.0953,1581400,177.0953
2024-07-01,178.322,178.322,173.2383,173.6996,868400,173.6996
2024-07-02,173.6603,174.2983,173.0224,173.6702,951500,173.6702
2024-07-03,174.1118,174.8086,172.6201,173.68,514700,173.68
2024-07-05,173.15,173.4248,170.9222,173.3953,798400,173.3953
2024-07-08,174.2001,175.1226,172.7378,173.2089,705800,173.2089
2024-07-09,172.8458,173.307,171.57,171.8742,1002500,171.8742
2024-07-10,171.8742,175.3385,171.8447,175.2404,875200,175.2404
2024-07-11,176.7518,180.0591,176.6438,178.7146,1004100,178.7146
2024-07-12,180.3241,181.8944,179.431,181.0896,836000,181.0896
2024-07-15,181.1878,183.7394,180.7461,181.5509,797400,181.5509
2024-07-16,182.1005,188.1361,181.07,187.93,1312200,187.93
2024-07-17,187.243,188.7348,186.1144,186.2813,1021100,186.2813
2024-07-18,184.9073,187.9693,182.7678,182.8758,1271900,182.8758
2024-07-19,184.0436,184.5049,179.3623,180.2849,856600,180.2849
2024-07-22,178.6067,180.0886,175.9863,177.7823,1416600,177.7823
2024-07-23,178.3024,179.2544,176.6144,177.0167,1122400,177.0167
2024-07-24,176.0648,176.3494,172.9341,173.0519,1310700,173.0519
2024-07-25,176.7518,185.3195,175.5054,182.8562,2544900,182.8562
2024-07-26,181.9827,184.6129,181.0896,181.7864,1412000,181.7864
2024-07-29,181.8944,183.445,180.5204,183.0034,948200,183.0034
2024-07-30,184.132,185.084,180.5793,181.0798,880200,181.0798
2024-07-31,182.5028,183.2683,180.3928,180.8344,1125100,180.8344
2024-08-01,180.5989,181.7962,175.0932,175.8194,917900,175.8194
2024-08-02,173.5917,173.5917,169.823,172.1588,976800,172.1588
2024-08-05,171.0498,171.4227,168.3509,169.5286,1091900,169.5286
2024-08-06,170.4511,173.6603,169.3814,171.2363,1030300,171.2363
2024-08-07,172.8654,174.4357,169.0968,169.2931,639100,169.2931
2024-08-08,171.0792,173.4739,170.7161,173.2776,647300,173.2776
2024-08-09,172.993,173.2776,170.9517,172.9537,635700,172.9537
2024-08-12,173.0224,173.3757,170.5493,171.1283,428400,171.1283
2024-08-13,171.776,173.837,170.8633,173.3659,536700,173.3659
2024-08-14,173.2089,174.6319,172.5514,173.5328,579700,173.5328
2024-08-15,175.9961,177.2327,174.4553,175.6428,534900,175.6428
