date,open,high,low,close,volume,adj_close
2024-05-20,497.5837,502.578,496.1097,500.4736,268600,500.4736
2024-05-21,501.5888,502.3355,495.6927,498.1849,202900,498.1849
2024-05-22,498.0977,499.5136,492.9774,496.4394,338300,496.4394
2024-05-23,497.8553,497.8553,486.0533,486.9455,442100,486.9455
2024-05-24,488.5068,490.2717,485.6072,486.9745,368300,486.9745
2024-05-28,485.6751,494.0441,485.6751,493.6853,411700,493.6853
2024-05-29,492.1531,495.3823,489.9905,494.5872,478600,494.5872
2024-05-30,498.6892,499.3778,488.6522,493.7047,332600,493.7047
2024-05-31,493.2004,494.2089,484.395,493.2004,966400,493.2004
2024-06-03,490.2136,508.3869,488.759,507.165,682800,507.165
2024-06-04,506.9613,511.2282,500.9294,505.2254,485800,505.2254
2024-06-05,506.1564,508.416,500.8033,501.4627,367200,501.4627
2024-06-06,503.5575,506.234,494.9557,498.1559,319500,498.1559
2024-06-07,496.0418,502.7525,495.0914,498.0201,269100,498.0201
2024-06-10,497.4867,510.9955,496.0418,510.627,511200,510.627
2024-06-11,510.6269,512.2271,504.1489,511.9846,411000,511.9846
2024-06-12,515.9509,522.1574,513.7011,515.3303,387800,515.3303
2024-06-13,522.0895,522.0895,508.4256,512.7604,401600,512.7604
2024-06-14,510.7765,515.1821,507.0809,507.0905,374200,507.0905
2024-06-17,507.9367,519.7725,506.5752,517.5453,427900,517.5453
2024-06-18,517.6329,521.2604,513.3246,518.9847,356200,518.9847
2024-06-20,519.3348,519.3348,508.0728,510.5819,401500,510.5819
2024-06-21,512.4686,513.3342,499.9229,507.499,854000,507.499
2024-06-24,506.4681,520.5602,504.3383,518.7707,500200,518.7707
2024-06-25,517.8955,518.1289,508.5105,513.3732,320200,513.3732
2024-06-26,512.1963,512.1963,505.087,505.1065,255000,505.1065
2024-06-27,505.6414,505.7192,500.1952,501.8194,267000,501.8194
2024-06-28,502.1111,507.1781,498.7656,502.1501,882800,502.1501
2024-07-01,502.1889,502.1889,484.7222,491.4716,472200,491.4716
2024-07-02,490.8589,490.8589,477.5838,479.0815,443200,479.0815
2024-07-03,480.2096,487.173,479.3635,483.6719,221300,483.6719
2024-07-05,481.2989,483.2051,476.8252,480.1708,362600,480.1708
2024-07-08,494.6031,495.1088,484.7027,486.5894,614300,486.5894
2024-07-09,486.6089,487.6787,463.7737,464.7074,757300,464.7074
2024-07-10,464.7755,466.8372,457.5787,464.863,626400,464.863
2024-07-11,467.8973,471.6902,459.2223,460.0976,421200,460.0976
2024-07-12,463.589,482.6021,463.589,477.9826,720500,477.9826
2024-07-15,478.0992,479.2857,469.5895,469.7646,581300,469.7646
2024-07-16,471.6805,479.1009,469.6187,476.3973,572900,476.3973
2024-07-17,473.0031,475.9596,459.621,460.2726,956500,460.2726
2024-07-18,398.5457,423.0342,395.0056,397.8065,3127800,397.8065
2024-07-19,396.1532,400.413,389.044,393.0703,1613500,393.0703
2024-07-22,392.0491,407.5319,390.2791,404.1378,1651200,404.1378
2024-07-23,407.2693,421.4781,405.548,411.3248,1605800,411.3248
2024-07-24,410.4106,415.6137,407.2305,413.0657,1087700,413.0657
2024-07-25,412.2001,414.4077,405.7716,413.4936,958100,413.4936
2024-07-26,413.3282,414.1646,403.6904,405.9856,810300,405.9856
2024-07-29,411.0428,418.7842,406.0051,416.3723,759400,416.3723
2024-07-30,416.0708,419.1829,413.7367,417.3643,524400,417.3643
2024-07-31,423.0536,423.0536,413.6881,416.9266,842800,416.9266
2024-08-01,418.191,419.6887,410.187,414.9232,590100,414.9232
2024-08-02,411.9667,417.2184,409.1755,417.2184,550900,417.2184
2024-08-05,408.0279,426.0393,406.5205,417.4323,769700,417.4323
2024-08-06,421.3614,425.485,415.925,417.199,657900,417.199
2024-08-07,417.8603,423.783,414.1646,415.8277,573500,415.8277
2024-08-08,416.1778,428.7527,416.1778,425.5919,532200,425.5919
2024-08-09,425.9712,428.4512,422.6451,426.3602,442600,426.3602
2024-08-12,425.485,435.3465,423.9775,432.6817,474500,432.6817
2024-08-13,433.7515,436.7858,424.2109,429.1806,750400,429.1806
2024-08-14,432.4094,432.9346,427.1188,430.0948,334800,430.0948
2024-08-15,433.7904,435.9592,430.5227,432.3705,423300,432.3705
2024-08-16,431.3299,432.9346,426.1949,430.7464,502700,430.7464
2024-08-19,430.7561,432.3608,417.6949,420.9529,997800,420.9529
2024-08-20,420.7779,424.4249,411.4902,415.3317,860300,415.3317
2024-08-21,416.6349,420.0777,412.7545,415.9542,645500,415.9542
2024-08-22,415.9346,415.9346,404.0794,404.7991,749100,404.7991
2024-08-23,407.3374,415.0205,405.0617,413.6006,833400,413.6006
2024-08-26,413.3282,419.3483,411.8014,412.8225,683400,412.8225
2024-08-27,410.4981,411.1984,404.7602,406.9192,565600,406.9192
2024-08-28,406.4427,407.6875,403.2041,404.6629,479100,404.6629
2024-08-29,403.6029,405.0325,394.5486,401.6189,676100,401.6189
2024-08-30,402.9902,404.3031,400.695,402.8346,580000,402.8346
2024-09-03,401.1035,404.0892,390.2889,392.4673,652300,392.4673
2024-09-04,391.4851,400.0823,389.6956,394.393,542800,394.393
2024-09-05,396.6298,406.1801,395.1807,398.9931,846800,398.9931
2024-09-06,398.5263,404.4101,393.4982,397.2717,618200,397.2717
2024-09-09,397.3203,411.568,397.3203,408.6212,684400,408.6212
2024-09-10,409.0783,419.8929,403.068,405.3242,569500,405.3242
2024-09-11,401.8912,402.4358,385.183,396.7659,1133200,396.7659
2024-09-12,399.9364,401.5897,393.0412,394.6945,663300,394.6945
2024-09-13,405.2078,405.2078,392.42,392.9276,540300,392.9276
2024-09-16,394.5968,400.7858,394.2259,399.2239,766700,399.2239
2024-09-17,400.7565,405.6959,397.7401,402.6112,422200,402.6112
2024-09-18,403.2652,408.722,399.2239,399.2727,498900,399.2727
2024-09-19,405.4713,407.4822,399.1653,401.8986,472600,401.8986
