date,open,high,low,close,volume,adj_close
2024-05-20,97.82,99.9,97.54,99.44,156300,99.44
2024-05-21,99.0,99.26,98.18,98.57,167200,98.57
2024-05-22,98.41,100.37,98.41,99.39,147300,99.39
2024-05-23,100.13,100.13,98.61,99.01,167200,99.01
2024-05-24,99.68,100.43,98.41,100.23,131000,100.23
2024-05-28,100.69,100.69,98.39,99.14,180100,99.14
2024-05-29,98.47,99.13,97.59,97.6,335600,97.6
2024-05-30,96.32,96.32,90.85,91.0,351800,91.0
2024-05-31,91.2,92.38,90.03,92.33,393500,92.33
2024-06-03,92.41,92.75,90.28,91.03,144300,91.03
2024-06-04,90.73,91.45,89.0,90.34,170200,90.34
2024-06-05,90.55,92.83,90.55,92.72,117700,92.72
2024-06-06,92.61,93.19,92.46,92.93,109000,92.93
2024-06-07,92.3,92.5,90.99,91.19,67400,91.19
2024-06-10,91.19,92.43,90.92,92.18,151000,92.18
2024-06-11,91.73,92.47,91.52,92.24,121700,92.24
2024-06-12,93.11,94.32,93.11,94.07,145000,94.07
2024-06-13,95.0,95.35,94.16,94.93,216300,94.93
2024-06-14,94.93,95.42,93.79,94.19,161200,94.19
2024-06-17,94.12,95.02,92.97,94.83,162400,94.83
2024-06-18,94.73,95.29,93.89,94.73,67600,94.73
2024-06-20,94.43,95.54,92.7,93.4,147800,93.4
2024-06-21,94.0,94.74,93.4,94.39,153300,94.39
2024-06-24,94.16,95.4,94.0,94.56,197200,94.56
2024-06-25,94.94,95.09,94.0,94.8,83400,94.8
2024-06-26,94.42,95.33,93.62,95.33,181000,95.33
2024-06-27,95.5,97.42,95.5,97.29,173200,97.29
2024-06-28,97.87,98.83,96.4,96.84,136500,96.84
2024-07-01,97.01,97.66,96.48,96.86,117100,96.86
2024-07-02,96.93,99.83,96.93,99.69,175300,99.69
2024-07-03,99.91,100.26,98.92,99.01,62800,99.01
2024-07-05,99.03,99.52,98.6,98.9,88500,98.9
2024-07-08,98.97,100.09,98.25,99.92,132200,99.92
2024-07-09,99.8,100.89,99.23,100.27,135900,100.27
2024-07-10,100.1,100.88,98.65,99.7,152500,99.7
2024-07-11,100.4,100.84,99.69,100.14,68700,100.14
2024-07-12,100.14,101.55,100.05,101.07,101300,101.07
2024-07-15,101.68,103.21,101.3,103.05,123500,103.05
2024-07-16,103.54,104.71,103.43,103.93,135300,103.93
2024-07-17,103.02,103.26,99.63,100.19,199000,100.19
2024-07-18,100.56,100.56,98.04,98.58,241100,98.58
2024-07-19,98.83,99.86,98.6,99.41,155000,99.41
2024-07-22,99.53,100.41,99.19,100.08,201400,100.08
2024-07-23,100.31,101.87,99.81,100.92,134700,100.92
2024-07-24,100.31,100.89,98.64,98.64,70900,98.64
2024-07-25,99.03,100.62,98.59,99.52,104700,99.52
2024-07-26,100.26,101.08,100.08,100.49,54500,100.49
2024-07-29,100.9,101.32,100.19,100.81,72300,100.81
2024-07-30,101.0,101.22,99.72,100.65,244600,100.65
2024-07-31,102.07,102.77,101.59,101.65,140800,101.65
2024-08-01,101.42,102.26,99.33,99.53,81400,99.53
2024-08-02,97.66,98.09,95.3,95.72,195800,95.72
2024-08-05,91.06,94.43,90.61,94.39,120300,94.39
2024-08-06,95.0,95.0,93.59,93.79,163800,93.79
2024-08-07,95.24,95.8,93.54,93.88,95700,93.88
2024-08-08,95.18,95.51,94.18,95.16,146900,95.16
2024-08-09,95.03,96.81,94.72,96.5,99300,96.5
2024-08-12,96.26,97.05,95.89,96.02,73600,96.02
2024-08-13,96.99,96.99,95.84,96.08,136800,96.08
2024-08-14,96.08,97.64,95.96,97.45,95800,97.45
2024-08-15,98.54,99.76,98.49,99.24,68900,99.24
2024-08-16,99.03,100.42,98.7,100.09,102400,100.09
2024-08-19,100.09,100.69,99.79,100.58,53900,100.58
2024-08-20,100.56,100.99,99.92,100.31,73800,100.31
2024-08-21,100.48,100.7,99.5,100.7,141000,100.7
2024-08-22,101.3,101.44,99.37,99.49,53100,99.49
2024-08-23,100.1,100.34,99.02,99.5,118100,99.5
2024-08-26,99.58,100.76,98.8,100.55,223300,100.55
2024-08-27,100.55,101.94,100.55,101.48,209600,101.48
2024-08-28,101.52,101.86,99.49,99.51,112000,99.51
2024-08-29,99.91,101.25,99.83,99.9,78400,99.9
2024-08-30,100.06,101.3,99.24,100.89,119000,100.89
2024-09-03,100.71,100.89,98.91,99.64,110600,99.64
2024-09-04,99.23,99.51,97.91,98.75,171100,98.75
2024-09-05,96.83,100.7,94.97,95.33,273300,95.33
2024-09-06,95.66,96.01,92.85,94.62,226800,94.62
2024-09-09,94.8,97.64,94.8,96.51,182900,96.51
2024-09-10,96.51,96.81,94.56,96.21,128800,96.21
2024-09-11,96.24,97.8,95.03,97.05,182200,97.05
2024-09-12,97.11,98.26,96.85,97.94,75200,97.94
2024-09-13,97.94,98.55,97.6,98.25,107800,98.25
2024-09-16,98.56,99.77,98.21,99.55,103600,99.55
2024-09-17,100.17,100.34,99.06,99.09,120300,99.09
2024-09-18,99.55,101.38,99.02,100.17,137900,100.17
2024-09-19,101.62,103.14,101.29,103.03,171800,103.03
2024-09-20,102.72,103.22,102.21,102.54,103400,102.54
2024-09-23,102.9,103.93,102.08,103.55,101900,103.55
2024-09-24,103.87,103.87,101.73,102.53,96400,102.53
2024-09-25,102.53,103.22,101.91,102.23,70200,102.23
2024-09-26,103.77,105.01,103.2,104.9,163100,104.9
2024-09-27,104.9,105.12,102.05,102.18,128700,102.18
2024-09-30,102.0,103.01,100.89,102.96,126400,102.96
2024-10-01,102.73,102.73,100.73,101.94,109200,101.94
2024-10-02,101.89,102.8,101.6,101.68,58700,101.68
2024-10-03,101.17,101.37,99.78,100.41,99100,100.41
2024-10-04,101.49,102.7,100.58,101.87,70000,101.87
2024-10-07,101.51,101.81,99.82,100.21,64200,100.21
2024-10-08,100.56,102.06,100.53,102.05,71300,102.05
2024-10-09,102.3,104.58,102.29,104.49,160900,104.49
2024-10-10,103.84,104.39,103.64,104.05,173600,104.05
2024-10-11,104.5,106.22,104.15,105.7,129800,105.7
2024-10-14,105.7,106.51,104.03,104.24,77600,104.24
2024-10-15,104.71,108.02,104.16,107.38,432400,107.38
2024-10-16,107.14,107.23,105.75,106.04,121100,106.04
2024-10-17,106.49,107.8,106.19,107.0,103700,107.0
2024-10-18,107.21,107.37,106.19,106.41,84900,106.41
2024-10-21,105.87,106.57,105.29,106.5,114600,106.5
2024-10-22,106.5,107.11,106.17,106.63,106300,106.63
2024-10-23,106.66,106.71,105.29,105.86,98700,105.86
2024-10-24,106.17,106.78,104.54,104.54,90100,104.54
2024-10-25,104.54,105.49,103.61,104.17,88000,104.17
2024-10-28,104.85,105.53,104.48,105.53,109000,105.53
2024-10-29,105.77,107.38,105.1,107.34,88800,107.34
2024-10-30,107.26,107.64,106.29,106.47,101600,106.47
2024-10-31,105.77,105.77,102.81,103.93,172000,103.93
2024-11-01,103.93,106.94,103.65,106.27,125500,106.27
2024-11-04,105.84,107.43,105.84,107.3,164300,107.3
2024-11-05,107.38,108.77,107.38,107.75,230400,107.75
2024-11-06,109.9,112.92,108.57,112.5,261300,112.5
2024-11-07,113.05,113.93,112.17,113.34,194200,113.34
2024-11-08,113.44,115.42,113.14,115.0,122500,115.0
2024-11-11,115.31,116.05,114.56,115.66,148800,115.66
2024-11-12,115.18,116.73,114.5,115.17,158100,115.17
2024-11-13,115.21,117.24,115.2,115.95,147700,115.95
2024-11-14,115.95,116.71,111.43,111.97,311800,111.97
2024-11-15,111.28,111.88,110.68,111.41,249300,111.41
2024-11-18,111.25,112.92,110.93,112.63,127400,112.63
2024-11-19,111.99,114.6,111.69,113.61,134000,113.61
2024-11-20,114.18,114.47,112.53,114.13,182300,114.13
2024-11-21,114.77,114.99,113.72,114.33,139900,114.33
2024-11-22,114.78,116.31,114.33,116.08,263300,116.08
2024-11-25,116.97,117.95,116.54,117.25,384200,117.25
2024-11-26,117.34,117.63,116.07,117.1,192700,117.1
2024-11-27,117.0,117.7,116.0,116.27,186500,116.27
2024-11-29,117.75,118.49,116.72,116.87,240100,116.87
2024-12-02,116.67,116.67,114.74,115.97,364500,115.97
2024-12-03,116.0,116.23,115.38,116.02,341400,116.02
2024-12-04,117.8,122.22,117.0,119.9,479400,119.9
2024-12-05,119.79,120.29,118.69,118.72,478100,118.72
2024-12-06,118.72,121.76,118.1,121.37,266500,121.37
2024-12-09,121.57,122.88,119.92,119.97,224500,119.97
2024-12-10,119.87,120.72,119.14,119.68,154400,119.68
2024-12-11,120.11,121.31,119.47,119.95,233100,119.95
2024-12-12,120.0,121.59,120.0,121.24,125500,121.24
2024-12-13,121.54,122.55,118.99,119.73,184900,119.73
2024-12-16,119.98,120.84,119.09,119.27,163800,119.27
2024-12-17,119.29,120.2,119.11,119.25,155700,119.25
2024-12-18,119.46,120.43,114.83,114.85,216100,114.85
2024-12-19,115.99,116.71,113.87,114.01,284600,114.01
2024-12-20,113.3,115.86,112.32,114.52,481700,114.52
2024-12-23,114.26,114.68,113.73,114.68,209200,114.68
2024-12-24,114.74,115.9,114.21,115.73,166300,115.73
2024-12-26,115.46,115.46,114.45,115.0,111200,115.0
2024-12-27,114.5,114.67,113.25,114.04,240700,114.04
2024-12-30,112.97,114.27,112.3,114.11,188100,114.11
2024-12-31,114.07,114.52,113.37,113.6,146100,113.6
2025-01-02,114.58,115.21,113.19,113.5,95800,113.5
2025-01-03,114.1,114.31,112.84,113.9,121400,113.9
2025-01-06,114.89,115.58,113.8,114.49,228800,114.49
2025-01-07,114.92,115.12,111.32,111.58,242700,111.58
2025-01-08,111.13,113.2,110.65,113.16,222400,113.16
2025-01-10,112.23,112.5,111.31,111.37,275400,111.37
2025-01-13,110.46,111.4,109.59,110.95,203200,110.95
2025-01-14,111.15,112.65,110.64,112.54,184100,112.54
2025-01-15,113.99,115.31,113.75,114.97,159000,114.97
2025-01-16,115.22,115.74,114.83,115.04,116600,115.04
2025-01-17,116.26,117.23,115.71,115.85,258700,115.85
2025-01-21,117.09,118.63,116.73,118.53,189600,118.53
2025-01-22,119.08,120.5,118.7,120.41,150200,120.41
2025-01-23,120.78,120.78,118.89,119.89,157500,119.89
2025-01-24,120.29,120.68,118.71,119.13,137700,119.13
2025-01-27,116.74,118.23,115.92,116.55,165300,116.55
2025-01-28,117.06,118.36,113.94,117.65,351500,117.65
2025-01-29,117.38,117.38,113.81,115.94,219000,115.94
2025-01-30,115.68,117.71,115.68,117.46,225800,117.46
2025-01-31,117.95,118.37,115.83,115.83,205500,115.83
2025-02-03,113.35,116.09,112.33,115.67,220000,115.67
2025-02-04,116.11,116.94,115.66,115.85,188600,115.85
2025-02-05,116.18,117.51,115.65,117.43,163700,117.43
2025-02-06,117.31,119.5,117.28,118.93,199000,118.93
2025-02-07,119.13,120.42,118.49,119.85,256000,119.85
2025-02-10,121.5,124.31,120.5,122.5,489200,122.5
2025-02-11,122.52,122.62,118.06,118.69,276500,118.69
2025-02-12,116.12,117.01,113.82,114.05,724400,114.05
2025-02-13,114.24,116.9,114.05,116.78,262200,116.78
2025-02-14,116.43,117.35,115.95,116.54,172300,116.54
2025-02-18,116.54,116.54,114.4,114.87,259700,114.87
2025-02-19,114.17,114.94,112.83,114.73,206700,114.73
2025-02-20,114.32,114.75,111.75,113.57,205100,113.57
2025-02-21,113.75,113.91,111.71,111.87,213400,111.87
2025-02-24,112.24,113.57,109.06,110.83,377200,110.83
2025-02-25,110.15,112.0,109.98,111.13,204200,111.13
2025-02-26,111.32,113.36,111.32,112.0,180800,112.0
2025-02-27,112.41,113.35,110.24,110.27,141300,110.27
2025-02-28,110.29,111.56,109.31,111.49,254100,111.49
2025-03-03,111.76,112.42,109.41,110.06,257600,110.06
2025-03-04,108.89,110.16,106.15,108.88,264900,108.88
2025-03-05,108.95,110.99,108.95,110.92,316700,110.92
2025-03-06,95.95,103.56,92.55,101.71,1352000,101.71
2025-03-07,101.71,102.73,99.12,100.42,879600,100.42
2025-03-10,98.47,98.54,94.79,96.4,752200,96.4
2025-03-11,95.96,99.13,95.96,97.92,529200,97.92
2025-03-12,99.05,100.28,98.74,99.71,396200,99.71
2025-03-13,99.18,99.51,97.19,97.19,366600,97.19
2025-03-14,98.36,99.49,97.82,99.39,303700,99.39
2025-03-17,99.2,100.65,98.58,100.21,284000,100.21
2025-03-18,99.68,100.04,98.65,99.15,291400,99.15
2025-03-19,99.15,100.66,99.15,100.07,294000,100.07
2025-03-20,98.95,100.21,98.72,100.03,238700,100.03
2025-03-21,98.89,101.29,98.88,101.15,281500,101.15
2025-03-24,102.36,103.65,101.76,102.92,251000,102.92
2025-03-25,104.19,105.81,102.99,105.54,367800,105.54
2025-03-26,105.54,106.46,103.27,103.59,283900,103.59
2025-03-27,102.85,103.6,101.28,101.63,249000,101.63
2025-03-28,101.0,101.33,99.6,100.24,206100,100.24
2025-03-31,98.93,101.07,98.14,100.83,379300,100.83
2025-04-01,100.83,101.94,99.87,101.87,235000,101.87
2025-04-02,100.32,104.24,100.32,104.01,314200,104.01
2025-04-03,102.1,102.78,99.54,100.67,485800,100.67
2025-04-04,98.13,98.36,94.21,95.84,792500,95.84
2025-04-07,93.0,99.45,92.0,96.02,414400,96.02
2025-04-08,98.91,99.43,92.31,94.15,424900,94.15
2025-04-09,93.21,103.34,93.11,102.77,401200,102.77
2025-04-10,102.07,102.12,98.6,100.75,280600,100.75
2025-04-11,99.84,101.81,98.91,101.74,321500,101.74
2025-04-14,102.8,103.43,100.73,101.58,258100,101.58
2025-04-15,101.82,104.03,101.82,103.58,301900,103.58
2025-04-16,102.59,103.59,102.0,103.1,289000,103.1
2025-04-17,103.25,103.8,102.24,102.33,135800,102.33
2025-04-21,101.59,101.88,99.33,100.26,240300,100.26
