date,open,high,low,close,volume,adj_close
2024-06-04,5.525,6.5,5.425,5.675,60668,5.675
2024-06-05,5.675,9.4,5.325,5.4,796980,5.4
2024-06-06,5.4,7.25,5.275,5.9,223088,5.9
2024-06-07,5.9,6.0,5.55,5.7,36888,5.7
2024-06-10,5.8,5.825,5.25,5.4,34440,5.4
2024-06-11,5.25,5.75,5.25,5.6,25396,5.6
2024-06-12,5.75,5.975,5.525,5.725,28168,5.725
2024-06-13,5.65,5.8,5.5,5.8,15648,5.8
2024-06-14,5.75,6.45,5.575,5.95,46632,5.95
2024-06-17,5.775,6.25,5.525,6.25,30172,6.25
2024-06-18,6.25,6.95,5.65,6.225,96876,6.225
2024-06-20,6.25,6.75,5.9,6.5,51856,6.5
2024-06-21,6.5,7.425,6.025,6.75,63384,6.75
2024-06-24,6.75,7.25,6.275,6.625,44676,6.625
2024-06-25,6.75,6.75,5.85,6.225,25740,6.225
2024-06-26,6.225,6.225,5.775,5.975,23964,5.975
2024-06-27,5.775,6.025,5.575,5.85,24072,5.85
2024-06-28,5.775,6.0,5.325,5.375,37540,5.375
2024-07-01,5.225,6.0,5.225,5.55,25444,5.55
2024-07-02,5.45,5.95,5.45,5.85,26012,5.85
2024-07-03,5.95,6.35,5.7,6.0,29832,6.0
2024-07-05,6.0,6.25,5.675,5.775,19496,5.775
2024-07-08,5.775,6.65,5.625,6.375,110948,6.375
2024-07-09,6.4,6.95,6.125,6.525,60984,6.525
2024-07-10,7.0,7.0,6.025,6.425,61412,6.425
2024-07-11,6.225,6.7,6.125,6.125,39040,6.125
2024-07-12,6.1,6.55,6.05,6.25,33000,6.25
2024-07-15,6.475,6.475,5.875,6.1,48976,6.1
2024-07-16,6.325,6.45,5.9,6.125,23128,6.125
2024-07-17,6.05,7.675,6.025,7.275,91744,7.275
2024-07-18,8.05,8.325,6.55,6.575,517888,6.575
2024-07-19,6.5,6.7,5.5,6.3,65136,6.3
2024-07-22,5.75,6.0,5.525,5.7,62844,5.7
2024-07-23,5.75,6.825,5.75,6.1,92000,6.1
2024-07-24,6.1,6.5,5.725,5.775,34568,5.775
2024-07-25,5.75,5.975,5.625,5.8,21380,5.8
2024-07-26,5.775,6.0,5.4,5.5,32460,5.5
2024-07-29,5.6,5.6,5.075,5.475,33136,5.475
2024-07-30,5.5,5.5,5.125,5.275,22096,5.275
2024-07-31,5.275,5.35,5.2,5.275,9132,5.275
2024-08-01,5.25,5.4,5.0,5.15,29364,5.15
2024-08-02,5.1,5.125,4.325,4.725,37492,4.725
2024-08-05,4.525,4.75,4.25,4.65,15296,4.65
2024-08-06,4.675,5.0,4.675,4.85,10152,4.85
2024-08-07,4.9,4.9,4.55,4.675,12044,4.675
2024-08-08,4.75,4.75,4.15,4.475,33044,4.475
2024-08-09,4.65,4.65,4.35,4.375,9996,4.375
2024-08-12,4.425,4.45,4.05,4.175,15188,4.175
2024-08-13,4.35,4.5,4.175,4.5,7264,4.5
2024-08-14,4.575,4.575,4.25,4.4,5916,4.4
2024-08-15,4.275,4.875,4.275,4.725,7048,4.725
2024-08-16,4.825,4.825,4.5,4.725,6068,4.725
2024-08-19,4.925,4.95,4.5,4.75,8192,4.75
2024-08-20,5.125,5.3,4.75,4.925,10928,4.925
2024-08-21,5.075,5.75,4.75,5.65,71068,5.65
2024-08-22,5.25,5.55,5.0,5.25,21424,5.25
2024-08-23,5.075,5.375,4.575,5.275,277908,5.275
2024-08-26,5.125,6.0,5.125,5.4,65428,5.4
2024-08-27,5.4,5.575,5.05,5.175,23304,5.175
2024-08-28,5.225,5.4,4.625,4.625,31880,4.625
2024-08-29,4.75,4.8,4.475,4.5,17480,4.5
2024-08-30,4.6,4.925,4.525,4.85,16420,4.85
2024-09-03,4.975,5.0,4.525,4.575,12176,4.575
2024-09-04,4.8,4.975,4.45,4.45,9712,4.45
2024-09-05,4.45,4.75,4.35,4.625,15308,4.625
2024-09-06,4.625,4.675,4.25,4.45,16920,4.45
2024-09-09,4.55,4.7,4.375,4.525,11076,4.525
2024-09-10,4.5,4.65,4.275,4.4,7904,4.4
2024-09-11,4.475,4.675,4.275,4.675,18780,4.675
2024-09-12,4.725,4.8,4.575,4.75,7344,4.75
2024-09-13,4.75,5.0,4.625,4.875,10872,4.875
2024-09-16,4.75,5.0,4.675,4.9,10012,4.9
2024-09-17,4.95,5.7,4.8,5.05,33040,5.05
2024-09-18,5.325,5.325,4.9,5.0,6380,5.0
2024-09-19,5.25,5.25,4.875,5.05,15612,5.05
2024-09-20,5.125,5.25,4.925,4.975,10788,4.975
2024-09-23,4.875,5.475,4.625,4.85,23532,4.85
2024-09-24,4.775,5.125,4.75,4.75,18572,4.75
2024-09-25,4.75,4.9,4.275,4.375,39432,4.375
2024-09-26,4.375,4.825,4.3,4.5,18560,4.5
2024-09-27,4.5,4.675,4.425,4.675,5104,4.675
2024-09-30,4.5,4.825,4.2,4.25,34956,4.25
2024-10-01,4.2,4.3,3.775,3.9,27108,3.9
2024-10-02,3.9,4.075,3.9,3.975,5780,3.975
2024-10-03,3.95,4.0,3.85,3.925,12368,3.925
2024-10-04,4.025,4.3,4.0,4.225,12324,4.225
2024-10-07,4.35,4.35,3.15,3.45,157612,3.45
2024-10-08,5.0,5.175,3.575,3.875,1700452,3.875
2024-10-09,3.55,3.77,2.52,2.83,190300,2.83
2024-10-10,2.79,3.14,2.501,3.12,154500,3.12
2024-10-11,3.12,5.29,2.8,4.12,1082400,4.12
2024-10-14,3.75,4.79,3.62,4.49,259500,4.49
2024-10-15,4.38,4.39,3.64,3.66,101300,3.66
2024-10-16,3.64,4.9,3.5,4.43,207600,4.43
2024-10-17,3.97,4.199,3.85,4.01,214700,4.01
2024-10-18,4.0,4.0,3.85,3.86,119200,3.86
2024-10-21,3.95,4.099,3.635,3.95,109200,3.95
2024-10-22,3.88,4.2,3.75,4.11,67600,4.11
2024-10-23,3.832,4.13,3.832,4.13,13300,4.13
2024-10-24,4.1,4.762,3.962,4.75,79900,4.75
2024-10-25,4.5,5.15,4.5,4.99,94500,4.99
2024-10-28,4.76,4.98,4.63,4.87,34000,4.87
2024-10-29,4.9,4.9,4.405,4.46,31200,4.46
2024-10-30,4.2,4.51,4.05,4.16,72700,4.16
2024-10-31,4.23,4.5,4.17,4.35,23000,4.35
2024-11-01,4.3,4.51,4.28,4.37,68200,4.37
2024-11-04,4.24,4.47,4.21,4.44,22900,4.44
2024-11-05,4.3,4.72,4.19,4.62,35500,4.62
2024-11-06,4.36,4.823,4.201,4.45,50100,4.45
2024-11-07,4.32,4.483,4.318,4.45,13400,4.45
2024-11-08,4.48,4.707,4.3,4.3,29900,4.3
2024-11-11,3.76,4.063,3.2,3.42,109000,3.42
2024-11-12,3.41,3.76,3.32,3.46,42700,3.46
2024-11-13,3.29,3.43,2.94,2.97,56800,2.97
2024-11-14,3.07,3.23,2.97,3.2,16000,3.2
2024-11-15,3.31,3.31,2.96,2.97,16900,2.97
2024-11-18,2.97,3.07,1.62,1.85,143300,1.85
2024-11-19,1.77,3.028,1.76,2.6,637000,2.6
2024-11-20,2.64,2.701,2.25,2.43,75400,2.43
2024-11-21,2.36,2.85,2.09,2.71,136000,2.71
2024-11-22,2.6,2.74,2.46,2.55,103100,2.55
2024-11-25,2.54,2.8,2.46,2.68,25300,2.68
2024-11-26,2.679,2.82,2.55,2.645,11100,2.645
2024-11-27,2.73,2.87,2.58,2.6,43500,2.6
2024-11-29,2.565,2.565,2.4,2.4,20200,2.4
2024-12-02,2.36,2.701,2.36,2.43,23800,2.43
2024-12-03,2.48,2.66,2.45,2.515,23700,2.515
2024-12-04,2.57,2.57,2.39,2.52,9800,2.52
2024-12-05,2.4,2.54,2.29,2.29,55500,2.29
2024-12-06,2.28,2.511,2.28,2.37,13300,2.37
2024-12-09,2.52,2.75,2.365,2.6,26500,2.6
2024-12-10,2.47,2.74,2.47,2.74,20600,2.74
2024-12-11,2.67,2.826,2.65,2.67,12500,2.67
2024-12-12,2.67,2.7,2.4,2.41,14500,2.41
2024-12-13,2.452,2.499,2.32,2.36,4900,2.36
2024-12-16,2.58,2.59,2.334,2.45,15000,2.45
2024-12-17,2.34,2.46,2.31,2.34,5000,2.34
2024-12-18,2.4,2.657,2.307,2.42,26700,2.42
2024-12-19,2.42,2.436,2.32,2.32,10700,2.32
2024-12-20,2.3,2.63,2.3,2.34,33400,2.34
2024-12-23,2.83,2.98,2.33,2.72,84000,2.72
2024-12-24,2.6,2.88,2.5,2.87,34900,2.87
2024-12-26,2.97,3.0,2.62,2.62,21600,2.62
2024-12-27,2.77,2.94,2.61,2.82,33900,2.82
2024-12-30,2.83,2.961,2.7,2.85,25500,2.85
2024-12-31,2.82,2.861,2.48,2.49,17000,2.49
2025-01-02,2.6,2.6,2.42,2.51,22300,2.51
2025-01-03,2.63,2.75,2.48,2.61,10900,2.61
2025-01-06,2.78,2.929,2.52,2.57,16500,2.57
2025-01-07,2.86,2.86,2.488,2.65,51600,2.65
2025-01-08,2.56,2.677,2.38,2.38,30600,2.38
2025-01-10,2.38,2.44,2.36,2.36,6800,2.36
2025-01-13,2.34,2.44,2.29,2.32,9700,2.32
2025-01-14,2.31,2.335,2.1,2.23,45400,2.23
2025-01-15,2.23,2.28,2.17,2.2,8900,2.2
2025-01-16,2.21,2.239,1.92,1.93,48400,1.93
2025-01-17,1.99,1.99,1.87,1.87,17400,1.87
2025-01-21,2.53,3.99,2.05,3.15,24445500,3.15
2025-01-22,2.76,3.19,2.6,2.8,654600,2.8
2025-01-23,2.72,29.28,2.72,13.35,103459300,13.35
2025-01-24,17.49,19.33,10.1,11.4,8162800,11.4
2025-01-27,9.4,21.78,9.4,17.4,15118900,17.4
2025-01-28,17.19,20.0,14.5,15.06,1871200,15.06
2025-01-29,15.13,15.685,11.85,12.01,617900,12.01
2025-01-30,12.02,14.623,11.923,12.76,877100,12.76
2025-01-31,12.7,13.5,11.86,12.49,366200,12.49
2025-02-03,11.41,15.0,10.51,14.18,760900,14.18
2025-02-04,13.74,14.64,12.55,12.97,196000,12.97
2025-02-05,12.5,13.3,12.2,12.31,123700,12.31
2025-02-06,12.5,12.99,11.66,11.81,95500,11.81
2025-02-07,11.8,12.05,10.5,10.74,103300,10.74
2025-02-10,10.5,11.207,8.5,8.77,271500,8.77
2025-02-11,9.09,9.7,6.813,7.43,509600,7.43
2025-02-12,7.29,7.62,6.65,7.18,178700,7.18
2025-02-13,7.0,7.335,6.36,6.71,129900,6.71
2025-02-14,6.54,6.99,5.9,6.13,186500,6.13
2025-02-18,6.07,6.26,5.88,5.95,52500,5.95
2025-02-19,5.78,6.37,5.651,6.03,193200,6.03
2025-02-20,5.85,5.993,5.7,5.88,50900,5.88
2025-02-21,5.81,6.25,5.23,5.36,155600,5.36
2025-02-24,5.16,5.469,4.82,5.05,58700,5.05
2025-02-25,5.01,5.09,4.663,5.01,49900,5.01
2025-02-26,4.91,5.26,4.76,5.12,37100,5.12
2025-02-27,5.02,5.048,4.56,4.71,41000,4.71
2025-02-28,4.62,4.84,4.591,4.79,10200,4.79
2025-03-03,4.69,4.94,4.17,4.29,79700,4.29
2025-03-04,4.04,4.19,3.85,4.15,42000,4.15
2025-03-05,4.19,4.53,3.93,4.45,28400,4.45
2025-03-06,4.32,4.67,4.12,4.43,14000,4.43
2025-03-07,4.41,8.06,4.04,6.6,25916900,6.6
2025-03-10,7.3,9.45,6.72,8.44,11037500,8.44
2025-03-11,8.37,13.14,8.229,11.13,12798500,11.13
2025-03-12,12.99,14.69,10.14,10.7,7301200,10.7
2025-03-13,7.49,8.266,7.0,7.73,1107400,7.73
2025-03-14,7.5,8.179,5.55,6.12,722700,6.12
2025-03-17,6.2,7.5,6.0,6.09,507800,6.09
2025-03-18,6.05,6.18,5.404,5.67,279200,5.67
2025-03-19,5.67,6.09,5.52,5.91,150000,5.91
2025-03-20,5.95,7.16,5.915,6.83,218100,6.83
2025-03-21,6.83,6.99,5.9,6.33,263200,6.33
2025-03-24,6.73,6.73,5.881,6.47,270500,6.47
2025-03-25,6.38,6.48,5.5,6.05,70300,6.05
2025-03-26,6.09,6.18,5.815,5.96,52000,5.96
2025-03-27,5.94,6.0,5.82,5.98,24500,5.98
2025-03-28,6.26,6.26,5.52,5.64,102600,5.64
2025-03-31,5.51,5.53,4.77,5.01,159700,5.01
2025-04-01,4.86,5.37,4.8,4.92,51800,4.92
2025-04-02,4.81,5.27,3.97,4.05,267300,4.05
2025-04-03,4.05,4.361,3.715,4.18,201300,4.18
2025-04-04,3.82,4.34,3.82,4.25,95800,4.25
2025-04-07,4.04,4.08,3.8,4.05,71800,4.05
2025-04-08,4.05,4.19,3.46,3.61,72800,3.61
2025-04-09,3.38,3.549,3.1,3.3,220600,3.3
2025-04-10,3.12,3.25,2.9,2.94,142300,2.94
2025-04-11,3.01,3.11,2.901,2.99,144100,2.99
