date,open,high,low,close,volume,adj_close
2024-05-20,4.52,4.74,4.5,4.74,2500,4.74
2024-05-21,4.51,4.7,4.51,4.55,9200,4.55
2024-05-22,4.6,4.64,4.5,4.57,8000,4.57
2024-05-23,4.39,4.64,4.29,4.47,18300,4.47
2024-05-24,4.35,4.73,4.21,4.38,14300,4.38
2024-05-28,4.26,4.6,4.17,4.26,20900,4.26
2024-05-29,4.2,4.33,4.12,4.15,10400,4.15
2024-05-30,4.25,4.6,4.16,4.4,41200,4.4
2024-05-31,4.16,4.44,4.16,4.33,3700,4.33
2024-06-03,4.37,4.6,4.11,4.59,54000,4.59
2024-06-04,4.49,4.69,4.4,4.59,8800,4.59
2024-06-05,4.52,4.65,4.33,4.65,3400,4.65
2024-06-06,4.54,4.68,4.39,4.56,15100,4.56
2024-06-07,4.41,4.59,4.41,4.59,4100,4.59
2024-06-10,4.66,4.68,4.4,4.64,5600,4.64
2024-06-11,4.64,4.67,4.45,4.45,6500,4.45
2024-06-12,4.55,4.64,4.35,4.48,5300,4.48
2024-06-13,4.35,4.41,4.24,4.37,2300,4.37
2024-06-14,4.35,4.55,4.33,4.45,13800,4.45
2024-06-17,4.35,4.38,4.21,4.36,10200,4.36
2024-06-18,4.26,4.29,4.25,4.26,10000,4.26
2024-06-20,4.21,4.34,4.19,4.26,2900,4.26
2024-06-21,4.27,4.39,4.27,4.38,10100,4.38
2024-06-24,4.45,4.68,4.18,4.38,35800,4.38
2024-06-25,4.19,4.34,4.15,4.15,6400,4.15
2024-06-26,4.25,4.4,4.1,4.32,13500,4.32
2024-06-27,4.61,4.61,4.16,4.28,8300,4.28
2024-06-28,4.29,4.29,4.15,4.28,7000,4.28
2024-07-01,4.27,4.41,4.15,4.39,2000,4.39
2024-07-02,4.31,4.31,4.2,4.21,3400,4.21
2024-07-03,4.33,4.35,4.21,4.22,3200,4.22
2024-07-05,4.35,4.43,4.21,4.3,2300,4.3
2024-07-08,4.45,4.5,4.23,4.25,3300,4.25
2024-07-09,4.27,4.4,4.25,4.27,3100,4.27
2024-07-10,4.47,4.47,4.21,4.27,8300,4.27
2024-07-11,4.27,4.35,4.2,4.25,1800,4.25
2024-07-12,4.31,4.31,4.26,4.26,3800,4.26
2024-07-15,4.25,4.3,4.17,4.24,11500,4.24
2024-07-16,4.2,4.89,4.18,4.77,30500,4.77
2024-07-17,4.63,4.92,4.3,4.87,17800,4.87
2024-07-18,4.4,4.9,4.4,4.68,11200,4.68
