date,open,high,low,close,volume,adj_close
2025-04-01,4.96,5.58,4.6,4.95,2508000,4.95
2025-04-02,4.94,5.0,4.21,4.89,240700,4.89
2025-04-03,4.68,4.85,4.562,4.6,105700,4.6
2025-04-04,4.6,4.825,4.5,4.515,57200,4.515
2025-04-07,4.37,4.775,4.37,4.62,133400,4.62
2025-04-08,4.73,5.2,4.51,4.84,370400,4.84
2025-04-09,4.84,4.93,4.71,4.8,37000,4.8
2025-04-10,4.92,4.969,4.7,4.771,27800,4.771
2025-04-11,4.9,5.122,4.73,4.88,464300,4.88
2025-04-14,4.88,5.4,4.661,5.36,742300,5.36
2025-04-15,4.725,5.229,4.38,4.647,154100,4.647
2025-04-16,4.55,5.155,4.44,4.97,286000,4.97
2025-04-17,5.19,6.225,5.01,5.105,89200,5.105
2025-04-21,4.971,5.448,4.86,5.15,753200,5.15
2025-04-22,5.18,6.0,5.03,5.85,769500,5.85
2025-04-23,5.9,7.87,5.87,7.32,316000,7.32
2025-04-24,7.45,9.5,7.3,9.14,148800,9.14
2025-04-25,9.04,9.5,8.66,9.0,1339800,9.0
2025-04-28,8.93,9.5,8.75,9.49,1583200,9.49
2025-04-29,9.49,10.24,8.822,9.56,2165500,9.56
2025-04-30,9.56,10.107,9.17,9.42,334100,9.42
2025-05-01,9.36,9.78,8.55,8.86,1510400,8.86
2025-05-02,8.93,9.33,8.89,9.2,2173700,9.2
2025-05-05,9.17,9.39,1.46,3.09,10232000,3.09
2025-05-06,2.45,2.81,2.08,2.62,2439800,2.62
2025-05-07,2.68,3.03,2.65,2.78,1142100,2.78
2025-05-08,2.7,2.78,2.41,2.64,743800,2.64
2025-05-09,2.65,2.82,2.51,2.77,398600,2.77
2025-05-12,2.77,2.95,2.58,2.84,546500,2.84
2025-05-13,2.98,2.98,2.642,2.66,299000,2.66
2025-05-14,2.66,2.765,2.38,2.69,514400,2.69
2025-05-15,2.74,2.8,2.6,2.78,473500,2.78
2025-05-16,2.56,3.1,2.56,2.94,422500,2.94
2025-05-19,2.94,2.94,2.75,2.88,129200,2.88
2025-05-20,2.97,2.97,2.65,2.74,256800,2.74
2025-05-21,2.694,2.81,2.6,2.72,130300,2.72
2025-05-22,2.71,2.885,2.63,2.77,75500,2.77
2025-05-23,2.73,3.11,2.641,2.91,1360400,2.91
2025-05-27,2.91,2.95,2.75,2.86,331700,2.86
2025-05-28,2.89,3.05,2.76,3.0,1887500,3.0
2025-05-29,3.05,3.05,2.91,3.0,123200,3.0
2025-05-30,3.0,3.1,2.87,3.05,103800,3.05
2025-06-02,3.09,3.712,2.78,3.11,1159200,3.11
2025-06-03,3.03,3.13,2.8,2.89,112800,2.89
2025-06-04,2.83,3.05,2.83,2.97,136000,2.97
2025-06-05,2.96,3.1,2.85,2.95,234300,2.95
2025-06-06,2.9,3.02,2.9,2.96,34100,2.96
2025-06-09,3.03,3.275,2.92,3.2,73700,3.2
2025-06-10,3.2,3.35,3.138,3.22,42700,3.22
2025-06-11,3.31,3.42,3.083,3.34,488900,3.34
2025-06-12,3.34,3.47,3.11,3.2,633400,3.2
2025-06-13,3.28,3.43,1.36,2.41,3748700,2.41
2025-06-16,2.11,2.139,1.612,1.74,536500,1.74
2025-06-17,1.66,1.85,1.52,1.78,1002400,1.78
2025-06-18,1.66,1.91,1.66,1.89,118400,1.89
2025-06-20,1.95,2.09,1.67,1.67,205800,1.67
2025-06-23,1.67,1.81,1.6,1.63,172700,1.63
2025-06-24,1.63,1.78,1.51,1.73,175800,1.73
2025-06-25,1.74,1.8,1.61,1.67,50700,1.67
