date,open,high,low,close,volume,adj_close
2024-05-20,15.6089,15.7273,15.6089,15.7104,76200,15.7104
2024-05-21,15.7104,15.7781,15.685,15.7696,101400,15.7696
2024-05-22,15.7189,15.8458,15.7189,15.7612,56700,15.7612
2024-05-23,15.8669,15.8669,15.5771,15.6112,60800,15.6112
2024-05-24,15.6197,15.8157,15.6197,15.7135,63600,15.7135
2024-05-28,15.7561,15.7987,15.5942,15.6538,79800,15.6538
2024-05-29,15.5856,15.6709,15.526,15.5516,66500,15.5516
2024-05-30,15.543,15.6282,15.5175,15.5686,65500,15.5686
2024-05-31,15.6879,15.722,15.526,15.722,67500,15.722
2024-06-03,15.722,15.7987,15.6453,15.6794,58100,15.6794
2024-06-04,15.7135,15.8242,15.6453,15.7816,62400,15.7816
2024-06-05,15.8498,16.0202,15.8413,15.9862,69900,15.9862
2024-06-06,15.9947,16.0628,15.935,16.0202,41500,16.0202
2024-06-07,16.0288,16.1225,15.935,16.0543,80400,16.0543
2024-06-10,16.0543,16.1225,15.9009,15.9606,71500,15.9606
2024-06-11,15.8754,16.131,15.8754,16.0969,56400,16.0969
2024-06-12,16.1992,16.3355,16.1651,16.1736,66100,16.1736
2024-06-13,16.2588,16.2759,16.0884,16.1651,53200,16.1651
2024-06-14,16.131,16.1736,16.0714,16.1651,39700,16.1651
2024-06-17,16.2248,16.2929,16.114,16.2588,51900,16.2588
2024-06-18,16.2929,16.31,16.2333,16.2929,65400,16.2929
2024-06-20,16.3185,16.3952,16.1907,16.3867,132600,16.3867
2024-06-21,16.3472,16.433,16.3043,16.3987,63200,16.3987
2024-06-24,16.3987,16.5102,16.3729,16.4072,102400,16.4072
2024-06-25,16.4416,16.4673,16.3987,16.4416,75800,16.4416
2024-06-26,16.4244,16.5789,16.4072,16.5531,38500,16.5531
2024-06-27,16.5703,16.8277,16.5703,16.7076,94000,16.7076
2024-06-28,16.8191,16.905,16.6132,16.6733,99500,16.6733
2024-07-01,16.7162,16.8191,16.5789,16.6561,76200,16.6561
2024-07-02,16.6818,16.7677,16.5875,16.7677,70100,16.7677
2024-07-03,16.7762,16.8706,16.7248,16.8706,49400,16.8706
2024-07-05,16.8964,17.0079,16.8964,16.9736,72200,16.9736
2024-07-08,17.0594,17.068,16.9393,16.9736,49100,16.9736
2024-07-09,17.0251,17.0251,16.8449,16.9822,56600,16.9822
2024-07-10,16.9822,17.2139,16.9479,17.2139,78800,17.2139
2024-07-11,17.2825,17.2997,17.0251,17.2482,89900,17.2482
2024-07-12,17.1624,17.2482,16.965,17.0423,110300,17.0423
2024-07-15,16.9908,17.1881,16.8792,17.0337,126400,17.0337
2024-07-16,17.0079,17.068,16.802,16.9135,140300,16.9135
2024-07-17,16.7419,16.8792,16.6218,16.7248,92100,16.7248
2024-07-18,16.6733,16.6904,16.2099,16.2871,169900,16.2871
2024-07-19,16.3129,16.3558,16.0983,16.2099,63300,16.2099
2024-07-22,16.2785,16.5445,16.2785,16.5445,69700,16.5445
2024-07-23,16.5566,16.7208,16.4011,16.6171,51500,16.6171
2024-07-24,16.4789,16.4875,16.0727,16.1505,74900,16.1505
2024-07-25,16.1505,16.2715,16.09,16.1764,52600,16.1764
2024-07-26,16.2456,16.3147,16.1419,16.2369,36200,16.2369
2024-07-29,16.2888,16.3233,16.1332,16.2888,51700,16.2888
2024-07-30,16.3406,16.3665,16.0987,16.306,96600,16.306
2024-07-31,16.5134,16.5912,16.4011,16.5653,87500,16.5653
2024-08-01,16.6171,16.6171,16.2456,16.4097,84200,16.4097
2024-08-02,16.211,16.2196,15.8653,16.1764,116700,16.1764
2024-08-05,15.5024,15.6666,15.2173,15.3469,154500,15.3469
2024-08-06,15.5197,15.7962,15.3814,15.632,114500,15.632
2024-08-07,15.8653,15.9777,15.7098,15.7098,55800,15.7098
2024-08-08,15.8481,16.1764,15.8221,16.09,60200,16.09
2024-08-09,16.0814,16.306,16.0382,16.2888,55700,16.2888
2024-08-12,16.4011,16.5221,16.1332,16.2369,82300,16.2369
2024-08-13,16.2801,16.4962,16.2369,16.3752,54900,16.3752
2024-08-14,16.332,16.4357,16.2888,16.332,159600,16.332
2024-08-15,16.453,16.6085,16.453,16.5307,57800,16.5307
2024-08-16,16.4962,16.6085,16.4962,16.5826,69700,16.5826
2024-08-19,16.5307,16.7295,16.5307,16.6863,98300,16.6863
2024-08-20,16.7468,16.7813,16.6863,16.7295,86600,16.7295
2024-08-21,16.8159,16.8504,16.7208,16.7813,57300,16.7813
2024-08-22,16.7848,16.8718,16.5499,16.576,70600,16.576
