date,open,high,low,close,volume,adj_close
2024-09-23 00:00:00,9.3285,9.4301,9.3285,9.3709,39000,9.3709
2024-09-24 00:00:00,9.3709,9.4216,9.3539,9.3793,27100,9.3793
2024-09-25 00:00:00,9.4301,9.4301,9.2862,9.3201,18500,9.3201
2024-09-26 00:00:00,9.3709,9.4132,9.3116,9.337,10400,9.337
2024-09-27 00:00:00,9.3624,9.447,9.2947,9.3624,41300,9.3624
2024-09-30 00:00:00,9.4047,9.447,9.4047,9.447,54200,9.447
2024-10-01 00:00:00,9.4894,9.5486,9.4555,9.5402,30700,9.5402
2024-10-02 00:00:00,9.4555,9.5402,9.4555,9.4724,32500,9.4724
2024-10-03 00:00:00,9.4978,9.5317,9.0915,9.4386,30900,9.4386
2024-10-04 00:00:00,9.4216,9.447,9.3709,9.4047,46700,9.4047
2024-10-07 00:00:00,9.3878,9.3962,9.2862,9.3116,90400,9.3116
2024-10-08 00:00:00,9.2862,9.3709,9.2862,9.3455,21200,9.3455
2024-10-09 00:00:00,9.3201,9.3201,9.2693,9.3031,18500,9.3031
2024-10-10 00:00:00,9.3031,9.3539,9.21,9.21,13800,9.21
2024-10-11 00:00:00,9.21,9.3285,9.21,9.3201,14300,9.3201
2024-10-14 00:00:00,9.3201,9.4386,9.3201,9.4216,14600,9.4216
2024-10-15 00:00:00,9.4242,9.5689,9.4242,9.4242,18000,9.4242
2024-10-16 00:00:00,9.4582,9.6455,9.4582,9.6455,11600,9.6455
2024-10-17 00:00:00,9.6285,9.6711,9.5093,9.5349,21600,9.5349
2024-10-18 00:00:00,9.5604,9.5945,9.5349,9.5519,21700,9.5519
2024-10-21 00:00:00,9.5689,9.6455,9.5434,9.5519,6600,9.5519
2024-10-22 00:00:00,9.4668,9.5093,9.4412,9.5008,10000,9.5008
2024-10-23 00:00:00,9.5008,9.62,9.4668,9.5178,15300,9.5178
2024-10-24 00:00:00,9.5178,9.62,9.4838,9.4923,18700,9.4923
2024-10-25 00:00:00,9.5349,9.5349,9.4497,9.4582,23900,9.4582
2024-10-28 00:00:00,9.4582,9.5434,9.4582,9.5349,17600,9.5349
2024-10-29 00:00:00,9.4582,9.4582,9.4072,9.4072,29500,9.4072
2024-10-30 00:00:00,9.4157,9.4157,9.322,9.3306,18400,9.3306
2024-10-31 00:00:00,9.2624,9.4412,9.2454,9.3987,24800,9.3987
2024-11-01 00:00:00,9.4668,9.4668,9.2454,9.2624,20900,9.2624
2024-11-04 00:00:00,9.305,9.305,9.1177,9.1433,23200,9.1433
2024-11-05 00:00:00,9.1177,9.2199,9.0922,9.1943,18200,9.1943
2024-11-06 00:00:00,9.1007,9.1688,9.0411,9.0411,47800,9.0411
2024-11-07 00:00:00,9.0411,9.1262,9.0411,9.0752,23200,9.0752
2024-11-08 00:00:00,9.0411,9.2284,9.0411,9.2199,21900,9.2199
2024-11-11 00:00:00,9.2114,9.3305,9.2114,9.2539,21700,9.2539
2024-11-12 00:00:00,9.2137,9.2222,9.2137,9.2222,22800,9.2222
2024-11-13 00:00:00,9.1366,9.2479,9.1281,9.1537,34000,9.1537
