date,open,high,low,close,volume,adj_close
2024-05-20,193.7373,193.8655,190.8279,193.6683,29800,193.6683
2024-05-21,196.3509,197.5935,196.2522,196.8539,19100,196.8539
2024-05-22,196.5481,197.9387,195.9465,196.5481,9100,196.5481
2024-05-23,197.5738,197.9289,192.3763,193.4612,30600,193.4612
2024-05-24,193.7866,196.4199,193.4809,195.8479,19300,195.8479
2024-05-28,192.3171,192.3171,189.0625,190.5419,43800,190.5419
2024-05-29,189.8515,190.2855,188.9245,189.7825,21800,189.7825
2024-05-30,188.7666,190.1474,187.2281,189.9008,48600,189.9008
2024-05-31,189.8417,190.2362,188.5497,190.1967,29600,190.1967
2024-06-03,190.7095,192.5834,190.6405,192.179,16300,192.179
2024-06-04,190.818,191.2322,190.3545,190.8476,12100,190.8476
2024-06-05,187.6127,188.6286,185.7192,188.0664,47900,188.0664
2024-06-06,181.8925,182.5336,180.7288,182.2575,42100,182.2575
2024-06-07,182.8393,182.8393,180.6795,181.715,27100,181.715
2024-06-10,181.5671,182.1588,180.3836,181.498,38800,181.498
2024-06-11,181.4981,182.4449,181.4192,182.4449,17800,182.4449
2024-06-12,182.5731,183.9242,182.5731,183.4903,22800,183.4903
2024-06-13,179.2691,179.4762,177.0304,177.4939,41600,177.4939
2024-06-14,177.3854,179.2593,176.9515,178.8056,36800,178.8056
2024-06-17,180.64,181.5079,180.4921,181.2811,47900,181.2811
2024-06-18,181.6272,181.6272,178.1956,179.3131,51200,179.3131
2024-06-20,176.5243,177.4144,175.9409,177.4144,56200,177.4144
2024-06-21,176.5342,179.9164,176.5342,179.4615,154900,179.4615
2024-06-24,177.6121,179.1944,176.4155,177.7506,38500,177.7506
2024-06-25,177.7506,178.0176,176.2474,176.91,21300,176.91
2024-06-26,176.0299,176.8111,175.7728,176.3958,16500,176.3958
2024-06-27,174.2102,174.8036,173.3598,174.2992,66600,174.2992
2024-06-28,175.1398,176.6331,174.5465,174.675,40800,174.675
2024-07-01,175.1596,177.3847,174.8827,176.999,38600,176.999
2024-07-02,180.3119,180.7569,179.3922,180.7569,33800,180.7569
2024-07-03,180.4504,182.2403,179.412,181.9634,18000,181.9634
2024-07-05,184.7819,185.4445,183.3282,185.3258,35700,185.3258
2024-07-08,185.9192,187.8179,185.9192,186.473,24200,186.473
2024-07-09,186.9081,187.6696,184.7028,185.4148,22600,185.4148
2024-07-10,185.3159,185.5236,184.6237,185.3159,11800,185.3159
2024-07-11,185.2269,186.4532,185.0291,186.2059,24900,186.2059
2024-07-12,187.4619,187.7388,186.5521,186.6806,12100,186.6806
2024-07-15,186.6807,186.6807,185.0291,186.117,13900,186.117
2024-07-16,182.1711,185.1676,181.6272,184.9401,31100,184.9401
2024-07-17,183.9314,185.1577,183.9314,184.2479,18600,184.2479
2024-07-18,182.9721,183.3974,180.1339,180.1339,14900,180.1339
2024-07-19,180.7174,183.3677,178.9966,180.3614,9600,180.3614
2024-07-22,180.1142,183.1304,180.1142,183.1304,14600,183.1304
2024-07-23,184.0303,184.8313,183.5161,184.5149,9300,184.5149
2024-07-24,184.2281,184.4951,181.8745,181.8745,10300,181.8745
2024-07-25,183.3183,185.484,183.3183,184.5841,11800,184.5841
2024-07-26,184.7918,186.3246,184.6731,185.0094,14700,185.0094
2024-07-29,180.0944,180.2724,178.4231,179.7779,34700,179.7779
2024-07-30,177.4045,179.6395,177.4045,178.5022,37800,178.5022
2024-07-31,177.8791,178.6208,177.2363,177.9879,33100,177.9879
2024-08-01,181.4294,181.4294,179.4713,181.0437,17200,181.0437
2024-08-02,180.7866,180.7866,177.0287,179.1944,15200,179.1944
2024-08-05,175.9112,177.9385,175.8815,176.1288,17100,176.1288
2024-08-06,177.2363,179.6295,177.2363,178.2747,16800,178.2747
2024-08-07,181.3009,185.2764,181.024,184.327,46300,184.327
2024-08-08,188.9947,189.9837,188.8365,189.0541,30900,189.0541
2024-08-09,188.886,190.0628,188.2926,189.5584,17400,189.5584
2024-08-12,187.1158,187.1158,184.8313,185.8401,20300,185.8401
2024-08-13,187.8377,189.7068,187.1257,187.897,28700,187.897
2024-08-14,192.6439,196.7084,192.6439,194.2658,49000,194.2658
2024-08-15,196.2436,197.7863,196.2436,197.1633,43300,197.1633
2024-08-16,197.7863,199.2994,197.5193,197.9545,17100,197.9545
2024-08-19,196.9952,197.816,195.3733,197.4996,16800,197.4996
2024-08-20,199.2994,199.3489,198.3698,199.2104,13500,199.2104
2024-08-21,194.869,196.5106,194.2756,196.2436,18700,196.2436
2024-08-22,195.8283,196.8963,195.4327,195.8382,14700,195.8382
2024-08-23,197.2919,197.2919,196.3326,196.7974,6700,196.7974
2024-08-26,199.0621,199.9323,198.1918,198.1918,18600,198.1918
2024-08-27,198.1819,198.5083,197.3414,198.4391,9600,198.4391
2024-08-28,198.9137,199.8334,198.6665,198.7753,10800,198.7753
2024-08-29,201.1092,202.0684,200.5257,201.5344,25700,201.5344
2024-08-30,203.7199,203.7199,200.9213,202.0981,18400,202.0981
2024-09-03,200.8323,201.6432,198.9928,199.3785,18600,199.3785
2024-09-04,196.5798,199.0225,196.0656,198.5182,14400,198.5182
2024-09-05,199.0027,200.7136,198.172,199.7543,20700,199.7543
2024-09-06,199.0027,199.0027,195.6206,196.926,11000,196.926
2024-09-09,196.2139,196.3524,194.6712,195.3338,15500,195.3338
2024-09-10,196.4117,196.4117,194.8591,195.5118,12500,195.5118
2024-09-11,194.424,194.424,190.3199,193.0593,29100,193.0593
2024-09-12,194.4438,196.0063,193.1977,195.9964,17700,195.9964
2024-09-13,196.1151,196.7974,195.7492,196.1546,14100,196.1546
2024-09-16,193.7218,194.7108,192.2978,194.0877,27800,194.0877
2024-09-17,187.6201,190.2606,187.4916,190.0826,62800,190.0826
2024-09-18,189.8452,191.2594,189.3508,189.9441,31600,189.9441
2024-09-19,188.8761,190.0331,186.4433,189.7661,38300,189.7661
2024-09-20,187.8377,191.0616,187.8377,190.1122,35300,190.1122
2024-09-23,189.1629,189.9144,188.6684,189.7167,23300,189.7167
2024-09-24,193.5735,193.6922,191.7143,192.0505,21000,192.0505
2024-09-25,192.0407,193.1582,191.5858,191.9517,35400,191.9517
2024-09-26,192.9406,194.5031,192.9406,193.4054,19500,193.4054
2024-09-27,193.7713,194.1471,192.2385,192.8714,65600,192.8714
2024-09-30,196.9754,197.8852,195.8975,197.8852,27800,197.8852
2024-10-01,197.46,200.4466,195.759,200.0609,28800,200.0609
2024-10-02,201.7421,201.7421,199.9027,200.0807,30400,200.0807
2024-10-03,199.2895,199.4873,198.3303,198.8742,15500,198.8742
2024-10-04,199.7642,200.2488,199.0225,199.7049,13800,199.7049
2024-10-07,203.1167,207.6658,203.1167,206.756,57500,206.756
2024-10-08,207.6361,208.269,205.8956,207.4977,22000,207.4977
2024-10-09,207.023,207.023,205.1143,205.767,13300,205.767
2024-10-10,201.6827,203.2156,200.7927,203.1464,18600,203.1464
2024-10-11,203.176,204.0067,201.9893,203.354,14500,203.354
2024-10-14,207.6855,209.1591,207.2801,208.1503,25200,208.1503
2024-10-15,209.4688,209.6571,205.2855,207.3771,23100,207.3771
2024-10-16,208.309,208.309,207.625,207.9719,6800,207.9719
2024-10-17,208.2594,210.5195,208.2594,210.4006,14100,210.4006
2024-10-18,209.786,210.8764,209.7463,210.4204,19200,210.4204
2024-10-21,210.7872,211.9173,210.4502,211.6793,21300,211.6793
2024-10-22,211.491,211.491,208.6956,208.6956,18600,208.6956
2024-10-23,207.7241,207.853,205.9001,206.0686,11000,206.0686
2024-10-24,205.9695,206.8617,205.9299,206.6238,14600,206.6238
2024-10-25,207.5952,208.4973,206.713,208.4973,19000,208.4973
2024-10-28,223.7631,227.6985,222.7619,224.9923,78600,224.9923
2024-10-29,226.8163,226.8163,224.1993,225.5276,44000,225.5276
2024-10-30,226.4098,228.6303,225.7159,226.2513,34800,226.2513
2024-10-31,229.2449,229.2449,224.9229,226.1125,31700,226.1125
2024-11-01,226.39,227.302,226.172,226.7172,12400,226.7172
2024-11-04,228.4321,228.4321,226.3107,226.5585,16100,226.5585
2024-11-05,232.9523,235.6288,232.6748,234.1815,41300,234.1815
2024-11-06,230.8508,230.8508,228.8583,230.8012,30600,230.8012
2024-11-07,229.3738,229.8001,227.6985,228.1248,20900,228.1248
2024-11-08,227.7877,229.463,226.9352,227.9662,15800,227.9662
2024-11-11,230.4345,233.2299,230.4345,233.2299,28800,233.2299
2024-11-12,236.2137,239.1974,236.2137,239.1974,32400,239.1974
2024-11-13,237.9187,238.6423,235.3513,236.293,19200,236.293
2024-11-14,235.4207,238.3846,234.6673,235.153,29400,235.153
2024-11-15,235.6288,235.946,233.3092,234.816,14600,234.816
2024-11-18,234.0527,234.5681,232.4369,233.0911,27700,233.0911
2024-11-19,239.594,250.2999,239.5444,247.4351,123400,247.4351
2024-11-20,248.9715,249.2987,245.0163,246.5032,42300,246.5032
2024-11-21,246.9394,248.2083,244.5405,247.1377,17100,247.1377
2024-11-22,247.9009,249.0112,246.6618,247.9307,18300,247.9307
2024-11-25,250.9343,252.7384,249.0409,250.9045,37200,250.9045
2024-11-26,252.7979,252.7979,250.7955,250.7955,17400,250.7955
2024-11-27,246.3644,246.4437,241.9136,242.4191,36600,242.4191
2024-11-29,243.5195,244.8478,241.0611,242.0524,24900,242.0524
2024-12-02,241.4576,243.0337,241.4576,242.7463,21800,242.7463
2024-12-03,245.3434,247.8117,244.2728,247.8117,36400,247.8117
2024-12-04,245.8093,246.4735,244.4017,245.3633,31200,245.3633
2024-12-05,244.4017,248.3371,243.9259,248.3173,43600,248.3173
2024-12-06,248.5948,250.6865,248.5948,249.4176,27900,249.4176
2024-12-09,247.0782,247.0782,241.3882,241.3882,21900,241.3882
2024-12-10,244.3521,247.7126,243.5988,245.6606,32500,245.6606
2024-12-11,249.3086,250.6468,247.4747,249.1996,39000,249.1996
2024-12-12,249.3482,252.7483,249.3482,252.5005,26600,252.5005
2024-12-13,251.7868,251.7868,249.0707,249.2392,22000,249.2392
2024-12-16,254.8598,264.0292,254.8598,261.204,81000,261.204
2024-12-17,258.9736,259.1917,255.742,256.6937,48200,256.6937
2024-12-18,257.5561,261.3031,255.1869,256.1484,42600,256.1484
2024-12-19,255.2365,258.7258,255.2365,257.0506,45300,257.0506
2024-12-20,255.752,261.6204,255.3951,255.5339,270900,255.5339
2024-12-23,259.0001,260.4006,258.0367,260.4006,23100,260.4006
2024-12-24,258.8909,261.2945,258.5929,260.5099,22400,260.5099
2024-12-26,254.5704,256.7058,253.2792,256.7058,28400,256.7058
2024-12-27,256.7059,257.8481,254.3321,255.5835,33700,255.5835
2024-12-30,255.3749,259.318,255.3749,256.8449,46700,256.8449
2024-12-31,257.0734,258.7022,256.3185,256.3185,21600,256.3185
2025-01-02,260.788,260.9568,256.9542,260.5993,42400,260.5993
2025-01-03,259.8444,261.9004,259.2286,261.9004,17700,261.9004
2025-01-06,262.2678,264.0953,259.2385,259.6954,29300,259.6954
2025-01-07,267.6113,268.1675,263.7378,263.9861,32500,263.9861
2025-01-08,269.3395,272.349,268.6244,272.2,47800,272.2
2025-01-10,283.5325,284.6052,277.1958,278.8148,54100,278.8148
2025-01-13,285.3104,288.6873,284.0987,286.0752,91900,286.0752
2025-01-14,288.439,291.508,288.439,290.0381,65300,290.0381
2025-01-15,292.0146,293.0773,290.9022,292.5509,58000,292.5509
2025-01-16,292.3026,293.8123,291.6173,291.9153,27600,291.9153
2025-01-17,294.2592,296.8018,294.2592,295.7987,35600,295.7987
2025-01-21,299.5829,306.8631,299.5829,305.6117,69900,305.6117
2025-01-22,303.9232,304.2013,299.8312,301.9864,43800,301.9864
2025-01-23,298.2718,299.4438,297.2388,298.2817,26700,298.2817
2025-01-24,297.7355,299.5531,297.7355,299.0267,25300,299.0267
2025-01-27,292.4417,294.7857,291.6173,292.4218,31900,292.4218
2025-01-28,293.3852,294.885,293.3852,294.0805,21300,294.0805
2025-01-29,300.6655,302.93,299.4438,301.5395,35600,301.5395
2025-01-30,297.4673,302.2447,297.368,302.2447,23300,302.2447
2025-01-31,302.7313,305.9096,300.9435,303.4762,37100,303.4762
2025-02-03,299.9305,301.9368,297.7355,301.1521,30400,301.1521
2025-02-04,302.7313,305.4428,302.2446,305.0654,23200,305.0654
2025-02-05,308.194,311.7597,307.9258,309.7534,37200,309.7534
2025-02-06,305.85,306.8035,303.5457,303.6153,21200,303.6153
2025-02-07,303.0989,305.8898,303.0989,303.4167,14600,303.4167
2025-02-10,303.5259,303.5259,301.1621,301.5395,28900,301.5395
2025-02-11,300.0397,302.4036,299.9404,300.1291,27300,300.1291
2025-02-12,295.3021,298.401,293.9017,295.6001,31800,295.6001
2025-02-13,295.6994,297.6858,294.3288,294.3288,28700,294.3288
2025-02-14,295.0836,295.7987,293.4051,294.9644,24700,294.9644
2025-02-18,296.1464,299.8709,294.9645,295.5207,33600,295.5207
2025-02-19,299.9404,299.9504,297.3184,298.8578,29200,298.8578
2025-02-20,298.8578,299.0167,294.9147,298.2619,27500,298.2619
2025-02-21,299.0663,299.0663,292.9978,294.0109,25900,294.0109
2025-02-24,295.2922,296.2656,292.9879,295.5405,23700,295.5405
2025-02-25,296.7125,299.6723,295.5008,297.1098,22400,297.1098
2025-02-26,298.3811,305.1449,296.9707,301.0727,37200,301.0727
2025-02-27,302.5625,305.2939,300.8343,303.665,32800,303.665
2025-02-28,303.3868,308.8793,301.0031,308.8793,42100,308.8793
2025-03-03,331.7232,335.8053,326.0917,332.3291,101000,332.3291
2025-03-04,332.3291,342.0328,331.1075,337.6925,136900,337.6925
2025-03-05,344.6449,349.9984,343.2842,349.6507,89000,349.6507
2025-03-06,356.643,356.643,349.8097,351.3591,71400,351.3591
2025-03-07,348.4887,354.9744,348.2801,354.6069,55900,354.6069
2025-03-10,346.8499,346.8896,340.6721,345.4892,94500,345.4892
2025-03-11,341.2978,350.7631,340.7019,350.3758,42500,350.3758
2025-03-12,347.6147,352.2927,347.2472,351.8259,38100,351.8259
