date,open,high,low,close,volume,adj_close
2026-06-18,13.25,13.25,12.6,12.6,658200,12.6
2026-06-22,12.73,12.79,12.51,12.58,134300,12.58
2026-06-23,12.88,12.88,12.575,12.69,168912,12.69
2026-06-24,12.74,12.875,12.6801,12.8,126235,12.8
2026-06-25,12.85,13.0,12.75,13.0,106089,13.0
2026-06-26,13.0,13.11,12.75,12.75,79460,12.75
2026-06-29,13.0,13.1,12.75,13.0,45504,13.0
2026-06-30,13.12,13.4,12.91,13.24,98166,13.24
2026-07-01,13.1,13.17,12.66,12.66,104561,12.66
2026-07-02,12.66,12.95,12.66,12.92,49898,12.92
2026-07-06,12.91,12.87,12.6,12.65,84564,12.65
2026-07-07,12.5,12.73,12.5,12.7,77563,12.7
2026-07-08,12.6,12.74,12.5,12.62,187856,12.62
2026-07-09,12.53,12.99,12.5,12.8,173968,12.8
2026-07-10,12.87,12.92,12.55,12.65,65311,12.65
2026-07-13,12.75,12.9589,12.7,12.7,94185,12.7
