date,open,high,low,close,volume,adj_close
2024-05-20,36.9618,36.9618,36.7682,36.9342,1579400,36.9342
2024-05-21,36.9526,37.3675,36.9342,37.2753,1879100,37.2753
2024-05-22,37.1186,37.2845,36.759,36.7867,1892500,36.7867
2024-05-23,36.5377,36.6207,36.0675,36.086,2675900,36.086
2024-05-24,36.1136,36.2612,35.8647,35.9292,1892000,35.9292
2024-05-28,35.9477,36.1597,35.708,35.7633,2270600,35.7633
2024-05-29,35.5051,35.6711,35.3576,35.5236,1970600,35.5236
2024-05-30,35.6987,36.0122,35.5697,35.9477,2366100,35.9477
2024-05-31,36.0307,37.1647,35.8924,37.1186,4458000,37.1186
2024-06-03,36.9803,37.1923,36.6484,37.0356,2421900,37.0356
2024-06-04,36.925,37.137,36.6299,37.0725,2144200,37.0725
2024-06-05,36.9434,37.0172,36.3349,36.3626,1945300,36.3626
2024-06-06,36.2427,36.5746,35.9845,36.0491,2399000,36.0491
2024-06-07,35.7909,36.1321,35.6895,35.7909,1768900,35.7909
2024-06-10,35.6803,35.9845,35.5051,35.8924,2576300,35.8924
2024-06-11,35.6158,35.9569,35.4775,35.7909,1995400,35.7909
2024-06-12,36.1136,36.1136,35.5143,35.6342,2265700,35.6342
2024-06-13,35.6803,35.8463,35.3207,35.6619,1511900,35.6619
2024-06-14,35.4959,35.8094,35.376,35.7448,1783900,35.7448
2024-06-17,35.4406,35.6526,35.2285,35.2562,1864600,35.2562
2024-06-18,35.164,35.459,35.1179,35.1917,1980300,35.1917
2024-06-20,35.1179,35.4775,35.0349,35.247,1765200,35.247
2024-06-21,35.2378,35.625,35.1271,35.2839,5179400,35.2839
2024-06-24,35.2839,35.92,35.1824,35.4959,3158900,35.4959
2024-06-25,35.4959,35.5236,35.2101,35.3853,2439500,35.3853
2024-06-26,35.2101,35.6065,35.0626,35.5328,2066900,35.5328
2024-06-27,35.5051,35.6619,35.3392,35.5236,2408200,35.5236
2024-06-28,35.6158,35.6526,35.1548,35.2839,4419300,35.2839
2024-07-01,35.5236,35.7725,35.1732,35.3207,2173300,35.3207
2024-07-02,35.4406,35.5143,35.0995,35.2654,4093100,35.2654
2024-07-03,35.3576,35.5697,35.2562,35.4406,1249400,35.4406
2024-07-05,35.4406,35.6619,35.2746,35.5697,1827700,35.5697
2024-07-08,35.5789,35.6895,35.4221,35.5789,2012300,35.5789
2024-07-09,35.542,35.7909,35.3484,35.6342,2034100,35.6342
2024-07-10,35.7909,35.92,35.5512,35.8831,2484500,35.8831
2024-07-11,36.0307,36.5101,35.92,36.3902,2562000,36.3902
2024-07-12,36.5285,36.7129,36.2704,36.4363,2954200,36.4363
2024-07-15,36.1689,36.3072,35.8002,35.8278,2200400,35.8278
2024-07-16,35.8924,36.1044,35.7633,35.9292,2205100,35.9292
2024-07-17,36.0399,36.7682,36.003,36.4179,2859200,36.4179
2024-07-18,36.1689,36.7959,36.1505,36.381,2302300,36.381
2024-07-19,36.5654,36.6115,36.1782,36.5009,2004200,36.5009
2024-07-22,36.5562,36.7314,36.4179,36.6945,1393500,36.6945
2024-07-23,36.7221,36.842,36.5193,36.7682,1786400,36.7682
2024-07-24,36.9526,37.3583,36.7682,37.2661,2417200,37.2661
2024-07-25,37.4505,37.8469,37.0817,37.2938,3091800,37.2938
2024-07-26,37.4228,37.8469,37.3675,37.7455,2054200,37.7455
2024-07-29,37.8101,38.3448,37.6718,38.2803,3114600,38.2803
2024-07-30,38.1604,38.6306,38.0682,38.5384,3958700,38.5384
