date,open,high,low,close,volume,adj_close
2025-08-07,70.0,73.8,60.03,60.35,30556600,60.35
2025-08-08,54.845,57.07,49.11,50.17,8576200,50.17
2025-08-11,49.51,54.95,49.5,53.62,3410100,53.62
2025-08-12,53.776,55.0,51.34,51.465,1799000,51.465
2025-08-13,51.12,53.6,50.6,50.75,3419300,50.75
2025-08-14,50.21,51.25,46.312,49.33,1878500,49.33
2025-08-15,49.28,49.28,46.39,47.34,1010600,47.34
2025-08-18,47.0,48.73,46.33,48.62,610200,48.62
2025-08-19,48.551,49.19,45.01,45.48,981700,45.48
2025-08-20,45.43,47.0,45.0,45.27,1433500,45.27
2025-08-21,45.37,46.6,44.0,46.27,727200,46.27
2025-08-22,46.05,46.91,45.0,46.11,1016600,46.11
2025-08-25,46.09,46.43,44.6,44.725,485600,44.725
2025-08-26,44.69,45.255,44.45,45.05,294400,45.05
2025-08-27,46.4,47.8,46.13,47.03,652100,47.03
2025-08-28,47.671,48.95,46.944,47.15,570700,47.15
2025-08-29,46.54,46.89,45.155,45.37,376400,45.37
2025-09-02,45.0,46.09,43.606,44.23,508300,44.23
2025-09-03,44.23,45.4,42.507,44.38,902300,44.38
2025-09-04,44.4,44.99,42.275,42.82,771000,42.82
2025-09-05,42.96,43.277,41.57,42.63,390400,42.63
2025-09-08,42.55,43.24,41.75,42.78,1035600,42.78
2025-09-09,42.7,44.75,42.26,44.54,519600,44.54
2025-09-10,43.98,44.241,42.53,42.77,722600,42.77
2025-09-11,42.61,43.33,42.12,42.97,445700,42.97
2025-09-12,43.01,43.76,42.35,43.75,369500,43.75
2025-09-15,44.26,45.0,43.5,43.86,328200,43.86
2025-09-16,44.0,45.45,43.58,43.85,610900,43.85
2025-09-17,43.73,44.59,43.16,43.36,503400,43.36
2025-09-18,43.93,45.6,43.8,45.22,597100,45.22
2025-09-19,45.64,46.21,44.5,45.2,2087500,45.2
2025-09-22,46.31,49.59,45.66,49.52,2174100,49.52
2025-09-23,43.56,44.89,41.368,41.94,3555500,41.94
2025-09-24,42.26,42.631,40.27,40.56,1541100,40.56
2025-09-25,39.9,40.0,36.69,37.66,2357300,37.66
2025-09-26,37.6,37.658,35.01,35.98,1652800,35.98
2025-09-29,36.0,36.99,34.53,36.96,1664900,36.96
2025-09-30,31.755,32.0,27.55,29.32,7673000,29.32
2025-10-01,29.535,29.535,26.335,26.67,5106500,26.67
2025-10-02,26.975,28.24,26.05,26.8,3377200,26.8
2025-10-03,27.12,28.0,26.545,27.37,2784100,27.37
2025-10-06,30.875,30.96,28.61,29.09,4947800,29.09
2025-10-07,29.25,29.786,28.13,28.44,2618900,28.44
2025-10-08,28.61,31.68,28.3,31.0,4007800,31.0
2025-10-09,32.2,33.32,29.775,30.06,4144900,30.06
2025-10-10,30.96,31.96,28.35,28.36,2860200,28.36
2025-10-13,28.63,30.33,28.6,29.88,1529300,29.88
2025-10-14,29.27,31.215,27.81,30.09,1919600,30.09
2025-10-15,30.43,31.2,28.94,29.6,1396500,29.6
2025-10-16,29.8,29.9,27.81,28.05,1649000,28.05
2025-10-17,27.61,27.99,25.85,26.36,1883700,26.36
2025-10-20,26.38,27.46,26.21,27.12,1167400,27.12
2025-10-21,26.85,28.75,26.36,28.18,1349300,28.18
2025-10-22,27.8,28.11,25.5,26.24,1865900,26.24
2025-10-23,25.81,26.74,25.81,25.96,1026100,25.96
2025-10-24,26.48,27.687,26.41,26.92,1342300,26.92
2025-10-27,27.2,27.72,26.745,27.49,987000,27.49
2025-10-28,27.44,27.59,25.72,25.77,1318100,25.77
2025-10-29,25.67,25.77,24.65,25.05,1957800,25.05
2025-10-30,24.51,25.07,24.06,24.45,972100,24.45
2025-10-31,24.45,24.76,23.81,24.26,1193800,24.26
2025-11-03,24.06,24.067,23.201,23.78,981700,23.78
2025-11-04,22.66,24.3,22.48,22.85,1269700,22.85
2025-11-05,22.61,22.87,22.17,22.5,1080700,22.5
2025-11-06,22.22,22.275,19.19,19.33,2607500,19.33
2025-11-07,19.02,20.25,18.39,19.74,2365600,19.74
2025-11-10,20.0,20.289,18.82,19.24,1388300,19.24
2025-11-11,19.0,19.57,18.43,19.13,1216000,19.13
2025-11-12,19.26,19.48,18.21,18.31,2410300,18.31
2025-11-13,22.67,24.22,20.41,21.42,8164800,21.42
2025-11-14,20.97,24.35,20.82,22.95,4459700,22.95
2025-11-17,22.975,22.975,19.12,19.48,3628800,19.48
2025-11-18,19.0,20.09,18.85,19.76,2150400,19.76
2025-11-19,19.73,20.21,19.11,19.42,1451900,19.42
2025-11-20,19.61,20.0,16.9,16.92,2753800,16.92
2025-11-21,17.03,17.4,16.0,16.78,2111600,16.78
2025-11-24,16.75,17.05,16.363,16.86,1569500,16.86
2025-11-25,16.97,17.84,16.82,17.34,1523300,17.34
