date,open,high,low,close,volume,adj_close
2024-05-20,33.3382,33.3382,32.4841,32.4841,132400,32.4841
2024-05-21,32.4656,32.7534,32.4656,32.6327,144700,32.6327
2024-05-22,32.4563,32.577,31.8157,31.8528,281000,31.8528
2024-05-23,31.8992,31.8992,30.7295,30.8223,286500,30.8223
2024-05-24,31.1287,31.1287,30.5438,30.943,415900,30.943
2024-05-28,31.138,31.2401,30.4695,30.5809,190500,30.5809
2024-05-29,30.0518,30.0796,29.7733,29.9032,194300,29.9032
2024-05-30,30.386,30.8966,30.0146,30.1817,282900,30.1817
2024-05-31,30.4695,30.7388,29.7268,30.6831,229600,30.6831
2024-06-03,30.9801,31.0544,29.9496,30.1817,167000,30.1817
2024-06-04,29.5969,30.191,29.4019,29.4576,680900,29.4576
2024-06-05,29.8197,29.8661,29.4019,29.7918,208300,29.7918
2024-06-06,29.6247,30.0053,29.504,29.9868,188300,29.9868
2024-06-07,29.6114,29.9211,29.4049,29.6583,233100,29.6583
2024-06-10,29.48,29.48,29.0295,29.1515,192400,29.1515
2024-06-11,29.0107,29.2172,28.6728,29.2078,156300,29.2078
2024-06-12,29.9868,30.5687,29.8085,29.9962,280100,29.9962
2024-06-13,29.9211,29.9211,29.311,29.4518,154200,29.4518
2024-06-14,29.1233,29.311,28.9074,29.1327,141100,29.1327
2024-06-17,29.1608,29.555,28.9544,29.555,150700,29.555
2024-06-18,29.4518,29.8929,29.1233,29.7897,231800,29.7897
2024-06-20,29.602,29.9492,29.4612,29.7709,296800,29.7709
2024-06-21,29.7897,29.9305,29.4236,29.6207,592300,29.6207
2024-06-24,29.7709,30.3904,29.6114,29.968,211800,29.968
2024-06-25,29.7521,29.9586,29.4612,29.5175,229600,29.5175
2024-06-26,29.3204,30.0806,29.2453,29.9586,182300,29.9586
2024-06-27,30.1463,30.3434,29.8554,30.3434,160700,30.3434
2024-06-28,30.7001,31.4321,30.5311,31.2444,780800,31.2444
2024-07-01,31.0755,31.4979,30.7564,30.7845,244700,30.7845
2024-07-02,30.8409,31.4415,30.8409,31.4228,211400,31.4228
2024-07-03,31.4322,31.4322,30.7752,30.7845,88500,30.7845
2024-07-05,30.7188,30.8409,30.3716,30.3904,152500,30.3904
2024-07-08,30.7752,30.991,30.4561,30.5218,199800,30.5218
2024-07-09,30.4185,30.9629,30.2965,30.9347,165800,30.9347
2024-07-10,30.8878,31.7513,30.8784,31.648,154100,31.648
2024-07-11,32.5115,33.3374,31.77,33.206,319900,33.206
2024-07-12,33.5533,33.7973,33.1591,33.2154,241000,33.2154
2024-07-15,33.5345,34.7546,33.5345,34.4637,266000,34.4637
2024-07-16,34.7452,36.2469,34.6326,36.1343,319000,36.1343
2024-07-17,35.5149,37.3826,35.5055,37.2043,308100,37.2043
2024-07-18,36.7537,37.7298,35.8809,36.1437,296500,36.1437
2024-07-19,36.1531,36.8664,35.6744,36.3408,364900,36.3408
2024-07-22,36.1625,37.1761,35.5242,36.9415,246000,36.9415
2024-07-23,36.566,38.3024,36.5097,38.049,359800,38.049
2024-07-24,37.9176,38.4244,36.5942,37.1855,338200,37.1855
2024-07-25,36.8382,38.4525,35.6556,37.9457,435600,37.9457
2024-07-26,38.6027,39.8416,36.9227,38.8092,327300,38.8092
2024-07-29,39.1001,39.1001,37.7111,37.8237,346400,37.8237
2024-07-30,38.1428,38.3117,36.9602,37.9269,247200,37.9269
2024-07-31,38.0865,38.9875,37.467,37.8706,277600,37.8706
2024-08-01,37.8425,38.002,35.8434,36.2751,275100,36.2751
2024-08-02,34.6795,35.4867,34.3698,35.0644,343300,35.0644
2024-08-05,33.2999,34.4167,32.5396,33.619,283900,33.619
2024-08-06,33.5627,34.2478,33.0934,33.7034,204800,33.7034
2024-08-07,33.8724,34.3417,33.2248,33.2529,182600,33.2529
2024-08-08,33.9287,33.985,33.4782,33.9193,173200,33.9193
2024-08-09,33.7785,34.2103,33.2623,33.5064,146300,33.5064
2024-08-12,33.5064,34.0038,32.6429,33.0183,231900,33.0183
2024-08-13,33.4407,33.6378,32.671,33.5157,258600,33.5157
2024-08-14,33.375,33.7785,32.9901,33.3186,152900,33.3186
2024-08-15,34.2197,34.7452,33.9287,34.0695,170300,34.0695
2024-08-16,33.9662,34.9987,33.9662,34.5012,158400,34.5012
2024-08-19,34.4824,35.0831,34.3229,35.0831,136600,35.0831
2024-08-20,34.9893,34.9893,34.2197,34.351,170400,34.351
2024-08-21,34.6608,34.6608,33.9005,34.154,144000,34.154
2024-08-22,34.0226,34.4918,34.0226,34.2666,167500,34.2666
2024-08-23,34.5294,36.6599,34.2478,36.0592,248400,36.0592
2024-08-26,36.4909,36.7256,35.9278,36.1718,271300,36.1718
2024-08-27,36.1249,36.2282,35.5806,36.1061,234000,36.1061
2024-08-28,36.1437,36.857,35.8903,36.5942,140700,36.5942
2024-08-29,37.0635,37.0635,36.2751,36.5473,172800,36.5473
2024-08-30,36.7068,36.9602,36.2845,36.6036,224300,36.6036
2024-09-03,36.0029,36.6974,35.6369,35.8433,302400,35.8433
2024-09-04,35.7213,36.0592,35.299,35.4304,202700,35.4304
2024-09-05,35.7401,35.7401,34.8297,35.0925,211200,35.0925
2024-09-06,35.1588,35.4431,34.2967,34.4862,142800,34.4862
2024-09-09,34.4862,35.0167,34.3251,34.4577,193700,34.4577
2024-09-10,34.4767,34.4956,33.6808,34.3725,152800,34.3725
2024-09-11,34.0598,34.0598,32.9419,33.7566,182500,33.7566
2024-09-12,33.8514,34.0314,33.4724,33.9272,126000,33.9272
2024-09-13,34.4956,34.7988,34.2019,34.7988,186900,34.7988
2024-09-16,34.9409,35.3483,34.3061,34.9883,192000,34.9883
2024-09-17,35.462,36.2199,34.9599,35.3388,164200,35.3388
2024-09-18,35.4715,36.7694,34.922,35.4146,267600,35.4146
2024-09-19,36.2673,36.7221,35.5188,36.6936,291900,36.6936
2024-09-20,36.4094,36.8263,35.2062,35.3388,1069800,35.3388
2024-09-23,35.6136,35.8504,35.0546,35.5567,274200,35.5567
2024-09-24,35.5283,35.7462,34.9599,35.0262,444800,35.0262
2024-09-25,35.0262,35.102,34.5904,34.6188,207200,34.6188
2024-09-26,35.0451,35.1967,34.5525,34.8556,197400,34.8556
2024-09-27,35.2157,35.2536,34.5714,34.742,163300,34.742
2024-09-30,34.5809,35.6136,34.3819,35.2441,236900,35.2441
2024-10-01,35.083,35.083,33.9177,34.0977,184000,34.0977
2024-10-02,33.9272,34.4483,33.6051,33.6524,140800,33.6524
2024-10-03,33.3114,33.9367,33.3114,33.8514,166800,33.8514
2024-10-04,34.5146,34.6283,34.003,34.2872,239700,34.2872
2024-10-07,34.0788,34.5714,33.823,34.0977,126400,34.0977
2024-10-08,34.2777,34.2777,33.4156,34.2019,139600,34.2019
2024-10-09,34.2019,34.6283,33.7661,34.2777,176500,34.2777
2024-10-10,33.9367,34.1356,33.6808,34.1167,133100,34.1167
2024-10-11,34.3061,35.4904,33.4345,35.2251,140200,35.2251
2024-10-14,35.2441,35.9262,34.9125,35.7652,157000,35.7652
2024-10-15,35.8125,37.2053,35.5567,36.6273,247500,36.6273
2024-10-16,36.9495,37.5653,36.8073,37.3284,217400,37.3284
2024-10-17,37.2432,37.6032,36.8831,37.5653,252600,37.5653
2024-10-18,37.7453,37.7453,36.6937,36.7884,345100,36.7884
2024-10-21,36.8073,36.9305,35.3578,35.4146,297600,35.4146
2024-10-22,35.4336,35.5662,35.1872,35.3862,198700,35.3862
2024-10-23,35.3104,36.3336,35.0357,35.3957,407500,35.3957
2024-10-24,34.344,35.2157,33.2829,34.1072,666700,34.1072
2024-10-25,34.344,34.4672,33.7661,33.8703,264100,33.8703
2024-10-28,34.3914,35.3862,34.1072,35.2062,522000,35.2062
2024-10-29,34.9883,35.3009,34.9314,35.1683,382800,35.1683
2024-10-30,35.1209,36.2105,35.0451,35.7462,467900,35.7462
2024-10-31,35.841,35.9736,35.0641,35.102,364300,35.102
