date,open,high,low,close,volume,adj_close
2024-05-20,9.2531,9.2531,9.0771,9.1142,85700,9.1142
2024-05-21,9.1049,9.3087,9.1049,9.3087,132500,9.3087
2024-05-22,9.3087,9.3087,9.1512,9.1605,110000,9.1605
2024-05-23,9.1512,9.1512,9.0308,9.0957,102100,9.0957
2024-05-24,9.142,9.2717,9.054,9.267,105100,9.267
2024-05-28,9.2717,9.3735,9.1142,9.3735,185100,9.3735
2024-05-29,9.2809,9.3643,9.2253,9.2717,169800,9.2717
2024-05-30,9.318,9.3365,9.0957,9.318,108700,9.318
2024-05-31,9.355,9.4013,9.2531,9.3087,79700,9.3087
2024-06-03,9.3555,9.3649,9.0839,9.2619,148800,9.2619
2024-06-04,9.2432,9.3228,9.0184,9.2338,96900,9.2338
2024-06-05,9.2993,9.4351,9.2853,9.4024,144100,9.4024
2024-06-06,9.3836,9.393,9.2338,9.2619,57000,9.2619
2024-06-07,9.187,9.2151,8.9903,9.0184,105700,9.0184
2024-06-10,8.9809,8.9903,8.906,8.9528,71600,8.9528
2024-06-11,8.906,9.1214,8.6625,9.112,116500,9.112
2024-06-12,9.2993,9.3087,9.1589,9.1682,125800,9.1682
2024-06-13,9.1495,9.1495,8.9997,9.0184,75300,9.0184
2024-06-14,8.9435,8.9622,8.8217,8.8405,111000,8.8405
2024-06-17,8.8405,9.009,8.803,9.009,70800,9.009
2024-06-18,9.0278,9.1401,9.0184,9.112,95200,9.112
2024-06-20,9.112,9.1776,9.0371,9.0746,63600,9.0746
2024-06-21,9.0746,9.1589,9.0278,9.0746,311000,9.0746
2024-06-24,9.0652,9.1401,8.9931,9.0465,96400,9.0465
2024-06-25,9.0371,9.0559,8.9528,9.0559,46600,9.0559
2024-06-26,9.0559,9.0652,8.9903,9.009,72600,9.009
2024-06-27,9.0465,9.1214,8.9528,9.009,59600,9.009
2024-06-28,9.0559,9.2993,8.9763,9.1401,816200,9.1401
2024-07-01,9.1495,9.2151,8.9716,9.0839,99800,9.0839
2024-07-02,9.1214,9.2712,9.0933,9.2712,54600,9.2712
2024-07-03,9.3087,9.3181,9.1589,9.1682,42600,9.1682
2024-07-05,9.1308,9.1401,9.0418,9.0652,71100,9.0652
2024-07-08,9.1682,9.3181,9.1589,9.2993,137100,9.2993
2024-07-09,9.2619,9.2806,9.0839,9.1401,104700,9.1401
2024-07-10,9.1776,9.3836,9.1589,9.3743,115900,9.3743
2024-07-11,9.5054,9.5335,9.4117,9.4679,215500,9.4679
2024-07-12,9.5335,9.7114,9.5335,9.7114,337300,9.7114
2024-07-15,9.7676,9.9174,9.7208,9.8331,314300,9.8331
2024-07-16,9.9081,10.1328,9.8191,10.0766,555800,10.0766
2024-07-17,10.0392,10.1703,9.8519,10.1047,219800,10.1047
2024-07-18,10.0954,10.1656,10.0626,10.0954,108500,10.0954
2024-07-19,10.1141,10.1141,10.0158,10.0766,82700,10.0766
2024-07-22,10.1141,10.1703,10.0766,10.1047,212900,10.1047
2024-07-23,10.0954,10.3482,10.086,10.1328,244500,10.1328
2024-07-24,10.1141,10.2639,9.8425,10.1141,215900,10.1141
2024-07-25,10.1703,10.395,10.1281,10.3669,220600,10.3669
2024-07-26,10.4793,10.4793,10.2639,10.3388,227500,10.3388
2024-07-29,10.7415,10.7415,10.292,10.3388,185300,10.3388
2024-07-30,10.395,10.4887,10.395,10.4419,276800,10.4419
2024-07-31,10.4606,10.5308,10.3201,10.4231,196300,10.4231
2024-08-01,10.4044,10.47,10.1984,10.2733,221400,10.2733
2024-08-02,10.0392,10.1656,9.9081,9.9174,448800,9.9174
2024-08-05,9.6365,9.7208,9.496,9.6552,265100,9.6552
2024-08-06,9.6552,9.7489,9.5616,9.7301,266000,9.7301
2024-08-07,9.8331,10.0017,9.7301,9.7395,170700,9.7395
2024-08-08,10.0673,10.0673,9.5194,9.6271,188500,9.6271
2024-08-09,9.6833,9.7208,9.5709,9.6927,132900,9.6927
2024-08-12,9.7208,9.8238,9.6552,9.7489,92500,9.7489
2024-08-13,9.7489,10.0766,9.6412,9.9736,299500,9.9736
2024-08-14,10.0017,10.0579,9.8612,10.0485,163300,10.0485
2024-08-15,10.1984,10.2546,10.1235,10.1984,216100,10.1984
2024-08-16,10.1984,10.3388,10.1469,10.1984,113800,10.1984
2024-08-19,10.189,10.2311,10.1328,10.1609,144000,10.1609
2024-08-20,10.1703,10.1796,10.0813,10.1609,86900,10.1609
2024-08-21,10.2171,10.2733,10.1609,10.2452,102000,10.2452
2024-08-22,10.292,10.3014,10.1515,10.1515,88500,10.1515
2024-08-23,10.1984,10.3388,10.175,10.1796,150200,10.1796
2024-08-26,10.2452,10.2827,10.1328,10.1609,322900,10.1609
2024-08-27,10.1328,10.2077,10.1047,10.189,85300,10.189
2024-08-28,10.1796,10.2265,10.0673,10.0766,76500,10.0766
2024-08-29,10.0954,10.1796,10.0298,10.1141,99900,10.1141
2024-08-30,10.1609,10.2358,10.0766,10.1984,79200,10.1984
2024-09-03,10.1132,10.1889,10.0943,10.1321,124800,10.1321
2024-09-04,10.0943,10.1794,10.0281,10.1511,120000,10.1511
2024-09-05,10.1794,10.2268,10.047,10.1227,159000,10.1227
2024-09-06,10.1132,10.1511,9.9855,10.1132,200900,10.1132
2024-09-09,10.1227,10.1984,9.8483,10.1132,144900,10.1132
2024-09-10,10.1416,10.1984,9.4983,10.1227,124000,10.1227
2024-09-11,10.047,10.1794,9.6355,10.1605,130700,10.1605
2024-09-12,10.1889,10.3024,10.17,10.2741,160300,10.2741
2024-09-13,10.3497,10.4822,10.1889,10.4633,187200,10.4633
2024-09-16,10.4727,10.6572,10.4727,10.6146,308100,10.6146
2024-09-17,10.6809,10.8417,10.6335,10.8322,217000,10.8322
2024-09-18,10.8417,10.8795,10.1605,10.643,188300,10.643
2024-09-19,10.7849,10.7896,10.643,10.7471,225600,10.7471
2024-09-20,10.6998,10.766,10.6194,10.6336,507500,10.6336
2024-09-23,10.6903,10.8984,10.6336,10.8701,232400,10.8701
2024-09-24,10.9174,10.9174,10.8038,10.8984,132100,10.8984
2024-09-25,10.9268,10.9741,10.8228,10.8701,148600,10.8701
2024-09-26,10.9457,10.9457,10.7234,10.7282,116700,10.7282
2024-09-27,10.7944,10.8795,10.7423,10.8322,114000,10.8322
2024-09-30,10.7376,10.8606,10.6903,10.7092,126300,10.7092
2024-10-01,10.6998,10.7092,10.4822,10.6525,194400,10.6525
2024-10-02,10.6525,10.7755,10.6146,10.7755,64000,10.7755
2024-10-03,10.7187,10.7471,10.5721,10.6146,91500,10.6146
2024-10-04,10.7565,10.7991,10.6619,10.7849,146800,10.7849
2024-10-07,10.7376,10.7849,10.6667,10.7471,140800,10.7471
2024-10-08,10.6809,10.7376,10.6336,10.7187,106900,10.7187
2024-10-09,10.7187,10.7944,10.6572,10.6714,77600,10.6714
2024-10-10,10.6052,10.7187,10.5389,10.5957,120800,10.5957
2024-10-11,10.5768,10.7092,10.5768,10.6146,120800,10.6146
2024-10-14,10.6052,10.6241,10.4396,10.5011,194200,10.5011
2024-10-15,10.5011,10.6146,10.4254,10.5389,122900,10.5389
2024-10-16,10.6714,11.135,10.643,10.9174,177500,10.9174
2024-10-17,10.9268,11.0214,10.8322,10.8511,162900,10.8511
2024-10-18,10.889,11.1018,10.8701,11.0782,474800,11.0782
2024-10-21,11.0214,11.1444,11.0072,11.0877,225900,11.0877
2024-10-22,11.0403,11.1444,10.7849,11.0782,245800,11.0782
2024-10-23,11.0309,11.0782,10.7755,10.9836,243200,10.9836
2024-10-24,10.993,11.2012,10.9647,11.1823,246600,11.1823
2024-10-25,11.1917,11.2579,10.993,11.0687,115400,11.0687
2024-10-28,10.9836,11.1917,10.9836,11.0782,120900,11.0782
2024-10-29,11.012,11.116,10.9174,11.0877,140400,11.0877
2024-10-30,11.0687,11.0971,10.9079,10.9174,164800,10.9174
2024-10-31,10.9268,11.0072,10.8701,10.9174,106600,10.9174
2024-11-01,10.9647,11.0025,10.8511,10.8795,119900,10.8795
2024-11-04,10.889,10.9505,10.7802,10.8511,161000,10.8511
2024-11-05,10.8606,11.1018,10.766,11.0971,216200,11.0971
2024-11-06,11.3525,11.6032,11.239,11.5891,515400,11.5891
2024-11-07,11.5891,11.6174,11.4472,11.485,412500,11.485
2024-11-08,11.7593,11.7593,11.0309,11.2201,320100,11.2201
2024-11-11,11.0309,11.0309,10.3214,10.8606,460400,10.8606
2024-11-12,10.8795,11.2863,10.8795,11.2201,300400,11.2201
2024-11-13,11.2579,11.2863,10.8843,10.993,359200,10.993
2024-11-14,11.0498,11.0829,10.9457,10.9836,187600,10.9836
2024-11-15,11.0593,11.0782,10.7849,11.0498,226700,11.0498
2024-11-18,11.0687,11.3336,10.9552,11.1539,245700,11.1539
2024-11-19,11.0782,11.4377,11.0782,11.4093,352700,11.4093
2024-11-20,11.4377,11.8019,11.3431,11.7593,538300,11.7593
2024-11-21,11.8066,11.9013,11.5134,11.5796,766600,11.5796
2024-11-22,11.608,11.6979,11.5796,11.6647,236000,11.6647
2024-11-25,11.8256,11.8256,11.6269,11.6837,311000,11.6837
2024-11-26,11.6553,11.7877,11.5323,11.7783,802400,11.7783
2024-11-27,11.7877,11.8445,11.7026,11.7215,204600,11.7215
2024-11-29,11.7688,11.8539,11.712,11.7404,94700,11.7404
2024-12-02,11.7213,11.7691,11.3443,11.7691,473200,11.7691
2024-12-03,11.7404,11.96,11.6144,11.8931,225800,11.8931
2024-12-04,11.9218,11.9428,11.75,11.8836,320500,11.8836
2024-12-05,11.8836,11.979,11.7213,11.8072,473100,11.8072
2024-12-06,11.8741,11.9218,11.707,11.7786,134800,11.7786
2024-12-09,11.7881,11.855,11.5782,11.6068,142300,11.6068
2024-12-10,11.5972,11.75,11.4923,11.7022,129800,11.7022
2024-12-11,11.7786,11.9409,11.6832,11.8168,266100,11.8168
2024-12-12,11.9791,11.9791,11.7022,11.7882,139600,11.7882
2024-12-13,11.8263,11.9122,11.7404,11.8836,105400,11.8836
2024-12-16,11.8263,11.855,11.7166,11.7786,368100,11.7786
2024-12-17,11.7118,11.8168,11.6545,11.6641,210100,11.6641
