date,open,high,low,close,volume,adj_close
2024-06-04,10.8328,11.0711,10.7633,10.7732,46800,10.7732
2024-06-05,10.7832,11.4186,10.7832,10.9817,44400,10.9817
2024-06-06,10.9718,10.9718,10.5151,10.525,57400,10.525
2024-06-07,10.5349,10.8537,9.5321,9.6214,116300,9.6214
2024-06-10,9.4824,10.6243,9.4824,10.5349,41500,10.5349
2024-06-11,10.5349,10.6938,9.969,10.3264,27800,10.3264
2024-06-12,10.3264,11.081,10.3264,10.6044,41700,10.6044
2024-06-13,10.7633,10.7633,10.1874,10.3562,26300,10.3562
2024-06-14,10.2668,10.3165,9.7803,9.9193,51400,9.9193
2024-06-17,9.8697,10.1179,9.681,10.0385,25100,10.0385
2024-06-18,10.0236,10.108,9.7803,9.8498,16500,9.8498
2024-06-20,9.7902,9.9789,9.5321,9.83,31400,9.83
2024-06-21,9.9094,9.9094,9.5519,9.5619,14200,9.5619
2024-06-24,9.82,10.0186,9.3732,9.5817,37300,9.5817
2024-06-25,9.5321,9.5321,9.0058,9.125,52400,9.125
2024-06-26,9.4179,9.4179,9.0257,9.3037,29200,9.3037
2024-06-27,9.4109,9.4229,9.1846,9.3236,23500,9.3236
2024-06-28,9.1846,9.3236,8.837,8.9959,37100,8.9959
2024-07-01,9.0853,9.115,8.559,8.6087,87200,8.6087
2024-07-02,8.7179,8.7874,8.2214,8.2909,58900,8.2909
2024-07-03,8.3803,8.5789,8.2214,8.4101,26500,8.4101
2024-07-05,8.5392,8.8648,8.3207,8.4299,26600,8.4299
2024-07-08,8.4399,8.5491,8.1916,8.5392,45200,8.5392
2024-07-09,8.3604,8.5292,8.2413,8.3704,42500,8.3704
2024-07-10,8.7775,8.7775,8.1618,8.3008,35200,8.3008
2024-07-11,8.703,8.703,8.2016,8.2711,29000,8.2711
2024-07-12,8.3306,8.6911,8.2313,8.5292,68000,8.5292
2024-07-15,8.559,9.3831,8.559,8.8072,242800,8.8072
2024-07-16,8.8867,9.125,8.5739,8.8668,152100,8.8668
2024-07-17,8.9363,8.9363,8.5531,8.7179,79400,8.7179
2024-07-18,8.698,8.8221,8.2711,8.5987,43200,8.5987
2024-07-19,8.5987,8.6136,8.1817,8.281,23900,8.281
2024-07-22,8.281,8.42,8.0923,8.3406,21500,8.3406
2024-07-23,8.2611,8.4696,7.9434,8.1023,125300,8.1023
2024-07-24,7.9633,8.1072,7.6207,7.8441,124800,7.8441
2024-07-25,7.7448,8.1658,7.4569,7.7945,67700,7.7945
2024-07-26,7.864,8.0824,7.574,7.9235,53700,7.9235
2024-07-29,7.9136,8.3704,7.6952,8.2016,26100,8.2016
2024-07-30,7.9335,8.4597,7.9335,8.2909,106500,8.2909
2024-07-31,8.4796,8.7973,8.3922,8.5888,91900,8.5888
2024-08-01,8.7079,9.5122,8.4895,9.4824,379400,9.4824
2024-08-02,9.0455,9.2848,8.5689,8.986,71700,8.986
2024-08-05,8.8172,8.9463,8.2909,8.3306,36700,8.3306
2024-08-06,8.4399,8.5243,8.0814,8.2313,33700,8.2313
2024-08-07,8.3902,8.3902,7.9434,8.0725,27800,8.0725
2024-08-08,7.993,8.1122,7.6356,8.1122,60600,8.1122
2024-08-09,8.1718,8.42,7.864,8.0625,19100,8.0625
2024-08-12,8.0328,8.2313,7.5859,7.6952,31700,7.6952
2024-08-13,7.6952,8.0328,7.6257,8.003,22500,8.003
2024-08-14,7.7021,8.0228,7.7021,7.8937,13300,7.8937
2024-08-15,7.9434,8.7973,7.9434,8.6881,55100,8.6881
2024-08-16,8.5987,8.7874,8.4994,8.5689,27700,8.5689
2024-08-19,8.7278,8.7278,8.4696,8.6682,19400,8.6682
2024-08-20,8.3604,8.6682,8.2512,8.6682,22800,8.6682
2024-08-21,8.6682,8.7854,8.5689,8.6782,17400,8.6782
2024-08-22,8.4647,8.6782,8.4647,8.6682,34400,8.6682
2024-08-23,8.5987,9.3633,8.3108,9.1647,61100,9.1647
