date,open,high,low,close,volume,adj_close
2024-05-20,80.8461,81.5866,80.7974,81.4112,481300,81.4112
2024-05-21,81.0702,81.1481,80.4466,81.0117,607000,81.0117
2024-05-22,81.0799,81.5671,80.6415,80.8656,430500,80.8656
2024-05-23,80.7682,80.7682,79.1119,79.4626,634700,79.4626
2024-05-24,79.7841,79.979,78.9657,79.3847,707800,79.3847
2024-05-28,79.4237,79.4237,77.3582,77.4946,968500,77.4946
2024-05-29,76.9879,77.212,76.2378,76.608,906500,76.608
2024-05-30,76.91,77.5335,76.7249,77.0464,654200,77.0464
2024-05-31,77.2997,78.7904,76.8418,78.6734,1886600,78.6734
2024-06-03,78.8878,78.8878,76.6469,77.1828,647100,77.1828
2024-06-04,76.91,77.1049,75.8286,76.1013,1327600,76.1013
2024-06-05,76.4813,77.1633,76.2572,76.9782,1414200,76.9782
2024-06-06,76.7054,76.8515,76.1793,76.4034,598600,76.4034
2024-06-07,76.267,76.6177,75.7506,76.3352,584400,76.3352
2024-06-10,75.8773,77.4264,75.7701,77.3777,775600,77.3777
2024-06-11,77.1243,77.5335,76.3741,77.5043,876200,77.5043
2024-06-12,78.5371,79.5308,78.1766,78.9852,648800,78.9852
2024-06-13,78.7319,78.9268,77.8453,78.7027,743800,78.7027
2024-06-14,77.6992,77.6992,76.1306,77.251,601000,77.251
2024-06-17,77.2023,78.4299,76.5398,78.0596,775200,78.0596
2024-06-18,77.8356,78.4201,77.553,78.1473,616800,78.1473
2024-06-20,77.7284,78.2448,77.2607,77.3094,529600,77.3094
2024-06-21,77.3679,77.553,76.3839,77.4556,1201700,77.4556
2024-06-24,77.6894,78.956,77.4848,77.7381,848900,77.7381
2024-06-25,77.4556,77.6212,76.7151,77.3192,1080300,77.3192
2024-06-26,76.8223,77.2315,76.15,76.9197,1236000,76.9197
2024-06-27,76.9684,77.3776,76.608,77.212,1008900,77.212
2024-06-28,77.5043,78.1961,76.6567,77.2413,2471400,77.2413
2024-07-01,77.5238,77.5238,75.4973,75.8188,697100,75.8188
2024-07-02,75.8091,76.8905,75.8091,76.569,775100,76.569
2024-07-03,76.8905,77.4459,76.4716,77.0561,421000,77.0561
2024-07-05,76.8418,77.2218,76.4131,76.7736,598600,76.7736
2024-07-08,77.1536,77.6212,76.3254,76.4813,606800,76.4813
2024-07-09,76.0916,76.6177,75.8091,76.0429,540900,76.0429
2024-07-10,75.8578,76.8223,75.7116,76.7736,468200,76.7736
2024-07-11,77.5725,78.8001,77.2802,78.274,1163200,78.274
2024-07-12,79.1411,79.6088,78.1279,79.1119,606900,79.1119
2024-07-15,79.3457,80.1349,79.0144,79.6477,1003400,79.6477
2024-07-16,80.0959,82.7654,80.0959,82.5024,726600,82.5024
2024-07-17,82.0932,82.5414,81.4404,81.4599,549800,81.4599
2024-07-18,80.7292,82.2978,80.5246,80.5441,723900,80.5441
2024-07-19,80.5246,80.5246,79.1801,79.8523,683400,79.8523
2024-07-22,80.3459,80.9812,79.0363,80.5414,856100,80.5414
2024-07-23,80.3459,80.9616,80.082,80.1993,881700,80.1993
2024-07-24,79.6618,80.4436,78.9679,79.2415,1784500,79.2415
2024-07-25,81.1278,83.6883,79.7497,81.8901,1361000,81.8901
2024-07-26,82.3201,83.141,81.4405,82.5058,1009500,82.5058
2024-07-29,82.3689,82.8087,81.3525,81.5284,738300,81.5284
2024-07-30,81.9389,83.229,81.4307,82.8869,721000,82.8869
2024-07-31,83.0726,84.1575,82.6231,83.1215,1785600,83.1215
2024-08-01,82.6133,83.6004,79.8279,80.6098,767300,80.6098
2024-08-02,79.5152,79.7986,78.6258,79.3881,613300,79.3881
2024-08-05,77.1989,78.2544,76.3389,76.8959,782100,76.8959
2024-08-06,77.2478,78.6551,76.6614,77.2478,980100,77.2478
