date,open,high,low,close,volume,adj_close
2025-07-11,28.09,33.0,28.0,32.5,375400,32.5
2025-07-14,32.5,33.01,30.51,30.51,109100,30.51
2025-07-15,30.41,31.495,30.25,30.92,245900,30.92
2025-07-16,31.1,33.02,31.0,32.5,340000,32.5
2025-07-17,32.43,35.15,32.31,34.8,273300,34.8
2025-07-18,34.8,37.12,34.8,36.75,176600,36.75
2025-07-21,37.0,38.1,36.58,37.0,144000,37.0
2025-07-22,37.5,38.0,36.1,36.18,134100,36.18
2025-07-23,36.3,38.07,35.04,35.17,80100,35.17
2025-07-24,35.67,35.67,34.57,34.64,31000,34.64
2025-07-25,34.63,34.855,34.275,34.4,26300,34.4
2025-07-28,35.01,35.01,33.62,34.08,63100,34.08
2025-07-29,34.85,34.85,33.58,34.55,38700,34.55
2025-07-30,34.43,34.88,33.755,33.87,40800,33.87
2025-07-31,33.63,34.25,32.93,33.04,43000,33.04
2025-08-01,32.6,33.242,32.3,32.91,35200,32.91
2025-08-04,32.91,33.22,32.47,33.21,35200,33.21
2025-08-05,32.96,33.39,32.61,32.79,27000,32.79
2025-08-06,33.0,34.65,32.54,34.45,53800,34.45
2025-08-07,34.5,36.56,34.5,35.96,82100,35.96
2025-08-08,35.9,36.01,35.2,35.52,69300,35.52
2025-08-11,35.44,35.44,34.16,34.71,17900,34.71
2025-08-12,34.42,34.856,33.955,34.62,55500,34.62
2025-08-13,34.19,34.93,33.87,33.94,42200,33.94
2025-08-14,33.75,34.696,33.65,34.28,65900,34.28
2025-08-15,34.14,34.84,33.59,34.48,106700,34.48
2025-08-18,34.26,36.4,34.26,35.97,174900,35.97
2025-08-19,35.995,36.46,35.995,36.07,56600,36.07
2025-08-20,35.83,36.95,35.68,36.54,130400,36.54
2025-08-21,36.78,38.14,36.38,37.8,87600,37.8
2025-08-22,38.33,38.58,37.8,38.485,58800,38.485
2025-08-25,38.51,38.98,37.91,38.0,58700,38.0
2025-08-26,38.46,38.94,37.51,37.67,101400,37.67
2025-08-27,37.11,38.785,37.11,38.295,74200,38.295
2025-08-28,38.24,38.32,37.27,38.11,55600,38.11
2025-08-29,38.21,38.21,36.88,37.33,78800,37.33
2025-09-02,37.168,37.168,36.44,37.09,45400,37.09
2025-09-03,36.335,37.35,36.335,37.03,58400,37.03
2025-09-04,37.2,37.989,36.55,36.92,52000,36.92
2025-09-05,37.1,37.52,36.41,36.73,53800,36.73
2025-09-08,37.37,37.37,36.31,36.38,77900,36.38
2025-09-09,36.4,36.4,36.0,36.225,74100,36.225
2025-09-10,36.335,36.7,36.13,36.24,13800,36.24
2025-09-11,36.605,37.345,36.51,37.05,59800,37.05
2025-09-12,36.79,37.1,36.17,36.17,24300,36.17
2025-09-15,36.0,36.5,35.43,35.72,66600,35.72
2025-09-16,35.85,36.17,35.12,35.77,52000,35.77
