date,open,high,low,close,volume,adj_close
2024-05-20,29.83,30.01,29.63,29.69,247000,29.69
2024-05-21,29.44,29.44,29.13,29.15,335500,29.15
2024-05-22,29.66,30.06,29.66,29.81,383700,29.81
2024-05-23,29.96,29.96,29.125,29.34,364200,29.34
2024-05-24,27.91,28.17,27.81,28.0,594500,28.0
2024-05-28,28.51,28.53,27.9,28.01,587700,28.01
2024-05-29,27.98,28.08,27.77,27.99,404500,27.99
2024-05-30,28.05,28.16,27.94,27.99,251300,27.99
2024-05-31,28.13,28.42,27.98,28.2,479400,28.2
2024-06-03,28.44,28.89,28.36,28.83,507900,28.83
2024-06-04,28.46,28.54,28.29,28.5,234500,28.5
2024-06-05,28.73,28.96,28.46,28.74,203700,28.74
2024-06-06,28.36,28.56,28.27,28.55,559200,28.55
2024-06-07,27.9,28.11,27.75,27.77,291600,27.77
2024-06-10,27.73,27.92,27.56,27.92,508600,27.92
2024-06-11,27.41,27.462,27.16,27.32,481000,27.32
2024-06-12,27.0,27.05,26.73,26.77,631400,26.77
2024-06-13,26.59,26.62,26.34,26.41,480900,26.41
2024-06-14,26.4,26.48,26.15,26.19,356600,26.19
2024-06-17,25.96,25.96,25.73,25.78,432100,25.78
2024-06-18,26.0,26.12,25.38,25.8,2119700,25.8
2024-06-20,25.69,25.945,25.54,25.88,508800,25.88
2024-06-21,26.03,26.05,25.77,26.03,579700,26.03
2024-06-24,26.17,26.27,25.765,25.82,751700,25.82
2024-06-25,25.83,25.91,25.665,25.78,522500,25.78
2024-06-26,25.6,25.77,25.53,25.67,379400,25.67
2024-06-27,25.72,25.77,25.53,25.58,413300,25.58
2024-06-28,25.0,25.24,24.94,25.13,568900,25.13
2024-07-01,24.97,25.3,24.8,24.85,555700,24.85
2024-07-02,24.7,24.915,24.53,24.9,750200,24.9
2024-07-03,25.1,25.27,25.08,25.15,236600,25.15
2024-07-05,25.55,25.59,25.31,25.54,332500,25.54
2024-07-08,25.71,25.72,25.375,25.48,401400,25.48
2024-07-09,25.59,25.71,25.5,25.64,364900,25.64
2024-07-10,25.63,25.73,25.52,25.71,245100,25.71
2024-07-11,26.12,26.303,26.09,26.24,393300,26.24
2024-07-12,26.74,27.135,26.71,27.05,558300,27.05
2024-07-15,26.53,26.66,26.375,26.54,999100,26.54
2024-07-16,26.31,27.0,26.31,27.0,525300,27.0
2024-07-17,26.67,27.0,26.67,26.83,661700,26.83
2024-07-18,27.19,27.28,27.05,27.24,858100,27.24
2024-07-19,27.11,27.87,27.1,27.75,2347400,27.75
2024-07-22,27.56,27.82,27.42,27.8,872300,27.8
2024-07-23,27.7,28.08,27.62,27.94,900700,27.94
2024-07-24,27.83,28.03,27.72,27.88,938100,27.88
2024-07-25,27.73,28.33,27.73,28.13,740900,28.13
2024-07-26,28.18,28.47,28.14,28.38,692100,28.38
2024-07-29,28.34,28.56,28.166,28.48,937500,28.48
2024-07-30,28.48,28.49,28.11,28.21,651800,28.21
2024-07-31,28.44,28.56,28.26,28.29,702000,28.29
2024-08-01,28.33,28.54,28.3,28.35,527200,28.35
2024-08-02,28.43,28.43,27.95,28.24,550000,28.24
2024-08-05,26.3,26.58,26.045,26.07,885700,26.07
2024-08-06,26.38,26.62,26.24,26.47,1117200,26.47
2024-08-07,26.84,26.89,26.405,26.46,809200,26.46
2024-08-08,26.52,27.39,26.35,27.07,967700,27.07
2024-08-09,26.59,26.61,26.332,26.43,482400,26.43
2024-08-12,26.85,26.86,26.495,26.51,637200,26.51
2024-08-13,26.15,26.64,26.06,26.57,456900,26.57
2024-08-14,26.94,26.97,26.715,26.8,398900,26.8
2024-08-15,27.18,27.27,27.07,27.21,278600,27.21
2024-08-16,27.01,27.03,26.86,26.95,445100,26.95
2024-08-19,27.13,27.75,27.13,27.75,581600,27.75
2024-08-20,26.81,27.25,26.76,27.19,606400,27.19
2024-08-21,27.62,27.7,27.36,27.49,424600,27.49
2024-08-22,27.38,27.4,26.95,27.02,395100,27.02
2024-08-23,27.0,27.4,26.86,27.34,384200,27.34
2024-08-26,27.42,27.63,27.32,27.36,306600,27.36
2024-08-27,27.79,27.94,27.73,27.89,437800,27.89
2024-08-28,27.77,27.86,27.64,27.7,390500,27.7
2024-08-29,27.84,27.93,27.74,27.81,351100,27.81
2024-08-30,27.72,27.86,27.62,27.8,347200,27.8
2024-09-03,27.73,27.805,27.38,27.41,577700,27.41
2024-09-04,27.43,27.73,27.42,27.59,329100,27.59
2024-09-05,27.8,27.82,27.54,27.69,403300,27.69
2024-09-06,27.82,27.91,27.46,27.52,370200,27.52
2024-09-09,27.39,27.62,27.34,27.46,369300,27.46
2024-09-10,27.62,27.62,27.375,27.5,398600,27.5
2024-09-11,27.15,27.18,26.678,26.93,338300,26.93
2024-09-12,26.66,26.71,26.28,26.49,363400,26.49
2024-09-13,26.55,26.9,26.55,26.9,506400,26.9
2024-09-16,26.75,26.77,26.39,26.58,531900,26.58
2024-09-17,26.54,26.59,26.36,26.43,321500,26.43
2024-09-18,26.31,26.57,26.1,26.2,447000,26.2
2024-09-19,26.28,26.53,26.18,26.48,531100,26.48
2024-09-20,25.92,25.935,25.53,25.53,618700,25.53
2024-09-23,24.47,24.47,24.05,24.14,1244300,24.14
2024-09-24,24.17,24.18,23.85,24.01,640100,24.01
2024-09-25,24.23,24.23,23.8,23.83,507900,23.83
2024-09-26,24.06,24.12,23.85,24.12,552200,24.12
2024-09-27,24.27,24.43,24.23,24.33,484000,24.33
2024-09-30,24.3,24.4,24.17,24.38,545600,24.38
2024-10-01,24.27,24.31,23.95,24.15,717500,24.15
2024-10-02,23.39,23.74,23.24,23.69,1093200,23.69
2024-10-03,23.5,23.58,23.335,23.4,746000,23.4
