date,open,high,low,close,volume,adj_close
2024-05-20,0.53,0.55,0.53,0.55,944100,0.55
2024-05-21,0.55,0.59,0.51,0.54,1738200,0.54
2024-05-22,0.54,0.55,0.51,0.54,504900,0.54
2024-05-23,0.53,0.53,0.46,0.47,1288400,0.47
2024-05-24,0.48,0.51,0.47,0.5,370600,0.5
2024-05-28,0.52,0.54,0.5,0.51,633600,0.51
2024-05-29,0.5,0.5,0.47,0.48,471800,0.48
2024-05-30,0.48,0.5,0.47,0.48,332700,0.48
2024-05-31,0.48,0.5,0.45,0.47,217100,0.47
2024-06-03,0.47,0.5,0.47,0.5,569700,0.5
2024-06-04,0.49,0.5,0.46,0.47,483000,0.47
2024-06-05,0.47,0.49,0.47,0.48,180500,0.48
2024-06-06,0.48,0.52,0.47,0.52,873500,0.52
2024-06-07,0.49,0.5,0.46,0.47,1110100,0.47
2024-06-10,0.47,0.48,0.45,0.48,406100,0.48
2024-06-11,0.47,0.48,0.46,0.47,179000,0.47
2024-06-12,0.47,0.48,0.44,0.45,383600,0.45
2024-06-13,0.45,0.47,0.43,0.44,535700,0.44
2024-06-14,0.46,0.46,0.44,0.45,348600,0.45
2024-06-17,0.45,0.46,0.42,0.42,514400,0.42
2024-06-18,0.42,0.44,0.42,0.42,270000,0.42
2024-06-20,0.42,0.46,0.42,0.43,555700,0.43
2024-06-21,0.43,0.44,0.42,0.43,396100,0.43
2024-06-24,0.42,0.44,0.42,0.42,203000,0.42
2024-06-25,0.43,0.43,0.4,0.4,232200,0.4
2024-06-26,0.4,0.4,0.39,0.4,362800,0.4
2024-06-27,0.41,0.41,0.39,0.4,393500,0.4
2024-06-28,0.4,0.41,0.37,0.37,304000,0.37
2024-07-01,0.38,0.39,0.37,0.37,339500,0.37
2024-07-02,0.39,0.39,0.37,0.38,258100,0.38
2024-07-03,0.39,0.41,0.39,0.41,463900,0.41
2024-07-05,0.41,0.43,0.4,0.43,503300,0.43
2024-07-08,0.42,0.43,0.4,0.41,172700,0.41
2024-07-09,0.41,0.42,0.41,0.41,168700,0.41
2024-07-10,0.41,0.44,0.41,0.43,555100,0.43
2024-07-11,0.45,0.47,0.44,0.46,611400,0.46
2024-07-12,0.45,0.49,0.45,0.48,473800,0.48
2024-07-15,0.48,0.5,0.47,0.48,690400,0.48
2024-07-16,0.5,0.51,0.49,0.5,980400,0.5
2024-07-17,0.5,0.51,0.45,0.48,682000,0.48
2024-07-18,0.48,0.5,0.48,0.49,1599000,0.49
2024-07-19,0.47,0.48,0.45,0.45,459300,0.45
2024-07-22,0.45,0.45,0.44,0.45,234900,0.45
