date,open,high,low,close,volume,adj_close
2024-07-22,10.03,10.05,10.03,10.05,6400,10.05
2024-07-23,10.03,10.03,10.01,10.03,170900,10.03
2024-07-24,10.03,10.03,10.03,10.03,1800,10.03
2024-07-25,10.02,10.03,10.02,10.02,28500,10.02
2024-07-26,10.036,10.04,10.03,10.03,17400,10.03
2024-07-29,10.035,10.035,10.035,10.035,1100,10.035
2024-07-30,10.03,10.03,10.01,10.01,85400,10.01
2024-07-31,10.02,10.029,10.01,10.015,1246200,10.015
2024-08-01,10.015,10.015,10.015,10.015,0,10.015
2024-08-02,10.02,10.03,10.01,10.02,267900,10.02
2024-08-05,10.02,10.02,10.01,10.02,54700,10.02
2024-08-06,10.019,10.02,10.0,10.01,1534000,10.01
2024-08-07,10.01,10.02,10.0,10.01,167300,10.01
2024-08-08,10.02,10.025,10.019,10.02,229600,10.02
2024-08-09,10.02,10.02,10.02,10.02,200,10.02
2024-08-12,10.02,10.03,10.015,10.03,78000,10.03
2024-08-13,10.01,10.02,10.01,10.02,800,10.02
2024-08-14,10.02,10.02,10.02,10.02,50600,10.02
2024-08-15,10.02,10.03,10.02,10.02,105700,10.02
2024-08-16,10.02,10.02,10.02,10.02,100,10.02
2024-08-19,10.025,10.025,10.025,10.025,100,10.025
2024-08-20,10.02,10.04,10.02,10.04,500,10.04
2024-08-21,10.04,10.04,10.04,10.04,0,10.04
2024-08-22,10.05,10.05,10.05,10.05,200,10.05
2024-08-23,10.05,10.05,10.01,10.015,2444000,10.015
2024-08-26,10.015,10.04,10.01,10.025,457400,10.025
2024-08-27,10.007,10.02,10.007,10.015,14500,10.015
2024-08-28,10.015,10.015,10.015,10.015,1100,10.015
2024-08-29,10.02,10.02,10.015,10.015,100200,10.015
2024-08-30,10.06,10.06,10.06,10.06,100,10.06
2024-09-03,10.01,10.01,10.01,10.01,50000,10.01
2024-09-04,10.01,10.015,10.01,10.015,134200,10.015
2024-09-05,10.01,10.025,10.01,10.02,172900,10.02
2024-09-06,10.035,10.035,10.02,10.02,101100,10.02
2024-09-09,10.0,10.0,10.0,10.0,900,10.0
2024-09-10,10.019,10.023,10.019,10.02,3200,10.02
2024-09-11,10.03,10.04,10.02,10.03,222600,10.03
2024-09-12,10.03,10.03,10.03,10.03,99800,10.03
2024-09-13,10.02,10.02,10.02,10.02,150000,10.02
2024-09-16,10.021,10.025,10.02,10.02,5700,10.02
2024-09-17,10.02,10.04,10.02,10.04,374600,10.04
2024-09-18,10.036,10.04,10.036,10.04,4100,10.04
2024-09-19,10.06,10.06,10.04,10.04,104900,10.04
2024-09-20,10.04,10.045,10.03,10.04,504600,10.04
2024-09-23,10.05,10.055,10.05,10.055,41300,10.055
2024-09-24,10.06,10.07,10.055,10.06,67400,10.06
2024-09-25,10.07,10.08,10.07,10.08,408100,10.08
