date,open,high,low,close,volume,adj_close
2026-03-12 00:00:00,0.52,0.5269,0.44,0.468,3364368,0.468
2026-03-13 00:00:00,0.44,0.4437,0.392,0.4101,2887033,0.4101
2026-03-16 00:00:00,0.406,0.41,0.37,0.3816,1665733,0.3816
2026-03-17 00:00:00,0.3855,0.3855,0.3398,0.3521,1669332,0.3521
2026-03-18 00:00:00,0.3565,0.3732,0.3521,0.37,1187362,0.37
2026-03-19 00:00:00,0.352,0.372,0.3321,0.3535,1893945,0.3535
2026-03-20 00:00:00,0.3595,0.4197,0.35,0.4049,2777223,0.4049
2026-03-23 00:00:00,0.3981,0.4397,0.3626,0.4185,1460558,0.4185
2026-03-24 00:00:00,0.4047,0.407,0.365,0.3691,1190037,0.3691
2026-03-25 00:00:00,0.3825,0.39,0.35,0.3501,1230647,0.3501
2026-03-26 00:00:00,0.356,0.365,0.2988,0.2988,1788424,0.2988
2026-03-27 00:00:00,0.2942,0.3,0.274,0.295,1780265,0.295
2026-03-30 00:00:00,0.295,0.295,0.2691,0.2781,1222332,0.2781
2026-03-31 00:00:00,0.2862,0.3508,0.28,0.33,4541494,0.33
2026-04-01 00:00:00,0.325,0.4139,0.312,0.37,3666060,0.37
2026-04-02 00:00:00,0.3509,0.39,0.33,0.3641,2170698,0.3641
2026-04-06 00:00:00,0.3714,0.39,0.3152,0.328,3291015,0.328
2026-04-07 00:00:00,0.33,0.3342,0.2892,0.3139,4188776,0.3139
2026-04-08 00:00:00,0.3399,0.37,0.3113,0.3512,2582409,0.3512
2026-04-09 00:00:00,0.359,0.42,0.333,0.42,3679213,0.42
2026-04-10 00:00:00,0.43,0.4399,0.38,0.4,2801651,0.4
2026-04-13 00:00:00,0.3941,0.4179,0.3653,0.367,2773793,0.367
2026-04-14 00:00:00,0.38,0.4299,0.3399,0.3459,5143938,0.3459
2026-04-15 00:00:00,0.36,0.4052,0.3347,0.3913,5543225,0.3913
2026-04-16 00:00:00,0.41,0.4221,0.3739,0.4076,5572318,0.4076
2026-04-17 00:00:00,0.429,0.45,0.41,0.42,5356316,0.42
2026-04-20 00:00:00,0.425,0.425,0.3811,0.4021,2317515,0.4021
2026-04-21 00:00:00,0.4,0.42,0.375,0.4013,2585263,0.4013
2026-04-22 00:00:00,0.4088,0.485,0.4013,0.4778,6732811,0.4778
2026-04-23 00:00:00,0.4778,0.4778,0.43,0.4494,3006278,0.4494
2026-04-24 00:00:00,0.44,0.49,0.4226,0.4847,3269704,0.4847
2026-04-27 00:00:00,0.48,0.5035,0.445,0.4708,2538945,0.4708
2026-04-28 00:00:00,0.46,0.4708,0.422,0.451,2591108,0.451
2026-04-29 00:00:00,0.451,0.451,0.425,0.4281,1350927,0.4281
2026-04-30 00:00:00,0.457,0.4925,0.4312,0.4815,3505352,0.4815
2026-05-01 00:00:00,0.4944,0.5212,0.46,0.5156,2148898,0.5156
2026-05-04 00:00:00,0.5297,0.5496,0.48,0.48,2698368,0.48
2026-05-05 00:00:00,0.4951,0.545,0.485,0.4956,3222649,0.4956
2026-05-06 00:00:00,0.5,0.5192,0.4701,0.5051,2816527,0.5051
2026-05-07 00:00:00,0.5162,0.517,0.45,0.4969,3937869,0.4969
2026-05-08 00:00:00,0.49,0.498,0.4568,0.4601,1900288,0.4601
2026-05-11 00:00:00,0.465,0.4756,0.43,0.43,2637466,0.43
2026-05-12 00:00:00,0.45,0.4665,0.42,0.42,2435714,0.42
2026-05-13 00:00:00,0.4275,0.4575,0.41,0.425,3852257,0.425
2026-05-14 00:00:00,0.442,0.45,0.3702,0.3791,3901907,0.3791
2026-05-15 00:00:00,0.4151,0.4151,0.375,0.3853,2515160,0.3853
2026-05-18 00:00:00,0.3929,0.4099,0.3361,0.3531,3551213,0.3531
2026-05-19 00:00:00,0.3568,0.37,0.335,0.3383,2397256,0.3383
2026-05-20 00:00:00,0.3443,0.3974,0.335,0.3885,3315790,0.3885
2026-05-21 00:00:00,0.429,0.43,0.37,0.3883,8140014,0.3883
2026-05-22 00:00:00,0.41,0.4175,0.371,0.3899,4788234,0.3899
2026-05-26 00:00:00,0.4,0.415,0.36,0.36,4512779,0.36
2026-05-27 00:00:00,0.3625,0.3776,0.343,0.3606,3273403,0.3606
2026-05-28 00:00:00,0.3576,0.36,0.3327,0.3599,4574227,0.3599
2026-05-29 00:00:00,0.3533,0.368,0.3369,0.356,3632903,0.356
2026-06-01 00:00:00,0.355,0.372,0.341,0.358,3363419,0.358
2026-06-02 00:00:00,0.36,0.373,0.335,0.3397,4209233,0.3397
2026-06-03 00:00:00,0.348,0.35,0.31,0.3256,4672707,0.3256
2026-06-04 00:00:00,0.3256,0.35,0.3183,0.335,4829114,0.335
2026-06-05 00:00:00,0.33,0.33,0.295,0.307,3657613,0.307
2026-06-08 00:00:00,0.3,0.31,0.29,0.31,2241229,0.31
2026-06-09 00:00:00,0.3033,0.3066,0.2734,0.2991,2342715,0.2991
2026-06-10 00:00:00,0.2947,0.3094,0.285,0.293,2729368,0.293
2026-06-11 00:00:00,0.29,0.306,0.2782,0.305,1834035,0.305
2026-06-12 00:00:00,0.3003,0.3115,0.275,0.293,2595963,0.293
2026-06-15 00:00:00,0.293,0.3078,0.2829,0.288,2722396,0.288
2026-06-16 00:00:00,0.288,0.3349,0.2861,0.3231,5322399,0.3231
2026-06-17 00:00:00,0.33,0.3392,0.3131,0.3193,3011708,0.3193
2026-06-18 00:00:00,0.3298,0.335,0.29,0.29,5134782,0.29
2026-06-22 00:00:00,0.31,0.3129,0.261,0.297,5858241,0.297
2026-06-23 00:00:00,0.2841,0.286,0.2538,0.2561,2711139,0.2561
2026-06-24 00:00:00,0.26,0.265,0.2227,0.2282,3788775,0.2282
2026-06-25 00:00:00,0.24,0.2645,0.2052,0.21,4549614,0.21
2026-06-26 00:00:00,0.22,0.2597,0.21,0.2559,3951238,0.2559
