date,open,high,low,close,volume,adj_close
2024-05-20,10.3075,10.4072,10.1777,10.2276,3701200,10.2276
2024-05-21,10.2875,10.4671,10.1777,10.3374,2846300,10.3374
2024-05-22,9.6389,9.9582,9.3296,9.4593,16006800,9.4593
2024-05-23,9.5292,9.5491,9.1799,9.2797,6589500,9.2797
2024-05-24,9.4294,9.6389,9.3296,9.609,5804800,9.609
2024-05-28,10.038,10.1279,9.8285,9.9682,5806000,9.9682
2024-05-29,9.8385,9.8884,9.6888,9.7886,4400200,9.7886
2024-05-30,9.6689,9.8884,9.6289,9.7487,2838000,9.7487
2024-05-31,9.8385,9.8684,9.3994,9.7387,5083000,9.7387
2024-06-03,9.8185,9.8385,9.3695,9.5092,4215900,9.5092
2024-06-04,9.2797,9.2897,8.8107,8.9804,4941000,8.9804
2024-06-05,9.1101,9.2398,9.0602,9.1699,3093400,9.1699
2024-06-06,9.2298,9.3795,9.1799,9.3396,1920400,9.3396
2024-06-07,8.9903,9.13,8.9404,9.0602,2496000,9.0602
2024-06-10,9.14,9.2897,9.0901,9.2198,2672500,9.2198
2024-06-11,9.0702,9.15,8.9704,9.0402,3268300,9.0402
2024-06-12,9.3695,9.4394,8.9604,9.0003,2351200,9.0003
2024-06-13,8.9903,9.0602,8.7608,8.7908,1816300,8.7908
2024-06-14,8.7409,8.8606,8.6012,8.691,2848800,8.691
2024-06-17,8.5713,8.6311,8.3617,8.5812,3840300,8.5812
2024-06-18,8.5413,8.7509,8.5014,8.681,2993600,8.681
2024-06-20,8.8407,8.9504,8.7908,8.8606,2606500,8.8606
2024-06-21,8.8008,8.8008,8.5713,8.7908,3888400,8.7908
2024-06-24,8.7908,9.0901,8.7608,9.0602,2351600,9.0602
2024-06-25,9.0103,9.0602,8.8307,8.8307,3695900,8.8307
2024-06-26,8.8307,9.1201,8.8008,9.1101,2835600,9.1101
2024-06-27,9.1899,9.2298,8.9604,8.9804,2264000,8.9804
2024-06-28,9.1699,9.2398,8.9205,9.0303,2421300,9.0303
2024-07-01,9.15,9.2697,8.9804,9.0901,1516600,9.0901
2024-07-02,9.0702,9.1799,8.9903,9.15,2193200,9.15
2024-07-03,9.3595,9.6289,9.3595,9.5391,1642400,9.5391
2024-07-05,9.7287,9.7786,9.5791,9.7187,2667700,9.7187
2024-07-08,9.6389,9.6888,9.2897,9.4493,3257600,9.4493
2024-07-09,9.4493,9.5391,9.2198,9.2398,2322100,9.2398
2024-07-10,9.2997,9.3496,9.1799,9.2997,2545600,9.2997
2024-07-11,9.4094,9.4493,9.0602,9.15,2312100,9.15
2024-07-12,9.2398,9.5691,9.1999,9.3595,2730400,9.3595
2024-07-15,9.2997,9.3296,9.0702,9.14,3303000,9.14
2024-07-16,9.0502,9.14,8.8107,8.9704,3794500,8.9704
2024-07-17,8.9604,8.9604,8.6411,8.681,3016900,8.681
2024-07-18,8.6311,8.681,8.0025,8.0324,6279900,8.0324
2024-07-19,7.8828,8.1222,7.8628,8.0524,2838800,8.0524
2024-07-22,8.0025,8.1622,7.9925,8.0923,3362200,8.0923
2024-07-23,7.9626,8.1422,7.9426,8.0723,4985200,8.0723
2024-07-24,8.0624,8.222,7.9426,7.9726,3044800,7.9726
2024-07-25,7.9127,8.0723,7.7431,7.9726,3210900,7.9726
2024-07-26,8.0723,8.1422,7.8528,7.9825,2433500,7.9825
2024-07-29,7.9626,8.0125,7.8528,7.9925,2663000,7.9925
2024-07-30,7.9526,8.0424,7.793,7.8229,3948200,7.8229
2024-07-31,8.0025,8.4116,8.0025,8.3218,4259900,8.3218
2024-08-01,8.2719,8.3018,7.7431,7.793,3343700,7.793
2024-08-02,7.783,7.8528,7.314,7.3639,6395000,7.3639
2024-08-05,6.7852,7.1843,6.5956,7.0246,4201100,7.0246
2024-08-06,7.0346,7.3439,6.9049,7.1943,2806700,7.1943
2024-08-07,7.304,7.3539,6.8849,6.9149,5866800,6.9149
2024-08-08,6.9947,7.1843,6.9448,7.1444,2354500,7.1444
2024-08-09,7.2442,7.324,7.1943,7.2541,3258100,7.2541
2024-08-12,7.3739,7.4038,7.2442,7.3439,3796400,7.3439
2024-08-13,6.7053,7.2841,6.5856,7.2641,4964700,7.2641
2024-08-14,7.4038,7.5235,7.314,7.4936,3402100,7.4936
2024-08-15,7.6632,7.9925,7.6034,7.8229,4512100,7.8229
2024-08-16,7.8129,7.8129,7.5136,7.7131,2882400,7.7131
2024-08-19,7.793,7.9327,7.753,7.8828,3104900,7.8828
2024-08-20,7.8828,7.9526,7.8329,7.8927,3714600,7.8927
2024-08-21,7.9925,8.0225,7.8828,7.9825,3168500,7.9825
2024-08-22,7.8828,7.9726,7.8628,7.8828,5743600,7.8828
2024-08-23,7.9726,8.1921,7.9027,8.1522,3666100,8.1522
2024-08-26,8.2719,8.4116,8.2021,8.232,2546300,8.232
2024-08-27,8.1721,8.252,8.1422,8.1821,7039200,8.1821
2024-08-28,8.0025,8.0324,7.783,7.8628,4363600,7.8628
2024-08-29,7.9526,7.9626,7.793,7.8329,1952200,7.8329
2024-08-30,7.9825,8.1522,7.9127,8.1422,2985000,8.1422
2024-09-03,7.7897,7.8296,7.3502,7.3802,6419000,7.3802
2024-09-04,7.3502,7.55,7.3103,7.3303,1609900,7.3303
2024-09-05,7.4002,7.4401,7.1905,7.2104,2104100,7.2104
2024-09-06,7.1705,7.2004,6.771,6.791,6598200,6.791
2024-09-09,6.8309,6.9907,6.781,6.781,3346400,6.781
2024-09-10,6.761,6.8209,6.6811,6.811,2160600,6.811
2024-09-11,6.8509,6.9807,6.7211,6.9508,2359400,6.9508
2024-09-12,7.0407,7.2504,7.0107,7.1905,3519600,7.1905
2024-09-13,7.2903,7.4002,7.2604,7.3303,3328300,7.3303
2024-09-16,7.3902,7.4401,7.2704,7.4102,3588600,7.4102
2024-09-17,7.4401,7.6099,7.3502,7.54,3781600,7.54
2024-09-18,7.5899,7.8396,7.54,7.5899,4111900,7.5899
2024-09-19,7.9295,8.0293,7.8296,7.8895,4136700,7.8895
2024-09-20,7.8995,7.9395,7.7497,7.8096,3642700,7.8096
2024-09-23,7.8696,8.1492,7.8596,8.0693,4051100,8.0693
2024-09-24,8.5187,8.8582,8.5187,8.8083,6436800,8.8083
2024-09-25,8.7384,8.8283,8.6785,8.7384,5325300,8.7384
2024-09-26,9.1379,9.5573,9.078,9.4275,6521600,9.4275
2024-09-27,9.3875,9.4974,9.2178,9.2677,5129100,9.2677
2024-09-30,9.1778,9.2677,9.048,9.1778,3504300,9.1778
2024-10-01,9.2877,9.4075,9.1079,9.3276,4365700,9.3276
2024-10-02,9.3276,9.6672,9.3276,9.4275,3028700,9.4275
2024-10-03,9.1778,9.2877,9.1179,9.1978,3315000,9.1978
2024-10-04,9.3576,9.5274,9.3276,9.3875,4451400,9.3875
2024-10-07,9.3476,9.4674,9.2877,9.4275,2422100,9.4275
2024-10-08,9.008,9.1279,8.7883,8.9781,3420800,8.9781
2024-10-09,8.8283,9.018,8.7784,8.9881,2773600,8.9881
2024-10-10,8.9881,9.2677,8.9182,9.2577,2058900,9.2577
2024-10-11,9.2477,9.4075,9.2477,9.3576,3274700,9.3576
2024-10-14,9.028,9.3076,9.028,9.1179,1499700,9.1179
2024-10-15,8.9881,8.9881,8.8283,8.9381,4181400,8.9381
2024-10-16,9.0879,9.2178,8.9781,9.1678,1489600,9.1678
2024-10-17,9.2278,9.2677,9.1379,9.1978,1633800,9.1978
2024-10-18,9.3776,9.5373,9.2677,9.4574,2586200,9.4574
2024-10-21,9.4974,9.6172,9.2977,9.3676,2436400,9.3676
2024-10-22,9.5074,9.5873,9.3776,9.5573,1404100,9.5573
2024-10-23,9.3576,9.4375,9.2278,9.3176,3114000,9.3176
2024-10-24,9.3875,9.5573,9.2178,9.5174,3992000,9.5174
2024-10-25,9.5673,9.8469,9.5274,9.6073,2813300,9.6073
2024-10-28,9.6272,9.7271,9.4974,9.5673,2201900,9.5673
2024-10-29,9.5373,9.5473,9.4075,9.5174,1513000,9.5174
2024-10-30,9.4375,9.4574,9.2477,9.2977,1016100,9.2977
2024-10-31,9.1778,9.2078,8.8882,8.9381,2622100,8.9381
2024-11-01,9.0879,9.1479,8.9681,9.048,3056800,9.048
2024-11-04,9.1179,9.2777,9.008,9.048,1453200,9.048
2024-11-05,9.1578,9.2977,9.1179,9.2977,1741200,9.2977
2024-11-06,8.9781,9.038,8.5487,9.008,4424400,9.008
2024-11-07,9.3776,9.7171,9.2877,9.7071,2908300,9.7071
2024-11-08,9.1279,9.3476,8.9082,9.3376,4303700,9.3376
2024-11-11,9.2477,9.3276,8.6785,8.7084,4617600,8.7084
2024-11-12,8.4588,8.5786,8.269,8.5586,5402600,8.5586
2024-11-13,8.9381,9.068,8.5886,8.6186,5207900,8.6186
2024-11-14,8.4588,8.6285,8.3589,8.5187,4789700,8.5187
2024-11-15,8.6086,8.7484,8.4388,8.5087,2600400,8.5087
2024-11-18,8.6485,8.8882,8.6286,8.8682,2729000,8.8682
2024-11-19,8.7983,9.0979,8.7983,9.0879,2428300,9.0879
2024-11-20,9.0879,9.2078,9.008,9.008,1509700,9.008
2024-11-21,9.048,9.1379,8.9381,9.1179,2709800,9.1179
2024-11-22,9.058,9.1279,8.9781,9.1079,1366100,9.1079
2024-11-25,9.1079,9.2977,8.8882,9.028,2956800,9.028
2024-11-26,8.9381,8.9581,8.6485,8.6885,3416500,8.6885
2024-11-27,8.7484,8.9781,8.7184,8.7584,3647700,8.7584
2024-11-29,8.7584,8.9481,8.7084,8.9282,2028900,8.9282
2024-12-02,8.9282,8.9381,8.5487,8.7284,3471500,8.7284
2024-12-03,8.9381,9.1179,8.8383,8.9082,2141900,8.9082
2024-12-04,8.9481,9.038,8.7883,8.8982,3616700,8.8982
2024-12-05,8.8882,9.1079,8.8582,9.048,2349800,9.048
2024-12-06,8.9681,9.048,8.7784,8.8283,2653000,8.8283
2024-12-09,9.1079,9.4774,9.1079,9.1878,3258500,9.1878
2024-12-10,9.1878,9.3975,9.1179,9.3576,6485500,9.3576
2024-12-11,9.4075,9.767,9.3776,9.6073,5337000,9.6073
