date,open,high,low,close,volume,adj_close
2025-08-01 00:00:00,10.05,10.105,10.05,10.09,9263800,10.09
2025-08-04 00:00:00,10.09,10.12,10.09,10.1,1098600,10.1
2025-08-05 00:00:00,10.11,10.15,10.1,10.13,318800,10.13
2025-08-06 00:00:00,10.1,10.15,10.1,10.12,196600,10.12
2025-08-07 00:00:00,10.14,10.14,10.12,10.12,90100,10.12
2025-08-08 00:00:00,10.11,10.11,10.1,10.1,13800,10.1
2025-08-11 00:00:00,10.1,10.13,10.1,10.125,106900,10.125
2025-08-12 00:00:00,10.13,10.14,10.12,10.14,39100,10.14
2025-08-13 00:00:00,10.15,10.17,10.14,10.15,99700,10.15
2025-08-14 00:00:00,10.15,10.17,10.15,10.17,15900,10.17
2025-08-15 00:00:00,10.15,10.16,10.15,10.155,25800,10.155
2025-08-18 00:00:00,10.15,10.151,10.14,10.15,27000,10.15
2025-08-19 00:00:00,10.15,10.17,10.15,10.15,3500,10.15
2025-08-20 00:00:00,10.15,10.17,10.1,10.16,157100,10.16
2025-08-21 00:00:00,10.1,10.15,10.1,10.15,27500,10.15
2025-08-22 00:00:00,10.14,10.15,10.14,10.15,6300,10.15
2025-08-25 00:00:00,10.104,10.17,10.104,10.16,9300,10.16
2025-08-26 00:00:00,10.12,10.12,10.109,10.12,240000,10.12
2025-08-27 00:00:00,10.12,10.14,10.12,10.13,15800,10.13
2025-08-28 00:00:00,10.13,10.14,10.11,10.125,44600,10.125
2025-08-29 00:00:00,10.13,10.13,10.13,10.13,4600,10.13
2025-09-02 00:00:00,10.13,10.144,10.12,10.13,39400,10.13
2025-09-03 00:00:00,10.135,10.135,10.105,10.12,29700,10.12
2025-09-04 00:00:00,10.12,10.125,10.1,10.11,278000,10.11
2025-09-05 00:00:00,10.12,10.12,10.1,10.11,93400,10.11
2025-09-08 00:00:00,10.11,10.12,10.1,10.12,86300,10.12
2025-09-09 00:00:00,10.11,10.11,10.1,10.11,96300,10.11
2025-09-10 00:00:00,10.11,10.12,10.11,10.12,39300,10.12
2025-09-11 00:00:00,10.12,10.15,10.12,10.15,720300,10.15
2025-09-12 00:00:00,10.164,10.181,10.14,10.15,143700,10.15
2025-09-15 00:00:00,10.16,10.16,10.13,10.14,12600,10.14
2025-09-16 00:00:00,10.15,10.17,10.13,10.13,24100,10.13
2025-09-17 00:00:00,10.13,10.15,10.13,10.15,9800,10.15
2025-09-18 00:00:00,10.14,10.16,10.14,10.15,7500,10.15
2025-09-19 00:00:00,10.15,10.29,10.14,10.29,177400,10.29
2025-09-22 00:00:00,10.51,10.51,10.2,10.295,46700,10.295
2025-09-23 00:00:00,10.3,10.4,10.3,10.37,61100,10.37
2025-09-24 00:00:00,10.3,10.4,10.3,10.38,158700,10.38
2025-09-25 00:00:00,10.4,10.4,10.37,10.38,15400,10.38
2025-09-26 00:00:00,10.35,10.39,10.33,10.39,11500,10.39
2025-09-29 00:00:00,10.35,10.371,10.35,10.35,1500,10.35
