date,open,high,low,close,volume,adj_close
2024-05-20,9.41,9.63,9.41,9.59,377900,9.59
2024-05-21,9.58,9.76,9.43,9.73,309300,9.73
2024-05-22,9.73,10.04,9.73,9.88,415000,9.88
2024-05-23,9.86,9.95,9.51,9.55,473500,9.55
2024-05-24,9.58,9.64,9.49,9.52,212200,9.52
2024-05-28,9.58,9.7,9.53,9.65,240600,9.65
2024-05-29,9.53,9.55,9.12,9.23,355500,9.23
2024-05-30,9.23,9.44,8.89,8.99,3503800,8.99
2024-05-31,9.05,9.14,8.79,8.91,517000,8.91
2024-06-03,8.98,9.21,8.9,9.19,545200,9.19
2024-06-04,9.16,9.18,8.9,8.96,489600,8.96
2024-06-05,8.98,9.13,8.92,9.02,296700,9.02
2024-06-06,9.0,9.12,8.91,9.09,455200,9.09
2024-06-07,9.1,9.58,9.1,9.39,424300,9.39
2024-06-10,9.23,9.53,9.15,9.38,616800,9.38
2024-06-11,9.36,9.44,9.28,9.37,373800,9.37
2024-06-12,9.43,9.54,9.16,9.21,446000,9.21
2024-06-13,9.23,9.43,9.03,9.36,674000,9.36
2024-06-14,9.31,9.37,8.93,9.12,806400,9.12
2024-06-17,9.08,9.13,8.93,9.09,211000,9.09
2024-06-18,9.05,9.08,8.91,8.94,391600,8.94
2024-06-20,8.9,8.91,8.8,8.85,364600,8.85
2024-06-21,8.87,8.94,8.73,8.75,822400,8.75
2024-06-24,8.75,8.9,8.75,8.89,265200,8.89
2024-06-25,8.88,8.88,8.55,8.69,502500,8.69
2024-06-26,8.65,8.85,8.59,8.78,331800,8.78
2024-06-27,8.79,8.92,8.57,8.66,281800,8.66
2024-06-28,8.72,8.79,8.65,8.79,724400,8.79
2024-07-01,8.86,8.86,8.42,8.5,466800,8.5
2024-07-02,8.45,8.53,8.37,8.46,206500,8.46
2024-07-03,8.49,8.6,8.35,8.47,186700,8.47
2024-07-05,8.46,8.5,8.25,8.33,379800,8.33
2024-07-08,8.37,8.5,8.3,8.32,295300,8.32
2024-07-09,8.31,8.35,8.21,8.25,257600,8.25
2024-07-10,8.23,8.34,8.23,8.32,212400,8.32
2024-07-11,8.39,8.78,8.39,8.75,349400,8.75
2024-07-12,8.79,9.03,8.68,8.68,334300,8.68
2024-07-15,8.78,8.93,8.67,8.75,446700,8.75
2024-07-16,8.8,9.23,8.8,9.14,475200,9.14
2024-07-17,9.19,9.28,8.99,9.04,237900,9.04
2024-07-18,9.0,9.15,8.91,8.93,233300,8.93
2024-07-19,8.95,8.95,8.75,8.8,214700,8.8
2024-07-22,8.83,9.05,8.77,9.05,164700,9.05
2024-07-23,8.99,9.23,8.94,9.14,303300,9.14
2024-07-24,9.12,9.2,8.78,8.79,243800,8.79
2024-07-25,8.83,9.09,8.82,8.99,244200,8.99
2024-07-26,8.94,9.1,8.83,9.04,314100,9.04
2024-07-29,8.98,9.06,8.8,8.84,298000,8.84
2024-07-30,8.84,9.0,8.75,8.85,405300,8.85
2024-07-31,8.85,8.85,8.37,8.56,673100,8.56
2024-08-01,8.61,8.65,8.15,8.26,708500,8.26
2024-08-02,8.2,8.23,7.7,7.9,716000,7.9
2024-08-05,7.62,7.71,7.47,7.6,508800,7.6
2024-08-06,7.6,7.68,7.39,7.54,770700,7.54
2024-08-07,7.15,8.36,6.94,8.05,1124600,8.05
2024-08-08,8.1,8.5,7.68,7.96,473100,7.96
2024-08-09,7.94,7.98,7.64,7.85,407400,7.85
2024-08-12,7.86,7.95,7.45,7.47,716300,7.47
2024-08-13,7.52,8.07,7.52,8.04,547200,8.04
2024-08-14,8.05,8.08,7.83,7.92,288500,7.92
2024-08-15,8.05,8.18,8.0,8.07,405100,8.07
2024-08-16,8.02,8.08,7.85,7.98,482300,7.98
2024-08-19,7.99,8.1,7.96,8.0,439100,8.0
2024-08-20,8.02,8.06,7.85,7.98,372000,7.98
2024-08-21,8.03,8.18,7.98,8.17,388800,8.17
2024-08-22,8.19,8.19,7.98,8.0,242000,8.0
2024-08-23,8.06,8.37,8.02,8.33,379100,8.33
2024-08-26,8.42,8.48,8.25,8.28,248100,8.28
2024-08-27,8.25,8.3,8.19,8.24,197300,8.24
2024-08-28,8.18,8.3,7.96,8.03,292000,8.03
2024-08-29,8.14,8.22,8.04,8.11,176300,8.11
2024-08-30,8.1,8.24,8.03,8.22,301900,8.22
2024-09-03,8.15,8.16,7.92,7.98,418500,7.98
2024-09-04,7.95,8.14,7.82,8.03,334600,8.03
2024-09-05,8.06,8.26,8.0,8.06,400000,8.06
2024-09-06,8.02,8.11,7.78,7.79,251700,7.79
2024-09-09,7.87,7.92,7.61,7.76,350000,7.76
2024-09-10,7.78,7.91,7.73,7.87,261000,7.87
2024-09-11,7.85,8.0,7.58,7.82,349000,7.82
2024-09-12,7.83,7.91,7.66,7.84,292000,7.84
2024-09-13,7.9,8.11,7.86,7.95,434800,7.95
2024-09-16,7.98,8.02,7.81,7.91,258300,7.91
2024-09-17,8.03,8.6,7.98,8.47,701100,8.47
2024-09-18,8.45,8.66,8.36,8.37,443600,8.37
2024-09-19,8.58,8.58,8.33,8.42,320400,8.42
2024-09-20,8.41,8.45,8.18,8.19,615400,8.19
2024-09-23,8.24,8.33,8.03,8.03,205200,8.03
2024-09-24,8.04,8.29,8.04,8.09,423000,8.09
2024-09-25,8.12,8.15,7.9,8.03,358600,8.03
2024-09-26,8.14,8.38,8.13,8.26,254700,8.26
2024-09-27,8.34,8.39,8.18,8.26,265600,8.26
2024-09-30,8.25,8.4,8.2,8.34,327100,8.34
2024-10-01,8.26,8.36,7.96,7.99,1278800,7.99
2024-10-02,8.0,8.26,7.92,7.97,312400,7.97
2024-10-03,7.91,7.96,7.65,7.68,305600,7.68
2024-10-04,7.79,7.79,7.59,7.6,274900,7.6
2024-10-07,7.59,7.89,7.57,7.75,829200,7.75
2024-10-08,7.76,7.91,7.6,7.64,431400,7.64
2024-10-09,7.64,7.86,7.59,7.75,353000,7.75
2024-10-10,7.69,7.73,7.6,7.69,292300,7.69
2024-10-11,7.69,8.04,7.67,7.9,285900,7.9
2024-10-14,7.91,7.93,7.78,7.84,185600,7.84
2024-10-15,7.83,7.96,7.77,7.77,256000,7.77
2024-10-16,7.79,8.18,7.79,8.18,416500,8.18
2024-10-17,8.15,8.26,8.05,8.12,350300,8.12
2024-10-18,8.2,8.27,8.08,8.12,388500,8.12
2024-10-21,8.09,8.18,8.04,8.14,317200,8.14
2024-10-22,8.12,8.17,8.01,8.11,246200,8.11
2024-10-23,8.05,8.1,7.93,8.02,233300,8.02
