date,open,high,low,close,volume,adj_close
2024-05-20,13.3,13.338,12.996,13.338,48545,13.338
2024-05-21,13.3,13.49,13.034,13.49,41118,13.49
2024-05-22,13.3,13.68,12.996,13.68,52818,13.68
2024-05-23,13.528,13.528,12.844,13.262,61832,13.262
2024-05-24,13.3,13.528,12.958,13.528,61532,13.528
2024-05-28,13.566,13.68,12.996,13.3,73168,13.3
2024-05-29,13.262,13.3,12.806,13.3,47521,13.3
2024-05-30,13.072,13.338,12.92,13.3,50421,13.3
2024-05-31,13.3,13.376,12.996,13.3,43242,13.3
2024-06-03,13.224,13.3,12.958,13.11,67387,13.11
2024-06-04,13.072,13.148,12.54,12.616,71939,12.616
2024-06-05,11.248,11.59,10.83,11.4,402379,11.4
2024-06-06,11.438,11.438,10.26,11.02,320521,11.02
2024-06-07,10.716,11.02,10.26,11.02,180108,11.02
2024-06-10,10.716,11.02,10.298,10.792,130445,10.792
2024-06-11,10.64,11.856,10.602,11.514,164316,11.514
2024-06-12,11.59,12.16,11.02,11.362,126295,11.362
2024-06-13,11.286,11.324,10.64,11.02,82742,11.02
2024-06-14,11.02,11.02,10.45,10.982,144655,10.982
2024-06-17,10.488,10.564,10.184,10.336,112026,10.336
2024-06-18,10.45,10.488,10.222,10.336,57445,10.336
2024-06-20,10.26,10.336,9.88,10.146,133503,10.146
2024-06-21,10.146,10.146,9.5,10.032,175042,10.032
2024-06-24,10.108,10.184,9.576,10.032,170484,10.032
2024-06-25,9.842,10.108,9.5,10.032,145311,10.032
2024-06-26,9.728,10.032,9.538,10.032,147063,10.032
2024-06-27,10.032,10.412,9.424,10.07,276353,10.07
2024-06-28,11.02,11.02,9.804,10.298,220397,10.298
2024-07-01,10.64,10.64,9.576,10.07,114495,10.07
2024-07-02,9.918,10.07,9.652,10.07,90168,10.07
2024-07-03,9.956,10.07,9.576,10.07,75634,10.07
2024-07-05,9.918,10.07,9.576,10.07,118811,10.07
2024-07-08,9.69,10.07,9.424,10.07,228089,10.07
2024-07-09,9.88,10.07,9.69,10.07,80600,10.07
2024-07-10,10.032,10.184,9.88,10.07,71234,10.07
2024-07-11,10.032,11.324,9.956,11.02,229426,11.02
2024-07-12,11.134,12.54,10.488,12.16,292384,12.16
2024-07-15,12.54,12.768,11.628,12.35,151403,12.35
2024-07-16,12.464,12.464,11.59,11.97,129274,11.97
2024-07-17,11.818,11.894,11.438,11.742,64039,11.742
2024-07-18,11.552,11.932,11.134,11.4,65971,11.4
2024-07-19,11.4,11.4,10.374,11.4,86674,11.4
2024-07-22,11.286,11.4,9.88,10.83,165555,10.83
2024-07-23,10.45,11.248,10.336,11.21,81424,11.21
2024-07-24,11.21,11.21,10.564,10.83,60792,10.83
2024-07-25,10.716,11.096,10.336,10.83,90708,10.83
2024-07-26,10.716,10.906,10.678,10.906,57139,10.906
2024-07-29,11.096,11.248,10.602,10.982,135866,10.982
2024-07-30,10.982,10.982,10.336,10.374,155182,10.374
2024-07-31,10.45,10.64,10.26,10.64,112732,10.64
2024-08-01,10.64,10.716,10.146,10.526,71339,10.526
2024-08-02,10.222,10.26,9.804,10.26,92013,10.26
2024-08-05,10.184,10.184,9.12,10.07,208521,10.07
2024-08-06,10.108,10.108,9.69,10.07,74932,10.07
2024-08-07,10.07,10.26,9.462,10.07,171268,10.07
2024-08-08,10.222,10.374,9.614,10.298,74605,10.298
2024-08-09,10.07,10.26,9.728,10.07,69387,10.07
2024-08-12,9.728,10.07,9.5,10.07,137082,10.07
2024-08-13,9.918,10.07,9.5,10.07,162303,10.07
2024-08-14,9.88,10.07,9.5,10.07,124134,10.07
2024-08-15,9.88,10.07,9.614,10.07,139461,10.07
2024-08-16,9.842,10.032,9.31,10.032,239929,10.032
2024-08-19,9.88,10.108,9.614,10.07,162253,10.07
2024-08-20,10.032,10.146,9.652,10.032,146934,10.032
2024-08-21,9.766,10.146,9.69,10.07,113084,10.07
2024-08-22,10.032,10.146,9.804,10.146,84039,10.146
2024-08-23,10.146,10.412,10.07,10.184,96355,10.184
2024-08-26,10.298,10.298,9.994,10.146,107879,10.146
2024-08-27,10.146,10.184,9.766,10.108,82097,10.108
2024-08-28,9.614,10.108,8.74,10.032,609705,10.032
2024-08-29,9.614,9.88,9.272,9.728,339971,9.728
2024-08-30,9.5,10.07,9.386,9.69,171321,9.69
2024-09-03,9.69,9.842,9.158,9.158,100692,9.158
2024-09-04,9.158,9.196,8.778,8.892,106763,8.892
2024-09-05,8.74,8.854,6.612,8.284,265392,8.284
2024-09-06,8.17,8.208,7.98,7.98,98863,7.98
2024-09-09,7.98,8.132,7.714,7.828,122611,7.828
2024-09-10,7.752,7.98,6.916,7.98,241329,7.98
2024-09-11,7.41,7.98,7.258,7.866,110368,7.866
2024-09-12,7.942,7.98,6.992,7.638,129176,7.638
