date,open,high,low,close,volume,adj_close
2024-05-20,185.8707,186.2682,183.6123,184.8499,2130806,184.8499
2024-05-21,185.3919,185.41,183.5129,183.8471,1849111,183.8471
2024-05-22,183.4948,184.2356,182.3746,183.2057,2136111,183.2057
2024-05-23,182.0585,182.0765,179.9716,180.1252,2776000,180.1252
2024-05-24,180.9924,181.408,179.9445,180.3962,2504597,180.3962
2024-05-28,179.014,181.4351,178.9598,179.9355,2564755,179.9355
2024-05-29,178.7159,179.2399,177.8668,178.0294,3019818,178.0294
2024-05-30,178.6888,181.8326,178.3275,181.4983,2453881,181.4983
2024-05-31,180.9744,182.736,179.8903,182.6547,3356474,182.6547
2024-06-03,184.1272,184.1272,181.5706,182.8986,2592554,182.8986
2024-06-04,181.6339,188.0388,181.6339,187.2077,3565809,187.2077
2024-06-05,187.8401,189.2132,185.9791,189.0506,2888891,189.0506
2024-06-06,188.9603,189.8998,187.56,188.3098,3470319,188.3098
2024-06-07,188.3731,190.5864,187.5962,188.608,2719555,188.608
2024-06-10,189.5023,190.6676,188.9241,190.3786,2809740,190.3786
2024-06-11,189.5113,189.5836,187.1354,189.2403,2445287,189.2403
2024-06-12,190.3876,191.1826,187.6684,188.355,2621943,188.355
2024-06-13,187.0812,188.7796,186.3224,188.4725,2079242,188.4725
2024-06-14,187.1806,188.5176,186.1056,188.3821,2375791,188.3821
2024-06-17,187.9033,191.6704,187.4877,191.4717,3289737,191.4717
2024-06-18,190.6496,192.628,190.0985,192.3028,2592447,192.3028
2024-06-20,192.7816,194.3986,192.3028,193.4501,4288562,193.4501
2024-06-21,194.9407,195.2026,192.89,194.3083,8412669,194.3083
2024-06-24,194.4167,197.2624,194.1457,195.031,3112125,195.031
2024-06-25,195.8802,195.8802,193.0707,193.7301,3146608,193.7301
2024-06-26,192.9171,193.3868,191.1555,192.8087,2306508,192.8087
2024-06-27,193.5946,194.5432,192.4292,193.6669,2029905,193.6669
2024-06-28,193.4501,195.2659,190.7399,192.908,5097893,192.908
2024-07-01,192.5467,194.7058,190.496,190.5683,2279559,190.5683
2024-07-02,191.3091,192.6732,190.5773,192.628,2024706,192.628
2024-07-03,192.4202,192.6641,191.5801,191.9324,1152989,191.9324
2024-07-05,192.0318,192.3389,190.3786,191.7337,1437973,191.7337
