date,open,high,low,close,volume,adj_close
2024-06-17,14.1647,14.3984,14.1647,14.2732,16100,14.2732
2024-06-18,14.2147,14.2648,14.1897,14.2231,35700,14.2231
2024-06-20,14.1897,14.1897,14.0478,14.173,37300,14.173
2024-06-21,14.1563,14.2565,14.0645,14.0979,17300,14.0979
2024-06-24,14.148,14.148,14.0228,14.0562,24100,14.0562
2024-06-25,14.0979,14.173,14.0562,14.1062,17000,14.1062
2024-06-26,14.0645,14.4652,13.9643,14.4234,42500,14.4234
2024-06-27,14.4735,14.4735,14.0729,14.39,28900,14.39
2024-06-28,14.4568,14.4652,14.0645,14.1647,55400,14.1647
2024-07-01,14.2314,14.34,14.2314,14.2648,9500,14.2648
2024-07-02,14.2147,14.4067,14.2064,14.3066,20400,14.3066
2024-07-03,14.2565,14.3733,14.2565,14.2982,24100,14.2982
2024-07-05,14.2815,14.3399,14.2565,14.2732,21500,14.2732
2024-07-08,14.2565,14.3233,14.1814,14.2982,26100,14.2982
2024-07-09,14.3149,14.3149,14.0478,14.0729,104000,14.0729
2024-07-10,14.1062,14.2732,14.0645,14.1814,84400,14.1814
2024-07-11,14.1847,14.294,14.1847,14.2772,88600,14.2772
2024-07-12,14.2856,14.3529,14.2268,14.2604,49600,14.2604
2024-07-15,14.2436,14.3697,14.1763,14.21,29000,14.21
2024-07-16,14.2099,14.3361,14.1595,14.2352,111600,14.2352
2024-07-17,14.1259,14.3613,14.1259,14.3445,29500,14.3445
2024-07-18,14.3865,14.3949,14.1847,14.252,27100,14.252
2024-07-19,14.294,14.3024,14.2184,14.2604,9100,14.2604
2024-07-22,14.294,14.294,14.1595,14.1679,25500,14.1679
2024-07-23,14.2436,14.294,14.0922,14.1006,33300,14.1006
2024-07-24,13.9829,14.0418,13.8736,13.9073,85300,13.9073
2024-07-25,13.9745,14.0754,13.9157,13.9409,23600,13.9409
2024-07-26,13.9661,14.0418,13.9493,13.9493,45300,13.9493
2024-07-29,13.9829,14.025,13.9241,14.025,17300,14.025
2024-07-30,14.1006,14.2688,14.0502,14.2184,43900,14.2184
2024-07-31,14.294,14.3529,14.2099,14.2436,32600,14.2436
2024-08-01,14.3445,14.3445,14.1763,14.2268,32600,14.2268
2024-08-02,14.2268,14.2268,14.0418,14.067,46700,14.067
2024-08-05,13.8736,13.9157,13.5793,13.5793,75900,13.5793
2024-08-06,13.5793,13.84,13.5793,13.8063,45100,13.8063
2024-08-07,13.9325,13.9493,13.7979,13.8148,41800,13.8148
2024-08-08,13.8568,13.8904,13.8316,13.882,33600,13.882
2024-08-09,13.882,13.9493,13.8568,13.9073,17700,13.9073
2024-08-12,13.9106,13.953,13.8598,13.8683,36000,13.8683
2024-08-13,13.9276,14.0547,13.9276,14.0377,33100,14.0377
2024-08-14,14.0377,14.1733,14.0377,14.1733,31300,14.1733
2024-08-15,14.1733,14.2156,14.0716,14.1478,29000,14.1478
2024-08-16,14.1817,14.1902,14.0547,14.1224,36000,14.1224
2024-08-19,14.1224,14.1733,14.0631,14.0716,32700,14.0716
2024-08-20,14.0716,14.2156,14.0716,14.1987,50800,14.1987
2024-08-21,14.2326,14.2749,14.1733,14.2749,42300,14.2749
2024-08-22,14.3258,14.3427,14.2156,14.258,44200,14.258
2024-08-23,14.3173,14.3851,14.2156,14.3766,34500,14.3766
2024-08-26,14.402,14.5545,14.3851,14.5121,65100,14.5121
2024-08-27,14.563,14.6392,14.5545,14.6138,32200,14.6138
2024-08-28,14.6646,14.6646,14.3766,14.3766,33200,14.3766
2024-08-29,14.4698,14.4782,14.3851,14.4613,39700,14.4613
2024-08-30,14.563,14.6392,14.4105,14.4698,39900,14.4698
2024-09-03,14.5037,14.546,14.4274,14.4952,28800,14.4952
2024-09-04,14.5969,14.6053,14.5291,14.5714,25600,14.5714
2024-09-05,14.5884,14.6053,14.4783,14.4783,30600,14.4783
2024-09-06,14.5037,14.5545,14.4359,14.4783,34400,14.4783
2024-09-09,14.4782,14.5799,14.4782,14.5375,50500,14.5375
2024-09-10,14.5884,14.6138,14.5375,14.6138,25300,14.6138
2024-09-11,14.6138,14.6731,14.5969,14.6307,27200,14.6307
2024-09-12,14.6646,14.7409,14.6477,14.7409,32300,14.7409
2024-09-13,14.8125,14.9064,14.7699,14.8211,36500,14.8211
2024-09-16,14.8467,14.8637,14.7102,14.8552,52400,14.8552
2024-09-17,14.932,14.9747,14.8552,14.9405,38100,14.9405
2024-09-18,14.9405,15.1453,14.932,15.1453,63800,15.1453
2024-09-19,15.1453,15.1965,15.0344,15.1965,59500,15.1965
2024-09-20,15.0771,15.2818,15.0771,15.2562,38400,15.2562
2024-09-23,15.2562,15.3842,15.2392,15.3586,51700,15.3586
2024-09-24,15.3842,15.4525,15.2989,15.4354,72200,15.4354
2024-09-25,15.4866,15.5719,15.444,15.5634,42000,15.5634
2024-09-26,15.6743,15.717,15.4866,15.4866,58800,15.4866
2024-09-27,15.5634,15.6573,15.5293,15.589,31800,15.589
2024-09-30,15.5293,15.9303,15.4951,15.9132,70500,15.9132
2024-10-01,15.973,16.0071,15.8706,15.9644,44700,15.9644
2024-10-02,16.0071,16.0583,15.9218,16.0498,28300,16.0498
2024-10-03,16.0498,16.101,15.9559,15.973,32100,15.973
2024-10-04,15.9815,16.0498,15.9388,15.9986,27500,15.9986
2024-10-07,16.0156,16.0924,15.9303,15.9986,55400,15.9986
2024-10-08,16.0242,16.1778,15.9388,16.1436,36500,16.1436
2024-10-09,16.1692,16.1863,16.1095,16.1692,20800,16.1692
2024-10-10,16.1522,16.2119,16.1095,16.1948,19700,16.1948
2024-10-11,16.1553,16.2412,16.0351,16.0522,47700,16.0522
2024-10-14,16.0437,16.1038,16.0437,16.0608,16400,16.0608
2024-10-15,16.0866,16.1983,15.9406,15.9492,32800,15.9492
2024-10-16,15.8977,16.0952,15.8977,16.0694,48300,16.0694
2024-10-17,16.1381,16.1381,15.9062,15.9578,29100,15.9578
2024-10-18,15.9664,16.0952,15.9664,16.0007,16400,16.0007
2024-10-21,15.9921,16.0007,15.7173,15.8375,38200,15.8375
2024-10-22,15.8547,16.0265,15.8547,15.9578,56900,15.9578
2024-10-23,15.9578,15.9578,15.8032,15.8375,34900,15.8375
2024-10-24,15.8204,15.8375,15.7602,15.8032,21200,15.8032
2024-10-25,15.8032,15.932,15.8032,15.8891,33000,15.8891
2024-10-28,15.932,15.932,15.3222,15.348,57200,15.348
2024-10-29,15.3136,15.348,15.2707,15.2879,27300,15.2879
2024-10-30,15.2449,15.4253,15.2449,15.3394,28100,15.3394
2024-10-31,15.3222,15.4339,15.2449,15.3394,42500,15.3394
2024-11-01,15.3737,15.4081,15.2449,15.2535,14900,15.2535
2024-11-04,15.2879,15.4253,15.2449,15.2449,18800,15.2449
2024-11-05,15.2707,15.4167,15.1504,15.202,23900,15.202
2024-11-06,15.0388,15.2879,15.0388,15.1247,28300,15.1247
2024-11-07,15.0731,15.305,15.0474,15.2707,30800,15.2707
2024-11-08,15.2106,15.5885,15.1676,15.494,42200,15.494
2024-11-11,15.3652,15.6228,15.348,15.4167,29700,15.4167
2024-11-12,15.4288,15.4547,15.351,15.4288,18300,15.4288
2024-11-13,15.4288,15.4807,15.2904,15.2904,27300,15.2904
2024-11-14,15.2385,15.2558,15.0223,15.0396,22700,15.0396
2024-11-15,15.005,15.005,14.858,14.9185,21500,14.9185
2024-11-18,14.9791,15.1088,14.8839,15.0396,28500,15.0396
2024-11-19,15.005,15.1261,14.9358,14.9791,21000,14.9791
2024-11-20,14.9618,14.9704,14.7629,14.7715,26600,14.7715
2024-11-21,14.7802,14.8753,14.7369,14.7542,36000,14.7542
2024-11-22,14.7888,14.8926,14.7542,14.858,59600,14.858
2024-11-25,14.9445,15.0569,14.8839,14.8926,50000,14.8926
2024-11-26,14.8926,14.9445,14.7369,14.7715,22300,14.7715
2024-11-27,14.8148,15.0223,14.7975,14.8839,27800,14.8839
2024-11-29,14.9618,15.031,14.858,15.005,19700,15.005
2024-12-02,15.0137,15.031,14.8407,14.9445,35700,14.9445
2024-12-03,14.8839,15.0483,14.8321,15.005,27700,15.005
2024-12-04,14.9618,15.1347,14.8839,15.0569,51400,15.0569
2024-12-05,15.0483,15.0569,14.9099,14.9704,43200,14.9704
2024-12-06,15.005,15.0396,14.8926,15.005,45000,15.005
2024-12-09,15.0223,15.0483,14.9791,14.9877,27000,14.9877
2024-12-10,14.9877,15.0396,14.8321,14.8753,41300,14.8753
2024-12-11,14.9012,14.9618,14.7888,14.7975,57800,14.7975
2024-12-12,14.7574,14.7922,14.5832,14.6877,81400,14.6877
2024-12-13,14.6964,14.7225,14.5657,14.6093,42500,14.6093
2024-12-16,14.6267,14.7138,14.4438,14.4438,58900,14.4438
2024-12-17,14.4525,14.4873,14.2434,14.287,69300,14.287
2024-12-18,14.3218,14.3915,14.165,14.1998,42400,14.1998
2024-12-19,14.2434,14.2434,14.0692,14.1127,66500,14.1127
2024-12-20,14.0518,14.226,14.0518,14.1911,33000,14.1911
2024-12-23,14.1998,14.2608,14.1824,14.2521,51300,14.2521
2024-12-24,14.2173,14.287,14.1998,14.2608,31400,14.2608
2024-12-26,14.3218,14.3654,14.287,14.3479,39100,14.3479
2024-12-27,14.2086,14.287,14.165,14.226,52400,14.226
2024-12-30,14.1998,14.3479,14.1998,14.3131,59700,14.3131
2024-12-31,14.3131,14.4176,14.2521,14.4176,70800,14.4176
2025-01-02,14.4176,14.5396,14.4002,14.5396,45500,14.5396
2025-01-03,14.5744,14.6093,14.4525,14.5222,93900,14.5222
2025-01-06,14.4612,14.5048,14.3915,14.4351,92700,14.4351
2025-01-07,14.4089,14.4525,14.2957,14.3305,39700,14.3305
2025-01-08,14.3305,14.4786,14.2957,14.4002,43900,14.4002
2025-01-10,14.2695,14.3654,14.2173,14.287,62900,14.287
2025-01-13,14.2378,14.2729,14.0886,14.0974,67000,14.0974
2025-01-14,14.1061,14.2993,14.0974,14.2905,30600,14.2905
2025-01-15,14.4397,14.5099,14.3431,14.4573,58400,14.4573
2025-01-16,14.4836,14.624,14.4836,14.5538,28600,14.5538
2025-01-17,14.6591,14.6591,14.545,14.6328,37300,14.6328
2025-01-21,14.7118,14.7469,14.4836,14.6679,81000,14.6679
2025-01-22,14.7294,14.7645,14.5099,14.5538,57600,14.5538
2025-01-23,14.5801,14.6591,14.4836,14.5626,52200,14.5626
2025-01-24,14.6153,14.7206,14.6153,14.6504,31500,14.6504
2025-01-27,14.624,14.7381,14.6153,14.6943,27200,14.6943
2025-01-28,14.7118,14.782,14.6767,14.7469,36400,14.7469
2025-01-29,14.7294,14.7908,14.6328,14.6943,21400,14.6943
2025-01-30,14.7557,14.7908,14.6504,14.7469,33200,14.7469
2025-01-31,14.8172,14.8786,14.7382,14.7996,52200,14.7996
2025-02-03,14.703,14.8084,14.703,14.782,47400,14.782
2025-02-04,14.861,15.0103,14.8171,14.9751,50500,14.9751
2025-02-05,14.9927,15.1858,14.9927,15.1595,51600,15.1595
2025-02-06,15.177,15.2297,15.1595,15.1858,40800,15.1858
