date,open,high,low,close,volume,adj_close
2024-05-20,383.1184,391.1988,382.1285,387.9461,333212,387.9461
2024-05-21,386.1028,394.5538,385.6376,394.0222,376146,394.0222
2024-05-22,394.8805,397.4163,389.4481,391.2329,410264,391.2329
2024-05-23,399.6303,399.6303,388.7947,390.716,341532,390.716
2024-05-24,392.3837,403.4144,391.8278,402.8,346289,402.8
2024-05-28,404.2044,405.4918,386.8148,387.8388,564225,387.8388
2024-05-29,384.5033,384.5033,377.4031,379.6658,315029,379.6658
2024-05-30,378.71,385.0007,375.628,381.0312,324491,381.0312
2024-05-31,380.1311,383.4478,370.0638,380.4736,717927,380.4736
2024-06-03,383.3793,384.1913,367.5201,377.4015,567562,377.4015
2024-06-04,376.5699,379.9746,358.0007,363.7241,1034275,363.7241
2024-06-05,369.5258,373.5566,366.8842,373.3609,547733,373.3609
2024-06-06,373.4294,373.7327,357.1006,358.0202,648288,358.0202
2024-06-07,358.304,365.2405,355.9363,358.7442,564349,358.7442
2024-06-10,357.3648,363.3914,357.3648,361.0238,557334,361.0238
2024-06-11,358.4507,361.1999,355.9363,359.7519,487531,359.7519
2024-06-12,365.446,377.2058,364.6437,375.1904,620873,375.1904
2024-06-13,373.3511,377.7342,366.9918,376.6776,409624,376.6776
2024-06-14,370.915,373.6788,364.5556,366.6298,442020,366.6298
2024-06-17,366.0134,374.4127,361.288,373.3707,455344,373.3707
2024-06-18,370.3476,381.8237,363.9397,379.3484,464506,379.3484
2024-06-20,380.092,382.2737,370.2693,371.8445,517439,371.8445
2024-06-21,375.0143,375.9144,367.2853,369.2225,736091,369.2225
2024-06-24,369.2518,373.449,365.7297,371.3455,461339,371.3455
2024-06-25,371.3259,372.5195,365.2699,369.8584,323539,369.8584
2024-06-26,366.1504,366.2776,361.3026,363.7241,492891,363.7241
2024-06-27,367.1581,368.9778,359.2028,361.8358,538539,361.8358
2024-06-28,362.8533,369.6089,355.7113,357.5702,1829822,357.5702
2024-07-01,363.9099,363.9099,349.9586,351.3674,652717,351.3674
2024-07-02,351.6805,359.4682,350.4037,357.893,405634,357.893
2024-07-03,358.9692,364.3209,357.8735,363.2545,334883,363.2545
2024-07-05,362.6479,366.3118,359.7324,364.6829,477851,364.6829
2024-07-08,367.706,372.7543,366.2874,368.8506,529666,368.8506
2024-07-09,368.0875,369.7948,361.9728,363.1175,356368,363.1175
2024-07-10,364.4089,368.156,361.5521,367.1973,285488,367.1973
2024-07-11,369.2322,375.4056,367.4712,370.8171,546519,370.8171
2024-07-12,373.087,377.5776,370.5726,372.2358,488063,372.2358
2024-07-15,372.0401,375.1317,365.7395,366.4929,478995,366.4929
2024-07-16,370.1323,383.3989,368.7528,382.939,480079,382.939
2024-07-17,378.0179,379.7985,358.5779,358.6757,725598,358.6757
2024-07-18,363.7535,372.0353,357.4528,360.7988,838365,360.7988
2024-07-19,362.8827,366.7276,361.1706,362.2174,533367,362.2174
2024-07-22,367.4516,371.7271,364.2622,371.052,410683,371.052
2024-07-23,369.0855,376.159,368.8703,371.3846,374243,371.3846
2024-07-24,364.7025,365.9792,347.9823,349.2542,668557,349.2542
2024-07-25,349.3715,356.6212,339.6173,347.8551,737031,347.8551
2024-07-26,356.7386,361.5619,354.4688,359.1454,342262,359.1454
2024-07-29,360.1922,364.5068,356.0048,358.9497,526629,358.9497
2024-07-30,370.5628,380.6399,361.014,371.5803,793266,371.5803
2024-07-31,383.2815,394.8554,382.7238,387.0872,868384,387.0872
2024-08-01,387.0872,390.169,363.005,371.5509,658817,371.5509
2024-08-02,361.014,361.5717,346.9452,358.2648,599728,358.2648
2024-08-05,342.4546,361.1363,338.639,356.5332,556459,356.5332
2024-08-06,356.719,360.8379,352.6686,353.2165,409256,353.2165
2024-08-07,358.4507,362.0021,351.2109,351.2696,403183,351.2696
2024-08-08,355.7016,367.4419,351.8923,365.6906,463829,365.6906
2024-08-09,363.3914,368.9485,361.6597,368.8409,414487,368.8409
2024-08-12,369.4083,371.7515,362.4816,365.1916,317600,365.1916
2024-08-13,369.7899,371.8347,363.6165,366.9624,377122,366.9624
2024-08-14,368.5767,372.451,367.5396,371.4628,358502,371.4628
2024-08-15,377.3819,380.816,371.3259,372.7249,349053,372.7249
2024-08-16,371.727,371.727,363.4795,365.7395,332625,365.7395
2024-08-19,365.7982,367.5886,362.325,367.5886,299129,367.5886
2024-08-20,367.706,368.5621,361.6304,362.8925,244720,362.8925
2024-08-21,362.8925,369.3056,362.0706,367.2951,333752,367.2951
2024-08-22,367.2364,374.0861,366.9234,369.9563,237513,369.9563
2024-08-23,372.0108,378.3115,372.0108,377.4309,369133,377.4309
2024-08-26,379.6126,382.9635,375.6503,376.7754,294307,376.7754
2024-08-27,374.3197,381.2661,373.224,379.5735,478413,379.5735
2024-08-28,380.2094,383.0172,376.5992,380.6496,377009,380.6496
2024-08-29,384.1326,393.9553,381.9631,386.9601,391782,386.9601
2024-08-30,389.0014,393.5893,384.2122,392.4755,594192,392.4755
