date,open,high,low,close,volume,adj_close
2024-05-20,346.4876,346.867,343.9099,345.5343,1430400,345.5343
2024-05-21,347.2268,347.4019,344.3086,345.9331,953600,345.9331
2024-05-22,345.4954,348.151,345.2133,346.8767,795400,346.8767
2024-05-23,344.4352,344.9702,341.945,342.6161,2132500,342.6161
2024-05-24,343.6764,343.6764,338.2194,339.7757,1583400,339.7757
2024-05-28,339.7369,341.0208,336.9062,339.6882,1604300,339.6882
2024-05-29,336.5268,338.5306,319.1441,335.8945,2159000,335.8945
2024-05-30,335.6903,342.976,333.9004,337.9081,1350100,337.9081
2024-05-31,340.6026,348.5595,339.4548,348.3553,1757900,348.3553
2024-06-03,346.653,355.1741,346.2445,354.2695,1285100,354.2695
2024-06-04,352.8395,353.4913,348.2774,351.0302,1526600,351.0302
2024-06-05,351.8279,352.8493,347.7619,351.1567,1275200,351.1567
2024-06-06,350.4466,355.534,343.7932,345.7386,1562500,345.7386
2024-06-07,345.9526,346.1958,340.9528,342.2076,875900,342.2076
2024-06-10,339.6688,342.3535,334.2604,339.8147,1168600,339.8147
2024-06-11,340.2524,344.9507,339.4839,342.1784,913000,342.1784
2024-06-12,343.1317,343.1317,338.7544,342.7718,1042100,342.7718
2024-06-13,343.8904,355.5243,339.5909,348.3358,1480700,348.3358
2024-06-14,345.0382,349.7267,343.5402,349.1431,867000,349.1431
2024-06-17,345.8553,347.1685,343.5499,345.5635,610000,345.5635
2024-06-18,346.6238,348.4039,339.6688,340.019,693500,340.019
2024-06-20,341.1473,348.686,340.0189,347.6743,1473600,347.6743
2024-06-21,348.6373,350.7093,345.0577,345.7872,1632800,345.7872
2024-06-24,347.0324,349.0459,344.299,348.2775,1441500,348.2775
2024-06-25,347.6549,348.9389,345.9915,346.0985,611200,346.0985
2024-06-26,347.7035,351.9349,347.5576,351.2443,642700,351.2443
2024-06-27,350.291,353.5204,348.9875,353.0827,664100,353.0827
2024-06-28,362.868,378.8988,360.791,364.3501,5489700,364.3501
2024-07-01,364.1649,370.5421,362.3024,364.1941,1054000,364.1941
2024-07-02,364.4769,368.8941,363.8821,365.491,1136600,365.491
2024-07-03,366.4564,366.6416,353.7507,353.8189,750700,353.8189
2024-07-05,355.4279,360.2255,352.054,359.6404,690200,359.6404
2024-07-08,359.8549,366.3588,358.0217,361.2103,977700,361.2103
2024-07-09,360.8885,366.5246,356.2469,364.0673,1352900,364.0673
2024-07-10,364.3891,369.9375,361.0932,369.7327,950400,369.7327
2024-07-11,368.5431,374.8326,367.1779,370.2788,939800,370.2788
2024-07-12,371.1759,373.565,363.6091,372.7068,1071900,372.7068
2024-07-15,383.2186,385.2468,374.1501,374.6473,1567400,374.6473
2024-07-16,385.1882,391.1267,381.2878,385.7538,1773700,385.7538
2024-07-17,381.5511,394.3055,381.5511,392.1603,1832400,392.1603
2024-07-18,388.6402,396.3435,377.2801,379.2108,1873300,379.2108
2024-07-19,376.3927,379.6399,370.7176,377.7384,1075200,377.7384
2024-07-22,373.4675,377.3679,370.9809,375.3787,702900,375.3787
2024-07-23,375.0179,378.9281,370.5616,376.266,816400,376.266
2024-07-24,375.4177,379.1523,371.7512,376.6853,866000,376.6853
2024-07-25,382.4872,388.4549,376.3245,376.7828,1116600,376.7828
2024-07-26,378.0602,390.5709,378.0602,382.8577,1004000,382.8577
2024-07-29,381.3268,383.55,375.0178,382.3604,1297600,382.3604
2024-07-30,382.8187,395.9827,382.0191,394.4518,1715400,394.4518
2024-07-31,356.0422,371.41,347.51,352.6098,4378000,352.6098
2024-08-01,352.2783,354.6966,342.1664,350.0453,1919100,350.0453
2024-08-02,352.9706,354.8233,346.2228,354.5698,1076100,354.5698
2024-08-05,350.133,353.2826,343.2683,347.4222,1304200,347.4222
2024-08-06,347.588,351.2544,344.8089,346.4081,930700,346.4081
2024-08-07,347.0224,348.134,336.2474,336.9593,944000,336.9593
2024-08-08,335.2723,342.0396,334.6287,341.6008,908700,341.6008
2024-08-09,340.6744,342.5271,338.8217,342.0981,628100,342.0981
2024-08-12,342.7027,343.3657,339.475,339.6213,485900,339.6213
2024-08-13,340.8305,348.1145,339.6896,347.9585,525900,347.9585
2024-08-14,346.6031,351.5859,346.6031,347.51,541100,347.51
2024-08-15,348.4949,349.5772,345.8133,348.3388,730600,348.3388
2024-08-16,348.5826,348.5923,341.3278,341.6398,754900,341.6398
