date,open,high,low,close,volume,adj_close
2026-04-06,9.83,9.83,9.82,9.82,20500,9.82
2026-04-07,9.8,9.82,9.78,9.82,25600,9.82
2026-04-08,9.82,9.83,9.8,9.82,4500,9.82
2026-04-09,9.83,9.83,9.83,9.83,79000,9.83
2026-04-10,9.84,9.84,9.84,9.84,200,9.84
2026-04-13,9.82,9.84,9.82,9.82,20300,9.82
2026-04-14,9.84,9.84,9.82,9.82,20600,9.82
2026-04-15,9.82,9.86,9.82,9.85,1056400,9.85
2026-04-16,9.88,9.93,9.88,9.91,546900,9.91
2026-04-17,9.92,9.92,9.85,9.85,33000,9.85
2026-04-20,9.88,9.89,9.86,9.86,12300,9.86
2026-04-21,9.88,9.88,9.88,9.88,5100,9.88
2026-04-22,9.87,9.87,9.87,9.87,100100,9.87
2026-04-23,9.88,9.89,9.88,9.88,1600,9.88
2026-04-24,9.9,9.9,9.9,9.9,200,9.9
2026-04-27,9.86,9.88,9.86,9.86,93100,9.86
2026-04-28,9.86,9.86,9.86,9.86,200,9.86
2026-04-29,9.86,9.89,9.86,9.88,1223500,9.88
2026-04-30,9.86,9.91,9.86,9.86,294100,9.86
2026-05-01,9.87,9.88,9.86,9.86,30900,9.86
2026-05-04,9.86,9.88,9.85,9.86,12600,9.86
2026-05-05,9.87,9.87,9.86,9.86,32300,9.86
2026-05-06,9.86,9.86,9.86,9.86,0,9.86
2026-05-07,9.91,9.91,9.88,9.89,253000,9.89
2026-05-08,9.86,9.88,9.86,9.88,1700,9.88
2026-05-11,9.87,9.87,9.85,9.85,65600,9.85
2026-05-12,9.86,9.86,9.86,9.86,10300,9.86
2026-05-13,9.86,9.86,9.86,9.86,300,9.86
2026-05-14,9.86,9.86,9.86,9.86,200,9.86
2026-05-15,9.86,9.86,9.86,9.86,200,9.86
2026-05-18,9.86,9.86,9.86,9.86,100,9.86
2026-05-19,9.9,9.9,9.9,9.9,300,9.9
2026-05-20,9.9,9.9,9.9,9.9,0,9.9
2026-05-21,9.91,9.91,9.87,9.91,21400,9.91
2026-05-22,9.91,9.91,9.91,9.91,100,9.91
2026-05-26,9.91,9.91,9.89,9.89,14000,9.89
2026-05-27,9.88,9.88,9.88,9.88,7900,9.88
2026-05-28,9.89,9.89,9.88,9.88,4100,9.88
2026-05-29,9.89,9.89,9.89,9.89,32400,9.89
2026-06-01,9.9,9.9,9.9,9.9,4000,9.9
2026-06-02,9.91,9.92,9.89,9.89,4000,9.89
2026-06-03,9.9,9.91,9.9,9.91,6400,9.91
2026-06-04,9.91,9.91,9.9,9.9,16600,9.9
2026-06-05,9.91,9.91,9.9,9.9,72300,9.9
2026-06-08,9.9,9.9,9.9,9.9,5200,9.9
2026-06-09,9.91,9.91,9.91,9.91,200,9.91
2026-06-10,9.91,9.92,9.91,9.92,4000,9.92
2026-06-11,9.92,9.92,9.9,9.9,14400,9.9
2026-06-12,9.9,9.9,9.9,9.9,0,9.9
2026-06-15,9.91,9.91,9.91,9.91,31000,9.91
2026-06-16,9.91,9.91,9.91,9.91,0,9.91
2026-06-17,9.92,9.92,9.92,9.92,5000,9.92
2026-06-18,9.92,9.92,9.92,9.92,0,9.92
2026-06-22,9.91,9.92,9.91,9.92,13300,9.92
2026-06-23,9.92,9.92,9.9098,9.91,26994,9.91
