date,open,high,low,close,volume,adj_close
2024-05-20,21.6798,21.8474,21.4145,21.4843,44700,21.4843
2024-05-21,21.4285,21.5867,21.2609,21.3726,25100,21.3726
2024-05-22,21.3726,21.3726,20.9165,20.9258,36100,20.9258
2024-05-23,20.8886,20.9351,20.4883,20.7024,32200,20.7024
2024-05-24,20.7117,21.0375,20.5535,21.0282,37200,21.0282
2024-05-28,21.0561,21.2144,20.7117,20.8886,36400,20.8886
2024-05-29,20.7769,21.1027,20.4604,21.0189,45900,21.0189
2024-05-30,20.9072,21.2609,20.735,21.2609,69800,21.2609
2024-05-31,21.1958,22.7224,21.1772,22.4059,413600,22.4059
2024-06-03,22.3407,22.3873,21.7822,21.8288,127900,21.8288
2024-06-04,21.6333,21.6333,20.9444,20.9724,103700,20.9724
2024-06-05,20.8979,21.4099,20.842,21.2423,46400,21.2423
2024-06-06,21.233,21.354,20.9538,21.1865,47300,21.1865
2024-06-07,21.2609,21.2609,20.6186,20.6745,22200,20.6745
2024-06-10,20.7955,20.9817,20.6419,20.9072,25100,20.9072
2024-06-11,20.7303,20.9351,20.5861,20.749,44300,20.749
2024-06-12,20.7769,21.1399,20.6326,20.7955,50500,20.7955
2024-06-13,20.6745,20.9258,20.5907,20.7583,17700,20.7583
2024-06-14,20.6931,20.7024,20.3952,20.6466,69800,20.6466
2024-06-17,20.749,21.1492,20.6466,21.112,26600,21.112
2024-06-18,20.9817,21.1306,20.8048,20.8886,43900,20.8886
2024-06-20,20.7769,20.87,20.5256,20.6745,49500,20.6745
2024-06-21,20.5349,20.6559,20.479,20.5535,64200,20.5535
2024-06-24,20.6652,20.9258,20.5256,20.721,17700,20.721
2024-06-25,20.7117,20.749,20.4697,20.7117,14700,20.7117
2024-06-26,20.5628,20.7955,20.3487,20.5069,75900,20.5069
2024-06-27,20.5256,20.7862,20.3394,20.7676,55600,20.7676
2024-06-28,20.8141,21.0468,20.7117,20.8607,27200,20.8607
2024-07-01,21.0003,21.0003,20.6531,20.8327,63200,20.8327
2024-07-02,20.7117,21.0096,20.7117,20.8327,31500,20.8327
2024-07-03,20.8141,21.112,20.8141,20.9631,16000,20.9631
2024-07-05,20.9072,20.9165,20.7117,20.7769,28500,20.7769
2024-07-08,20.749,21.475,20.5535,21.382,166800,21.382
2024-07-09,21.233,21.9591,21.233,21.9125,105600,21.9125
2024-07-10,22.0242,22.3128,21.9125,22.2663,111000,22.2663
2024-07-11,22.3128,22.6759,21.8101,22.0894,84300,22.0894
2024-07-12,22.2197,22.4897,22.0149,22.4897,92400,22.4897
2024-07-15,22.4059,22.5269,22.0149,22.3966,86000,22.3966
2024-07-16,22.4245,22.7503,21.4564,21.5495,85100,21.5495
2024-07-17,21.4937,21.7357,21.3633,21.3726,35900,21.3726
2024-07-18,21.2609,21.4378,21.0282,21.2144,17200,21.2144
2024-07-19,21.4099,21.7636,21.2516,21.2516,33800,21.2516
2024-07-22,21.2516,21.354,21.0468,21.3261,33900,21.3261
2024-07-23,21.3261,21.6147,21.233,21.3354,20600,21.3354
2024-07-24,21.1772,21.5495,20.991,21.1399,15100,21.1399
2024-07-25,21.0375,21.3913,20.9724,21.112,15900,21.112
2024-07-26,21.0655,21.2135,20.9631,21.1399,17400,21.1399
2024-07-29,21.1027,21.1027,20.4883,20.6745,19000,20.6745
2024-07-30,20.5721,21.0468,20.5721,20.9631,32600,20.9631
2024-07-31,20.8979,21.3447,20.3021,21.1865,17200,21.1865
2024-08-01,21.112,21.2144,20.5349,20.7117,66400,20.7117
2024-08-02,20.5535,20.749,20.1299,20.7397,108100,20.7397
2024-08-05,20.1346,20.6698,19.9205,20.6186,58200,20.6186
2024-08-06,20.6326,20.9817,20.4511,20.8141,32400,20.8141
2024-08-07,20.842,20.9538,20.6093,20.8141,54900,20.8141
2024-08-08,20.8514,21.1865,20.8514,21.1399,18600,21.1399
2024-08-09,21.1772,21.7264,21.0003,21.382,67900,21.382
2024-08-12,21.382,21.6705,21.1213,21.1679,33600,21.1679
2024-08-13,21.0375,21.2237,20.7909,20.87,58300,20.87
2024-08-14,20.991,21.4285,20.8141,21.0562,37500,21.0562
2024-08-15,21.2144,22.0615,21.0189,21.6798,115900,21.6798
2024-08-16,21.8753,22.0987,21.6612,21.745,21700,21.745
2024-08-19,21.8939,22.3966,21.5774,22.2477,190800,22.2477
2024-08-20,22.2849,22.2849,22.0429,22.1453,234900,22.1453
2024-08-21,22.2663,22.3221,22.0149,22.1918,27000,22.1918
