date,open,high,low,close,volume,adj_close
2024-05-20,13.0347,13.0347,12.7446,12.771,66100,12.771
2024-05-21,12.7358,12.7974,12.6128,12.6567,37500,12.6567
2024-05-22,12.6216,12.851,12.4634,12.481,32200,12.481
2024-05-23,12.5337,12.6567,12.4985,12.4985,31700,12.4985
2024-05-24,12.5249,12.5864,12.4634,12.5601,51300,12.5601
2024-05-28,12.5689,12.7095,12.4546,12.4546,28700,12.4546
2024-05-29,12.4546,12.4722,12.2788,12.3843,48500,12.3843
2024-05-30,12.3931,12.7183,12.1557,12.6128,37200,12.6128
2024-05-31,12.6743,12.9547,12.604,12.6128,57700,12.6128
2024-06-03,12.6788,12.7757,12.2826,12.4059,72800,12.4059
2024-06-04,12.4235,12.4235,12.2122,12.2826,41400,12.2826
2024-06-05,12.221,12.4076,12.1594,12.2386,45200,12.2386
2024-06-06,12.177,12.3399,12.1682,12.3002,30700,12.3002
2024-06-07,12.3002,12.7493,12.3002,12.4059,47500,12.4059
2024-06-10,12.4059,12.4235,12.265,12.3354,18600,12.3354
2024-06-11,12.309,12.8637,12.265,12.6524,92100,12.6524
2024-06-12,12.6876,13.1059,12.6788,12.7757,95900,12.7757
2024-06-13,12.7933,12.7933,12.5115,12.582,29500,12.582
2024-06-14,12.4851,12.5159,12.3354,12.4147,40800,12.4147
2024-06-17,12.3883,12.7845,12.3883,12.6788,46100,12.6788
2024-06-18,12.7757,13.1147,12.6788,12.9342,69900,12.9342
2024-06-20,12.8813,13.0372,12.8153,12.8813,45100,12.8813
2024-06-21,12.8901,13.0046,12.7229,12.9166,56300,12.9166
2024-06-24,12.9518,13.1983,12.943,13.0927,53400,13.0927
2024-06-25,13.1983,13.1983,12.8461,12.987,46500,12.987
2024-06-26,13.0046,13.031,12.4323,12.5292,113200,12.5292
2024-06-27,12.4411,12.5987,12.2562,12.3266,91400,12.3266
2024-06-28,12.3266,12.5468,12.1946,12.3266,133100,12.3266
2024-07-01,12.3178,12.6084,12.3178,12.4851,99900,12.4851
