date,open,high,low,close,volume,adj_close
2024-05-20,2.9,2.99,2.74,2.76,19600,2.76
2024-05-21,2.71,2.98,2.71,2.82,28800,2.82
2024-05-22,2.81,2.907,2.73,2.907,2300,2.907
2024-05-23,2.79,2.9,2.79,2.834,3300,2.834
2024-05-24,2.856,2.856,2.71,2.83,4600,2.83
2024-05-28,2.8,2.841,2.65,2.69,12500,2.69
2024-05-29,2.63,2.69,2.557,2.67,14400,2.67
2024-05-30,2.75,2.81,2.6,2.65,8700,2.65
2024-05-31,2.75,2.95,2.71,2.74,40500,2.74
2024-06-03,2.78,2.99,2.63,2.7,60500,2.7
2024-06-04,2.69,2.71,2.58,2.65,23900,2.65
2024-06-05,2.65,2.74,2.572,2.65,10000,2.65
2024-06-06,2.62,2.8,2.62,2.75,14700,2.75
2024-06-07,2.69,2.77,2.688,2.74,6800,2.74
2024-06-10,2.7,2.75,2.655,2.69,14900,2.69
2024-06-11,2.69,2.74,2.66,2.74,9600,2.74
2024-06-12,2.7,2.75,2.68,2.75,12000,2.75
2024-06-13,2.65,2.79,2.64,2.73,13600,2.73
2024-06-14,2.69,2.8,2.688,2.76,23500,2.76
2024-06-17,2.78,2.82,2.68,2.76,15100,2.76
2024-06-18,2.78,2.85,2.64,2.69,67200,2.69
2024-06-20,2.67,2.97,2.6,2.87,44800,2.87
2024-06-21,2.92,2.954,2.75,2.83,127500,2.83
2024-06-24,2.85,2.85,2.65,2.65,59900,2.65
2024-06-25,2.76,2.76,2.58,2.58,24200,2.58
2024-06-26,2.55,2.82,2.55,2.64,46800,2.64
2024-06-27,2.66,3.0,2.59,2.92,61500,2.92
2024-06-28,2.95,2.95,2.77,2.95,40000,2.95
2024-07-01,2.97,3.06,2.87,2.95,374600,2.95
2024-07-02,2.85,3.06,2.81,2.96,44600,2.96
2024-07-03,2.922,3.11,2.922,3.06,49500,3.06
2024-07-05,3.04,3.05,2.95,3.03,28200,3.03
2024-07-08,2.96,3.08,2.92,3.0,14100,3.0
2024-07-09,2.99,3.05,2.91,2.99,19300,2.99
2024-07-10,3.01,3.02,2.95,3.02,11100,3.02
2024-07-11,2.94,3.19,2.93,3.15,53400,3.15
2024-07-12,3.11,3.465,3.11,3.33,340700,3.33
2024-07-15,3.42,3.48,3.28,3.36,95800,3.36
2024-07-16,3.47,3.47,3.26,3.29,28900,3.29
2024-07-17,3.27,3.39,3.19,3.3,18000,3.3
2024-07-18,3.22,3.25,3.11,3.12,22800,3.12
2024-07-19,3.175,3.25,3.1,3.21,27600,3.21
2024-07-22,3.28,3.28,3.17,3.17,8600,3.17
2024-07-23,3.16,3.28,3.16,3.235,18300,3.235
2024-07-24,3.16,3.27,3.16,3.21,7900,3.21
2024-07-25,3.16,3.39,3.16,3.36,21600,3.36
2024-07-26,3.32,3.415,3.32,3.345,27500,3.345
2024-07-29,3.29,3.37,3.23,3.27,29000,3.27
2024-07-30,3.245,3.28,3.227,3.25,12800,3.25
2024-07-31,3.05,3.29,3.05,3.14,17500,3.14
2024-08-01,3.13,3.32,3.05,3.11,18700,3.11
2024-08-02,3.05,3.125,2.89,2.95,19600,2.95
2024-08-05,2.8,3.02,2.8,2.87,11900,2.87
2024-08-06,2.835,3.18,2.835,3.05,9500,3.05
2024-08-07,3.12,3.12,2.928,3.0,13900,3.0
2024-08-08,3.09,3.283,3.0,3.08,34100,3.08
2024-08-09,2.955,3.34,2.955,3.12,39100,3.12
2024-08-12,3.13,3.24,2.9,2.96,13100,2.96
2024-08-13,3.017,3.05,2.85,3.05,22400,3.05
2024-08-14,2.98,3.02,2.97,3.02,2800,3.02
2024-08-15,2.919,3.01,2.89,2.95,4700,2.95
2024-08-16,2.88,3.05,2.84,3.05,50200,3.05
2024-08-19,3.009,3.202,3.0,3.14,28000,3.14
2024-08-20,3.17,3.28,3.14,3.16,3800,3.16
2024-08-21,3.11,3.24,3.02,3.02,2800,3.02
2024-08-22,3.108,3.23,3.108,3.21,1800,3.21
2024-08-23,3.17,3.22,2.91,3.11,5200,3.11
2024-08-26,3.22,3.22,3.09,3.12,4000,3.12
2024-08-27,2.92,3.194,2.92,3.14,8700,3.14
2024-08-28,3.09,3.228,3.0,3.03,11500,3.03
2024-08-29,3.024,3.21,3.024,3.143,3400,3.143
2024-08-30,3.18,3.18,3.05,3.14,8700,3.14
2024-09-03,3.15,3.16,3.0,3.09,19300,3.09
2024-09-04,3.03,3.2,3.01,3.19,12400,3.19
2024-09-05,3.19,3.19,3.05,3.05,2800,3.05
2024-09-06,3.07,3.24,3.07,3.19,8800,3.19
2024-09-09,3.075,3.19,3.03,3.19,14600,3.19
2024-09-10,3.08,3.2,3.0,3.165,8600,3.165
2024-09-11,3.051,3.103,3.04,3.1,5000,3.1
2024-09-12,3.1,3.1,3.1,3.1,600,3.1
2024-09-13,3.04,3.1,3.04,3.08,4900,3.08
2024-09-16,3.17,3.2,3.05,3.15,4400,3.15
2024-09-17,3.07,3.205,3.06,3.11,3500,3.11
2024-09-18,3.07,3.07,2.95,2.95,6100,2.95
2024-09-19,2.989,3.06,2.952,3.0,5800,3.0
2024-09-20,3.0,3.34,2.91,3.34,63500,3.34
2024-09-23,3.29,3.3,3.095,3.15,7100,3.15
2024-09-24,3.1,3.2,2.899,3.0,41100,3.0
2024-09-25,3.01,3.01,2.87,2.93,16700,2.93
