date,open,high,low,close,volume,adj_close
2024-05-20,16.03,16.28,16.0,16.13,458300,16.13
2024-05-21,16.11,16.16,15.97,16.15,322400,16.15
2024-05-22,16.07,16.22,15.88,16.08,423600,16.08
2024-05-23,16.06,16.06,15.67,15.79,403900,15.79
2024-05-24,15.88,15.88,15.72,15.78,271500,15.78
2024-05-28,15.79,15.87,15.54,15.54,300900,15.54
2024-05-29,15.4,15.51,15.2,15.34,414200,15.34
2024-05-30,15.4,15.48,15.32,15.35,302200,15.35
2024-05-31,15.5,15.83,15.37,15.79,494600,15.79
2024-06-03,15.85,16.02,15.7,15.9,378100,15.9
2024-06-04,15.87,16.01,15.8,15.94,375400,15.94
2024-06-05,16.06,16.06,15.88,16.04,275400,16.04
2024-06-06,15.98,16.4,15.98,16.37,394900,16.37
2024-06-07,16.26,16.36,15.96,16.14,485000,16.14
2024-06-10,15.96,15.96,15.56,15.94,503600,15.94
2024-06-11,15.83,15.98,15.74,15.9,359100,15.9
2024-06-12,16.15,16.25,15.89,15.9,443100,15.9
2024-06-13,15.82,16.08,15.69,15.99,434700,15.99
2024-06-14,15.93,15.95,15.74,15.91,338200,15.91
2024-06-17,15.85,16.35,15.85,16.16,438800,16.16
2024-06-18,16.41,16.5,16.21,16.22,413500,16.22
2024-06-20,16.14,16.35,16.04,16.07,1681300,16.07
2024-06-21,16.13,16.22,15.7,15.9,1732500,15.9
2024-06-24,15.99,16.16,15.99,16.0,411700,16.0
2024-06-25,15.95,16.14,15.95,16.14,320200,16.14
2024-06-26,16.08,16.3,16.01,16.28,311500,16.28
2024-06-27,16.33,16.34,16.04,16.2,374400,16.2
2024-06-28,16.24,16.4,16.08,16.4,809200,16.4
2024-07-01,16.33,16.69,16.18,16.5,448400,16.5
2024-07-02,16.46,16.61,16.37,16.5,298800,16.5
2024-07-03,16.43,16.56,16.18,16.33,158800,16.33
2024-07-05,16.26,16.42,16.21,16.36,310900,16.36
2024-07-08,16.44,16.65,16.38,16.43,511100,16.43
2024-07-09,16.49,16.73,16.48,16.6,447400,16.6
2024-07-10,16.6,16.89,16.6,16.78,434000,16.78
2024-07-11,16.95,17.02,16.77,16.77,399900,16.77
2024-07-12,16.95,17.24,16.71,16.73,460100,16.73
2024-07-15,16.8,17.04,16.75,16.85,366600,16.85
2024-07-16,17.0,17.24,16.94,17.15,414700,17.15
2024-07-17,17.05,17.54,17.05,17.46,954100,17.46
2024-07-18,17.44,17.44,16.9,17.11,1388100,17.11
2024-07-19,17.22,17.4,17.18,17.19,383300,17.19
2024-07-22,17.29,17.68,17.22,17.58,412700,17.58
2024-07-23,17.65,17.98,17.57,17.82,687100,17.82
2024-07-24,17.82,17.89,17.63,17.67,395700,17.67
2024-07-25,17.84,18.56,17.84,18.19,888500,18.19
2024-07-26,18.44,18.7,18.28,18.55,500700,18.55
2024-07-29,18.57,19.08,18.48,18.87,990400,18.87
2024-07-30,18.99,19.06,18.71,18.99,602800,18.99
