date,open,high,low,close,volume,adj_close
2024-09-16,3.225,3.45,3.225,3.375,1390,3.375
2024-09-17,3.3,3.45,3.225,3.375,1580,3.375
2024-09-18,3.375,3.45,3.3,3.375,590,3.375
2024-09-19,3.3,3.375,3.15,3.225,1060,3.225
2024-09-20,3.225,3.45,3.225,3.3,2620,3.3
2024-09-23,3.3,3.3,3.15,3.225,690,3.225
2024-09-24,3.225,3.3,3.15,3.3,330,3.3
2024-09-25,3.225,3.225,3.15,3.225,330,3.225
2024-09-26,3.15,3.375,3.15,3.3,590,3.3
2024-09-27,3.225,3.3,3.15,3.3,680,3.3
2024-09-30,3.225,3.3,3.225,3.3,490,3.3
2024-10-01,3.375,3.375,3.15,3.375,1210,3.375
2024-10-02,3.375,6.3,3.225,5.475,203760,5.475
2024-10-03,5.7,8.025,5.25,7.5,156930,7.5
2024-10-04,7.125,7.575,6.675,7.425,15210,7.425
2024-10-07,7.275,7.275,5.775,6.525,22000,6.525
2024-10-08,6.225,7.725,5.625,7.275,20770,7.275
2024-10-09,7.05,7.125,6.075,6.6,5190,6.6
2024-10-10,5.625,6.6,5.25,6.225,17710,6.225
2024-10-11,6.0,6.75,5.775,6.375,2090,6.375
2024-10-14,6.3,6.375,5.85,6.225,1410,6.225
2024-10-15,6.3,6.3,5.925,6.15,120,6.15
2024-10-16,6.0,6.3,5.775,6.15,1070,6.15
2024-10-17,6.6,7.275,6.3,6.3,18540,6.3
2024-10-18,6.15,6.9,5.775,6.75,2850,6.75
2024-10-21,6.825,6.825,6.45,6.675,960,6.675
2024-10-22,6.675,6.9,6.225,6.675,820,6.675
2024-10-23,6.75,6.825,6.6,6.675,1310,6.675
2024-10-24,6.75,7.2,5.775,7.125,6980,7.125
2024-10-25,6.9,7.875,6.9,7.275,8620,7.275
2024-10-28,7.125,7.425,6.525,7.05,3500,7.05
2024-10-29,7.125,7.125,6.525,6.825,940,6.825
2024-10-30,7.05,7.05,6.375,6.375,3100,6.375
2024-10-31,6.15,6.525,5.7,6.15,780,6.15
2024-11-01,6.375,6.525,6.3,6.375,700,6.375
2024-11-04,6.15,6.3,6.15,6.3,280,6.3
2024-11-05,6.3,6.375,6.225,6.225,1000,6.225
2024-11-06,6.525,6.525,5.85,5.85,2260,5.85
