date,open,high,low,close,volume,adj_close
2024-05-20,2.72,2.79,2.67,2.7,36600,2.7
2024-05-21,2.66,2.77,2.53,2.69,64900,2.69
2024-05-22,2.62,2.65,2.52,2.59,34400,2.59
2024-05-23,2.57,2.59,2.45,2.49,43700,2.49
2024-05-24,2.56,2.56,2.42,2.45,26100,2.45
2024-05-28,2.46,2.5,2.44,2.47,15700,2.47
2024-05-29,2.42,2.58,2.42,2.42,7800,2.42
2024-05-30,2.56,2.56,2.47,2.47,11000,2.47
2024-05-31,2.45,2.54,2.43,2.43,9300,2.43
2024-06-03,2.43,2.5,2.37,2.41,10700,2.41
2024-06-04,2.41,2.48,2.4,2.4,18700,2.4
2024-06-05,2.44,2.48,2.24,2.24,41600,2.24
2024-06-06,2.28,2.39,2.28,2.29,19400,2.29
2024-06-07,2.3,2.4,2.3,2.3,10900,2.3
2024-06-10,2.31,2.37,2.11,2.11,39100,2.11
2024-06-11,2.15,2.28,2.13,2.15,31800,2.15
2024-06-12,2.23,2.23,2.07,2.08,32200,2.08
2024-06-13,2.1,2.18,2.09,2.14,30300,2.14
2024-06-14,2.1,2.26,2.08,2.1,52900,2.1
2024-06-17,2.15,2.18,2.08,2.1,18200,2.1
2024-06-18,2.14,2.14,1.89,1.98,37800,1.98
2024-06-20,1.99,1.99,1.94,1.97,23900,1.97
2024-06-21,2.05,2.22,2.04,2.12,59100,2.12
2024-06-24,2.15,2.22,2.08,2.15,13600,2.15
2024-06-25,2.13,2.21,2.13,2.14,22500,2.14
2024-06-26,2.13,2.26,2.1,2.21,17300,2.21
2024-06-27,2.2,2.23,2.16,2.16,22600,2.16
2024-06-28,2.2,2.2,2.04,2.16,19300,2.16
2024-07-01,2.15,2.21,2.01,2.09,22900,2.09
2024-07-02,2.09,2.33,1.95,2.01,42800,2.01
2024-07-03,2.0,2.07,1.97,2.07,8800,2.07
2024-07-05,2.0,2.07,1.98,2.07,19700,2.07
2024-07-08,2.03,2.07,1.94,1.98,50700,1.98
2024-07-09,2.01,2.04,2.0,2.03,8200,2.03
2024-07-10,2.03,2.03,1.96,2.0,12900,2.0
2024-07-11,2.12,2.18,2.0,2.08,66300,2.08
2024-07-12,2.1,2.41,2.08,2.15,94500,2.15
2024-07-15,2.1,2.24,2.1,2.12,40200,2.12
2024-07-16,2.13,2.18,2.05,2.13,38800,2.13
2024-07-17,2.15,2.27,2.0,2.0,29300,2.0
2024-07-18,2.05,2.09,1.98,1.98,26200,1.98
2024-07-19,2.05,2.1,1.99,1.99,7700,1.99
2024-07-22,2.05,2.05,1.95,1.98,14600,1.98
2024-07-23,1.96,2.05,1.95,2.05,30900,2.05
2024-07-24,2.0,2.04,1.96,2.0,8900,2.0
2024-07-25,1.99,2.1,1.99,1.99,13200,1.99
2024-07-26,2.06,2.09,2.03,2.05,48200,2.05
2024-07-29,2.03,2.04,2.0,2.0,4900,2.0
2024-07-30,1.99,2.02,1.95,1.95,16100,1.95
2024-07-31,2.01,2.08,1.95,2.01,21500,2.01
2024-08-01,2.03,2.07,1.98,2.01,25200,2.01
2024-08-02,1.95,2.03,1.91,1.95,18400,1.95
